Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
1,1,AC_186,AC_048,104.28571428571428,30,21,73,0.8,83.42857142857143,24,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,3.873802132363197,3.3842909857670005,3.698093967522433,3.1317073170731704,3.395348837209302,1.107373868046572
1,1,AC_195,AC_193,NA,3,0,0,0.7,NA,2.0999999999999996,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,NA,0.29612546125461253,NA,0.3131707317073171,0,0.9689521345407502
1,1,AC_198,AC_066,9,6,6,9,0.7,6.3,4.199999999999999,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.29252512677605647,0.5922509225092251,0.31915057527933327,0.6263414634146341,0.4186046511627907,0.9689521345407502
1,1,AC_207,AC_055,100.28571428571428,26,14,54,0.6,60.171428571428564,15.6,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,2.7939134557386613,2.1997891407485506,3.556249267398285,2.7141463414634144,2.511627906976744,0.8305304010349288
1,1,AC_207,AC_070,33,11,9,27,0.9,29.7,9.9,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.3790470262299803,1.3960200316288878,1.170218776024222,1.1482926829268292,1.255813953488372,1.2457956015523932
1,1,AC_216,AC_058,21.857142857142858,9,7,17,1,21.857142857142858,9,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.0148830928965225,1.2691091196626252,0.7750799685355237,0.9395121951219512,0.7906976744186046,1.3842173350582148
1,2,AC_002,AC_104,48.3,21,20,46,0.8,38.64,16.8,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.7941541108931462,2.3690036900369007,1.7127747539990885,2.1921951219512192,2.13953488372093,1.107373868046572
1,2,AC_008,AC_068,34,18,18,34,0.9,30.6,16.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.4208363300551314,2.284396415392725,1.2056799510552592,1.8790243902439023,1.5813953488372092,1.2457956015523932
1,2,AC_039,AC_148,10.8,6,5,9,0.6,6.48,3.5999999999999996,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.30088298754108667,0.50764364786505,0.3829806903352,0.6263414634146341,0.4186046511627907,0.8305304010349288
1,2,AC_045,AC_123,10,2,1,5,0.9,9,1.8,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.4178930382515092,0.25382182393252506,0.35461175031037034,0.20878048780487804,0.23255813953488372,1.2457956015523932
1,2,AC_047,AC_152,NA,1,0,0,0.4,NA,0.4,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,NA,0.05640484976278335,NA,0.10439024390243902,0,0.553686934023286
1,2,AC_061,AC_052,6,7,7,6,0.8,4.800000000000001,5.6000000000000005,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.22287628706747162,0.7896678966789669,0.2127670501862222,0.7307317073170732,0.27906976744186046,1.107373868046572
1,2,AC_061,AC_158,117.94871794871796,40,39,115,0.7,82.56410256410257,28,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,3.833662630113561,3.948339483394834,4.1826001318659065,4.17560975609756,5.348837209302325,0.9689521345407502
1,2,AC_068,AC_195,3,2,2,3,0.8,2.4000000000000004,1.6,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.11143814353373581,0.2256193990511334,0.1063835250931111,0.20878048780487804,0.13953488372093023,1.107373868046572
1,2,AC_071,AC_215,9.142857142857142,8,7,8,0.9,8.228571428571428,7.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.3820736349728084,1.0152872957301002,0.32421645742662425,0.8351219512195122,0.37209302325581395,1.2457956015523932
1,2,AC_091,AC_204,49,19,19,49,0.9,44.1,17.1,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,2.047675887432395,2.4113073273589882,1.7375975765208145,1.9834146341463412,2.2790697674418605,1.2457956015523932
1,2,AC_097,AC_054,19,14,14,19,0.6,11.4,8.4,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.5293311817852451,1.1845018450184504,0.6737623255897036,1.4614634146341463,0.8837209302325582,0.8305304010349288
1,2,AC_102,AC_178,21.714285714285715,8,7,19,0.9,19.542857142857144,7.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.9074248830604201,1.0152872957301002,0.7700140863882328,0.8351219512195122,0.8837209302325582,1.2457956015523932
1,2,AC_103,AC_144,32.199999999999996,7,5,23,0.7,22.539999999999996,4.8999999999999995,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.0465898980210018,0.6909594095940959,1.1418498359993923,0.7307317073170732,1.069767441860465,0.9689521345407502
1,2,AC_107,AC_172,20,7,7,20,1,20,7,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.9286511961144649,0.9870848708487086,0.7092235006207407,0.7307317073170732,0.9302325581395349,1.3842173350582148
1,2,AC_124,AC_014,8,5,5,8,1,8,5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.37146047844578595,0.7050606220347918,0.28368940024829625,0.521951219512195,0.37209302325581395,1.3842173350582148
1,2,AC_124,AC_030,10,4,4,10,0.8,8,3.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.37146047844578595,0.4512387981022668,0.35461175031037034,0.4175609756097561,0.46511627906976744,1.107373868046572
1,2,AC_125,AC_038,3,5,5,3,0.6,1.7999999999999998,3,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.08357860765030184,0.42303637322087506,0.1063835250931111,0.521951219512195,0.13953488372093023,0.8305304010349288
1,2,AC_150,AC_083,5,4,4,5,0.8,4,3.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.18573023922289297,0.4512387981022668,0.17730587515518517,0.4175609756097561,0.23255813953488372,1.107373868046572
1,2,AC_159,AC_094,55.714285714285715,15,14,52,0.3,16.714285714285715,4.5,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.7760870710385172,0.6345545598313126,1.975694037443492,1.5658536585365852,2.4186046511627906,0.4152652005174644
1,2,AC_159,AC_143,36,12,11,33,0.4,14.4,4.800000000000001,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.6686288612024147,0.6768581971534002,1.276602301117333,1.2526829268292683,1.5348837209302326,0.553686934023286
1,2,AC_160,AC_186,29.166666666666668,7,6,25,1,29.166666666666668,7,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,1.3542829943335948,0.9870848708487086,1.03428427173858,0.7307317073170732,1.1627906976744187,1.3842173350582148
1,2,AC_161,AC_213,16.5,11,8,12,0.4,6.6000000000000005,4.4,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.30645489471777343,0.6204533473906169,0.585109388012111,1.1482926829268292,0.5581395348837209,0.553686934023286
1,2,AC_165,AC_199,99.45833333333334,31,24,77,0.9,89.51250000000002,27.900000000000002,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,4.156294509609803,3.9342382709541384,3.5269093666285585,3.2360975609756095,3.5813953488372094,1.2457956015523932
1,2,AC_165,AC_206,5.333333333333333,4,3,4,0.8,4.266666666666667,3.2,21.536611467988475,7.091588785046729,28.199855169061944,9.57943925233645,21.5,0.7224299065420561,0.19811225517108585,0.4512387981022668,0.1891262668321975,0.4175609756097561,0.18604651162790697,1.107373868046572
