Block,Location,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
2,99,BB_059,2,16.42,,complete,y,
2,99,BB_192,4,12.78,,Complete,y,
2,99,BB_205 A,6,14.83,,Complete,y,
2,101,BB_021,3,5.22,,Complete,y,
2,102,BB_183,4,8.51,,Complete,y,
2,103,BB_030,6,8.05,,Complete,y,
2,103,BB_054,7,13.75,,Complete,y,
2,103,BB_181,2,,,DNE,,
2,103,BB_215,2,4.48,,complete,y,
2,104,BB_046,4,,,DNE,,
2,104,BB_048,4,8.26,,Complete,y,
2,104,BB_170,1,5.67,,Complete,y,
2,105,BB_123,7,,,DNE,,
3,106,BB_071,2,6.72,,Complete,y,
3,106,BB_072,5,,,DNE,,
3,106,BB_103,5,4.08,,Complete,y,
3,107,BB_020,7,8.04,,Complete,n,
3,107,BB_020,8,,,DNE,,
3,108,BB_186,8,,,DNE,,
3,108,BB_204,7,,,incomplete,y,
3,109,BB_024,8,6.64,,Complete,y,
3,109,BB_087,3,,,DNE,,
3,109,BB_097,2,2.71,,Complete,y,
3,111,BB_027,2,10.15,,Complete,y,
3,111,BB_069,1,,,DNE,,
3,111,BB_127,7,28.41,,Complete,y,
3,112,BB_151,1,8.94,,Complete,,
3,112,BB_161,8,,,DNE,,
3,112,BB_218,8,13.99,,Complete,y,
3,113,BB_030,4,,,DNE,,
3,113,BB_118,6,,,DNE,,
3,113,BB_201,6,,,DNE,,
3,114,BB_032,2,19.14,,complete,,
3,114,BB_032,5,,,DNE,,
3,114,BB_032,7,,,incomplete,y,
3,114,BB_035,4,7.31,,Complete,y,
3,115,BB_077,1,,,incomplete,n,
3,115,BB_077,7,6.69,,Complete,y,
3,115,BB_077,8,,,incomplete,n,
3,115,BB_214,7,13.53,,Complete,y,
3,116,BB_064,8,,,DNE,,
3,116,BB_078,7,12.65,,Complete,y,
3,116,BB_149,5,3.47,,Complete,y,
3,117,BB_092,1,43.8,,Complete,y,
3,117,BB_098,1,6.75,,complete,y,
3,117,BB_190,6,12.21,,Complete,y,
3,118,BB_002,4,5.6,,complete,y,
3,118,BB_034,8,,,incomplete,y,
3,118,BB_207,5,5.03,,complete,y,
3,119,BB_086,5,6.78,,complete,y,
3,119,BB_143,1,,,incomplete,y,
3,119,BB_189,4,1.93,,Complete,y,
3,121,BB_088,1,9,,complete,y,
3,121,BB_109,7,15.83,,complete,y,
3,121,BB_123,2,20.41,,complete,y,
3,121,BB_134,8,12.02,,complete,y,
3,122,BB_021,5,8.65,,complete,y,
3,122,BB_120,1,4.18,,complete,y,
3,122,BB_152,2,14.32,,complete,y,
3,122,BB_152,3,,,incomplete,n,
3,122,BB_152,4,,,incomplete,n,
3,123,BB_003,6,,,"complete, can't find",,x
3,123,BB_010,3,10.82,,complete,y,
3,123,BB_018,5,10.12,,complete,y,
3,124,BB_042,4,12.78,,complete,y,
3,124,BB_074,6,,,DNE,,
3,124,BB_193,8,38.93,,complete,y,
3,124,BB_195,4,,,incomplete,y,
3,125,BB_044,2,,,incomplete,y,
3,125,BB_049,2,14.65,,complete,y,
3,125,BB_049,4,13.92,,complete,n,
3,125,BB_049,5,5.16,,Complete,n,
3,125,BB_131,7,,,DNE,,
3,126,BB_013,6,,,DNE,,
3,126,BB_117,1,,,DNE,,
3,126,BB_172,3,,,DNE,,
3,127,BB_060,8,,,DNE,,
3,127,BB_080,8,13.14,,complete,y,
3,127,BB_206,5,,,DNE,,
3,128,BB_016,7,,,DNE,,
3,128,BB_153,1,,,incomplete,y,
3,128,BB_183,2,,,DNE,,
3,129,BB_058,1,10.53,,complete,y,
3,129,BB_089,8,37.75,,complete,y,
3,129,BB_137,2,,,DNE,n,
3,129,BB_137,3,2.83,,Complete,y,
3,129,BB_137,8,,,DNE,n,
3,131,BB_019,4,,,DNE,,
3,131,BB_084,7,10.88,,complete,y,
3,131,BB_170,7,,,DNE,,
3,131,BB_199,5,19.53,,complete,y,
3,132,BB_063,2,,,incomplete,y,
3,132,BB_079,6,7.3,,complete,y,
3,133,BB_053,4,,,incomplete,y,
3,133,BB_133,3,7.71,,complete,y,
3,133,BB_135,8,,,incomplete,y,
3,134,BB_085,5,,,DNE,,
3,134,BB_085,7,6.84,,Complete,y,
3,134,BB_132,8,11.83,,complete,y,
3,134,BB_146,1,16.31,,Complete,y,
3,135,BB_045,6,,,DNE,,
3,135,BB_052,3,,,DNE,,
3,136,BB_048,2,3.66,,complete,y,
3,136,BB_061,2,4.08,,Complete,n,
3,136,BB_061,5,,,incomplete,n,
3,136,BB_210,7,,,incomplete,y,
3,137,BB_031,1,27.45,,Complete,y,
3,137,BB_140,7,,,DNE,,
3,137,BB_150,7,7.51,,complete,y,
3,138,BB_076,5,,,DNE,,
3,138,BB_160,4,,,DNE,,
3,139,BB_046,2,17.6,,complete,y,
3,139,BB_200,7,,,DNE,,
3,141,BB_037,8,19.97,,complete,y,
3,141,BB_163,5,28.81,,complete,y,
3,141,BB_164,1,11.89,,complete,y,
3,141,BB_164,4,9.14,,complete,n,
3,141,BB_164,8,10.04,,complete,n,
3,141,BB_192,1,,,incomplete,y,
3,142,BB_054,4,40.87,,complete,y,
3,142,BB_104,1,75.78,,complete,y,
3,142,BB_154,5,,,DNE,,
3,143,BB_017,2,,,DNE,,
3,143,BB_017,5,29.9,,Complete,y,
3,143,BB_017,6,32.84,,Complete, n,
3,143,BB_094,4,,,DNE,,
3,143,BB_110,6,13.25,,complete,y,
3,144,BB_070,7,,,DNE,,
3,144,BB_081,2,,,DNE,,
3,144,BB_105,1,,,Incomplete,n,
3,144,BB_105,4,,,Incomplete,n,
3,144,BB_105,8,18.26,,complete,y,
