Transect,Recipient,Fitness Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
5,AC_131,3,16.39,,complete,y,
5,AC_136,3,31.45,,complete,y,
5,AC_143,8,,,incomplete,y,
5,AC_147,7,53.04,,complete,y,
5,AC_155,9,31.89,,complete,y,
5,AC_159,1,4.23,,complete,y,
5,AC_172,7,62.61,,complete,y,
5,AC_186,6,,,Incomplete,y,
5,AC_186,10,23.22,,complete,n,
5,AC_192,2,14.86,,complete,y,
5,AC_200,6,123.38,,complete,y,
5,AC_201,2,10.65,,complete,y,
5,AC_211,10,,,DNE,,
5,AC_212,9,,,incomplete,y,
5,AC_213,4,18.89,,complete,y,
5,AC_216,4,9.32,,complete,n,
5,AC_216,5,75.85,,complete,n,
5,AC_216,6,56,,complete,y,
5,AC_217,2,94.35,,complete,y,
5,AC_217,8,30.66,,complete,n,
5,AC_217,10,143.38,,complete,n,
5,AC_218,4,125.63,,complete,n,
5,AC_218,5,181.76,,complete,y,
5,AC_218,6,19.15,,complete,n,
6,AC_011,6,100.26,,complete,y,
6,AC_015,4,9.28,,complete,y,
6,AC_030,10,,,DNE,,
6,AC_038,5,32.85,,complete,y,
6,AC_051,3,1.94,,complete,y,
6,AC_052,6,4.85,,complete,y,
6,AC_057,5,,,DNE,,
6,AC_066,6,,,DNE,,
6,AC_068,8,114.52,,complete,y,
6,AC_074,7,5.03,,complete,y,
6,AC_075,3,2.59,,complete,y,
6,AC_081,2,15.21,,complete,n,
6,AC_081,7,48.8,,complete,n,
6,AC_081,8,17.24,,complete,y,
6,AC_094,5,5.74,,complete,y,
6,AC_095,6,14.32,,complete,y,
6,AC_099,3,,,incomplete,n,
6,AC_099,5,15.83,,complete,n,
6,AC_099,10,60.81,,complete,y,
6,AC_104,10,131.18,,complete,y,
6,AC_107,8,105.27,,complete,y,
6,AC_114,9,117.99,,complete,y,
6,AC_120,4,6.46,,complete,y,
6,AC_133,3,7.68,,complete,y,
6,AC_142,2,2.06,,complete,y,
6,AC_153,7,124.31,,complete,y,
6,AC_160,2,203.79,,complete,y,
6,AC_168,3,12.11,,complete,y,
6,AC_181,4,3.34,,complete,y,
6,AC_187,2,,,DNE,,
6,AC_187,5,184.63,,complete,n,
6,AC_187,8,82.63,,complete,y,
6,AC_188,4,18.95,,complete,y,
6,AC_189,4,,,DNE,,
6,AC_189,5,,,DNE,,
6,AC_189,10,43.28,,complete,y ,
6,AC_190,3,8.76,,complete,n,
6,AC_190,7,18.4,,complete,y,
6,AC_190,9,5.72,,complete,n,
6,AC_191,7,6.9,, complete,y,
6,AC_193,8,4.43,,complete,y,
6,AC_195,1,45.83,,complete,y,
6,AC_199,5,72.95,,complete,y,
6,AC_205,5,45.14,,complete,y,
6,AC_208,1,5.42,,complete,n,
6,AC_208,4,11.23,,complete,y,
6,AC_208,8,,,incomplete,n,
7,AC_017,6,80.27,,complete,y,
7,AC_032,6,,,incomplete,y,
7,AC_038,1,31.78,,complete,y,
7,AC_040,1,10.36,,complete,n,
7,AC_040,4,56.37,,complete,y,
7,AC_040,7,89.61,,complete,n,
7,AC_046,8,24.31,,complete,y,
7,AC_048,1,4.8,mg,complete,y,
7,AC_054,7,7.91,,complete,y,
7,AC_058,3,35.64,,complete,y,
7,AC_058,5,78.67,,complete,n,
7,AC_058,9,,,incomplete,n,
7,AC_062,4,57.33,,complete,y,
7,AC_068,8,21.5,,complete,y,
7,AC_072,6,,,incomplete,y,
7,AC_074,2,7.76,,complete,y,
7,AC_081,3,44.12,,complete,n,
7,AC_081,6,124.73,,complete,y,
7,AC_081,8,48.55,,complete,n,
7,AC_094,2,,,DNE,,
7,AC_097,1,10.6,,complete,y,
7,AC_097,7,28.28,,complete,n,
7,AC_097,10,70.93,,complete,n,
7,AC_100,9,14.38,,complete,y,
7,AC_104,8,41.35,,complete,y,
7,AC_107,6,33.1,,complete,y,
7,AC_111,1,5.93,,complete,n,
7,AC_111,5,22.59,,complete,y,
7,AC_111,7,12.38,,complete,n,
