Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes,Chosen for Pulverization? (y/n)
7,BO_189,4,,,incomplete,y
7,BO_189,6,28.47,,complete,n
8,BO_004,2,51.83,,complete,y
8,BO_009,7,136.95,,complete,y
8,BO_015,3,,,DNE,
8,BO_018,6,4.3,,complete,y
8,BO_019,3,11.53,,complete,y
8,BO_021,3,,,incomplete,n
8,BO_021,4,28.83,,complete,n
8,BO_021,6,,,incomplete,y
8,BO_034,4,12.43,,complete,y
8,BO_037,6,,,DNE,
8,BO_048,1,37.86,,complete,y
8,BO_048,6,,,incomplete,n
8,BO_048,8,61.61,,complete,n
8,BO_054,8,13.15,,complete,y
8,BO_066,6,,,incomplete,y
8,BO_088,1,,,DNE,
8,BO_091,2,38.23,,complete,y
8,BO_100,2,53.65,,complete,y
8,BO_102,3,,,DNE,
8,BO_116,5,,,incomplete,y
8,BO_126,1,,,incomplete,n
8,BO_126,3,13.63,,complete,n
8,BO_126,4,14.91,,complete,y
8,BO_134,7,33.25,,complete,y
8,BO_143,3,,,DNE,
8,BO_144,5,31.15,,complete,y
8,BO_148,8,24.65,,complete,y
8,BO_152,4,38.68,,complete,y
8,BO_152,5,,,incomplete,n
8,BO_152,6,,,DNE,
8,BO_154,6,3.23,,complete,y
8,BO_167,3,,,DNE,
8,BO_169,1,,,DNE,
8,BO_169,2,124.39,,complete,n
8,BO_175,2,,,DNE,
8,BO_176,1,62,,complete,y
8,BO_178,3,5.91,,complete,y
8,BO_180,4,6.16,,complete,y
8,BO_184,1,,,incomplete,y
8,BO_190,3,24.49,,complete,y
8,BO_201,2,6.19,,complete,y
8,BO_066,6,,,incomplete,
8,BO_091,2,38.23,,complete,y
9,BO_004,1,,,DNE,
9,BO_004,3,,,incomplete,y
9,BO_021,2,,,DNE,
9,BO_021,7,45.99,,complete,y
9,BO_021,8,6.6,,complete,n
9,BO_024,1,21.71,,complete,n
9,BO_024,3,16.86,,complete,n
9,BO_024,5,3.36,,complete,y
9,BO_034,7,16.86,,"EXCLUDE. lost, not found for pulverization",
9,BO_053,7,77.85,,complete,y
9,BO_070,4,15.81,,complete,y
9,BO_072,3,8.53,,complete,y
9,BO_088,5,,,incomplete,y
9,BO_090,2,8.97,,complete ,y
9,BO_094,6,,,DNE,
9,BO_095,6,,,DNE,
9,BO_102,1,16.3,,complete,y
9,BO_106,6,18.61,,complete,y
9,BO_116,3,,,incomplete,y
9,BO_123,7,22.42,,complete,y
9,BO_124,2,,,DNE,
9,BO_125,8,15.62,,complete,y
