Transect,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Tray Name,Well ID,Type of Material,Analysis,Enriched
8,BO_004,2,BO_004-008-02,117,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_009,7,BO_009-008-07,118,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_018,6,BO_018-008-06,119,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_019,3,BO_019-008-03,120,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_021,6,BO_021-008-06,121,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_034,4,BO_034-008-04,122,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_048,1,BO_048-008-01,123,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_054,8,BO_054-008-08,124,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_066,6,BO_066-008-06,125,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_091,2,BO_091-008-02,126,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_100,2,BO_100-008-02,127,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_116,5,BO_116-008-05,128,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_126,4,BO_126-008-04,129,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_134,7,BO_134-008-07,130,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_144,5,BO_144-008-05,131,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_148,8,BO_148-008-08,132,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_152,4,BO_152-008-04,133,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_154,6,BO_154-008-06,134,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_176,1,BO_176-008-01,135,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_178,3,BO_178-008-03,136,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_180,4,BO_180-008-04,137,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_184,1,BO_184-008-01,138,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_190,3,BO_190-008-03,139,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_201,2,BO_201-008-02,140,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
8,BO_091,2,BO_091-008-02,141,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
