Transect,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
8,HR_133,5,43.94,,complete,y,
8,HR_139,1,,,incomplete,y,
8,HR_141,6,,,DNE,n,
8,HR_145,1,25.61,,complete,n,
8,HR_145,3,60.47,,complete,n,
8,HR_145,4,,,incomplete,y,
8,HR_150,2,,,DNE,n,
8,HR_153,3,,,incomplete,y,
8,HR_158,3,,,DNE,n,
8,HR_162,2,8.46,,complete,n,
8,HR_162,7,20.25,,complete,y,
8,HR_162,8,,,incomplete,n,
8,HR_164,3,73.3,,complete,y,
8,HR_166,3,18.05,,complete,y,
8,HR_168,2,,,incomplete,y,
8,HR_169,6,45.48,,complete,y,
8,HR_176,8,115.28,,complete,y,
8,HR_177,2,18.12,,complete,y,
8,HR_178,6,104.02,,complete,y,
8,HR_181,6,75.93,,complete,y,
9,HR_004,4,,,incomplete,y,
9,HR_009,7,64.93,,complete,y,
9,HR_011,8,133.27,,complete,y,
9,HR_016,2,37.13,,complete,y,
9,HR_021,8,24.38,,complete,y,
9,HR_027,3,,,DNE,n,
9,HR_035,3,38.31,,complete,y,
9,HR_036,8,102.02,,complete,y,
9,HR_037,6,68.07,,complete,y,
9,HR_038,7,108.2,,complete,y,
9,HR_039,2,67.64,,complete,y,
9,HR_043,3,124.88,,complete,n,
9,HR_043,4,33.4,,complete,y,
9,HR_043,8,,,DNE,n,
9,HR_044,1,99.19,,complete,y,
9,HR_044,6,,,DNE,n,
9,HR_044,8,,,incomplete,n,
9,HR_047,7,110.49,,complete,y,
9,HR_050,7,70.81,,complete,y,
9,HR_053,4,80.99,,complete,y,
9,HR_062,5,,,DNE,n,
9,HR_066,5,90.57,,complete,y,
9,HR_073,4,,,incomplete,y,
9,HR_080,3,120.15,,complete,n,
9,HR_080,4,77.51,,complete,y,
9,HR_080,5,,,incomplete,n,
9,HR_085,8,184.91,,complete,y,
9,HR_086,3,,,incomplete,y,
9,HR_087,4,166.08,,complete,y,
9,HR_095,3,108.48,,complete,y,
9,HR_101,3,,,DNE,n,
9,HR_101,6,,,DNE,n,
9,HR_101,8,,,incomplete,y,
9,HR_103,1,31.21,,complete,y,
9,HR_105,5,26,,complete,y,
9,HR_107,1,13,,complete,y,
9,HR_108,1,138.82,,complete,y,
9,HR_113,4,41.53,,complete,y,
9,HR_118,1,,,incomplete,y,
9,HR_123,8,,,DNE,n,
9,HR_126,8,,,DNE,n,
9,HR_129,1,29.89,,complete,y,
9,HR_135,2,34.55,,complete,y,
9,HR_146,2,,,DNE,n,
9,HR_146,5,52.69,,complete,y,
9,HR_146,6,113.45,,complete,n,
9,HR_149,1,,,incomplete,n,
9,HR_149,6,32.4,,complete,n,
9,HR_149,7,,,incomplete,y,
9,HR_159,5,32.84,,complete,y,
9,HR_170,7,78.62,,complete,y,
9,HR_174,6,139.67,,complete,y,
9,HR_190,7,21.97,,complete,y,
9,HR_193,1,,,DNE,n,
9,HR_195,7,24.72,,complete,y,
9,HR_196,6,104,,complete,y,
9,HR_197,4,7.3,,complete,y,
