Block,Transect,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
3,10,BO_184,1,20.188,brightmax: 195,,
3,10,BO_189,NA,,,,
3,10,BO_195,7,14.448,brightmax: 209,,
3,10,BO_195,5,16.791,brightmax: 203,,
3,10,BO_198,2,38.054,brightmax: 221,,
3,10,BO_201,1,55.568,brightmax: 221,,
3,11,BO_012,1,30.947,brightmax: 195,,
3,11,BO_013,4,31.356,brightmax: 210,,
3,11,BO_015,1,12.431,brightmax: 203,,
3,11,BO_022,1,22.786,"brightmax: 226, one leaf seemed folded over",,
3,11,BO_025,7,10.856,"brightmax: 230, half looks folded over",,
3,11,BO_032,4,114.325,brightmax: 212,,
3,11,BO_037,1,30.749,brightmax: 180,,
3,11,BO_046,NA,,,,
3,11,BO_050,5,112.522,brightmax: 218,,
3,11,BO_051,1,86.207,brightmax: 220,,
3,11,BO_060,2,92.364,brightmax: 220,,
3,11,BO_061,7,89.028,brightmax: 212,,
3,11,BO_066,5,53.276,brightmax: 224 (alt method),,
3,11,BO_067,1,47.664,brightmax: 212,,
3,11,BO_069,NA,,,,
3,11,BO_071,NA,,,,
3,11,BO_079,NA,,,,
3,11,BO_082,NA,,,,
3,11,BO_099,NA,,,,
3,11,BO_104,4,90.066,brightmax: 199,,
3,11,BO_105,NA,,Photo & envelope exists labeled BO_102 plnat 2 (T11) but is a typo- no such ID in transect 11 (DG),,
3,11,BO_108,7,35.65,brightmax: 182,,
3,11,BO_115,6,36.583,brightmax: 218,,
3,11,BO_117,6,32.81,brightmax:195,,
3,11,BO_118,NA,,,,
3,11,BO_122,NA,,,,
3,11,BO_130,1,51.006,brightmax: 212 (alt method b/c leaves touching),,
3,11,BO_134,2,32.152,brightmax: 208,,
3,11,BO_137,2,32.523,brightmax: 177,,
3,11,BO_147,8,21.494,brightmax: 217,,
3,11,BO_150,8,32.244,brightmax: 179,,
3,11,BO_152,4,52.02,brightmax: 197,,
3,11,BO_159,NA,,,,
3,11,BO_167,1,37.085,brightmax: 199,,
3,11,BO_175,6,27.412,brightmax: 195 (alt method b/c leaves touching),,
3,11,BO_176,4,33.061,brightmax: 224,,
3,11,BO_180,5,27.326,brightmax: 205,,
3,11,BO_182,5,57.047,brightmax: 194,,
3,11,BO_200,1,77.954,brightmax: 212,,
3,12,BO_001,2,93.751,brightmax: 173,,
