Block,Location,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
2,80,BB_207,8,41.089,brightmax: 222,,
W,80.5,BB_059,NA,,,,
W,80.5,BB_102,4,64.043,brightmax:205,,
W,80.5,BB_102,7,19.572,"brightmax: 198, alt method",,
W,80.5,BB_137,NA,,,,
2,81,BB_113,NA,,,,
2,81,BB_159,NA,,,,
2,82,BB_025,NA,,,,
2,82,BB_131,NA,,,,
2,83,BB_039,NA,,,,
2,83,BB_093,NA,,,,
2,83,BB_102,NA,,,,
2,83,BB_109,NA,,,,
2,84,BB_186,NA,,,,
2,84,BB_187,NA,,,,
2,85,BB_002,4,52.985,brightmax: 208,,
2,85,BB_029,NA,,,,
2,85,BB_079,NA,,,,
2,85,BB_193,NA,,,,
2,86,BB_077,NA,,,,
2,86,BB_103,NA,,,,
2,86,BB_179,NA,,,,
2,86,BB_189,NA,,,,
2,87,BB_087,NA,,,,
2,87,BB_126,NA,,,,
2,87,BB_137,NA,,,,
2,87,BB_206,NA,,,,
2,88,BB_017,NA,,,,
2,88,BB_116,NA,,,,
2,88,BB_149,NA,,,,
W,90,BB_024,NA,,,,
W,90,BB_079,NA,,,,
W,90,BB_164,NA,,,,
2,91,BB_007,NA,,,,
2,91,BB_049,NA,,,,
2,92,BB_010,NA,,,,
2,92,BB_080,NA,,,,
2,92,BB_160,NA,,,,
2,93,BB_138,NA,,,,
2,94,BB_013,NA,,,,
2,94,BB_094,NA,,,,
2,95,BB_063,NA,,,,
2,96,BB_044,NA,,,,
2,96,BB_200,NA,,,,
2,97,BB_060,NA,,,,
2,97,BB_071,NA,,,,
2,98,BB_086,NA,,,,
2,98,BB_110,NA,,,,
2,99,BB_035,NA,,,,
2,99,BB_059,NA,,,,
2,99,BB_192,NA,,,,
2,99,BB_205_A,NA,,,,
W,100,BB_085,NA,,,,
2,101,BB_021,NA,,,,
2,102,BB_183,NA,,,,
2,103,BB_030,NA,,,,
2,103,BB_054,NA,,,,
2,103,BB_181,NA,,,,
2,103,BB_215,NA,,,,
2,104,BB_046,7,11.494,brightmax: 193,,
2,104,BB_048,NA,,,,
2,104,BB_170,5,10.229,brightmax: 211,,
2,105,BB_123,NA,,,,
3,106,BB_071,1,9.523,brightmax: 183,,
3,106,BB_072,3,7.805,brightmax: 182,,
3,106,BB_103,6,21.155,brightmax: 224,,
3,107,BB_020,8,39.989,brightmax: 205,,
3,108,BB_186,NA,,,,
3,108,BB_204,NA,,,,
3,109,BB_024,NA,,,,
3,109,BB_087,NA,,,,
3,109,BB_097,NA,,,,
W,110,BB_061,4,18.91,brightmax: 165 (alt method),,
W,110,BB_077,7,32.344,"brightmax: 170 (alt method, leaves touching)",,
W,110,BB_187,8,39.127,"Update: used alt method to approximate area (bmax 180, DG). too light, leaf cannot be separated from background",,
3,111,BB_027,NA,,,,
3,111,BB_069,NA,,,,
3,111,BB_127,NA,,,,
3,112,BB_151,NA,,,,
3,112,BB_161,NA,,,,
3,112,BB_218,7,13.428,brightmax: 196,,
3,113,BB_030,2,148.669,brightmax: 222,,
3,113,BB_118,NA,,,,
3,113,BB_201,2,26.444,brightmax: 199,,
3,114,BB_032,2,11.187,EXCLUDE. - bad leaf (DG). brightmax: 177. >5% of the leaf area is folded over itself,,
3,114,BB_035,NA,,,,
3,115,BB_077,NA,,,,
3,115,BB_214,NA,,,,
3,116,BB_064,NA,,,,
3,116,BB_078,NA,,,,
3,116,BB_149,NA,,,,
3,117,BB_092,NA,,,,
3,117,BB_098,NA,,,,
3,117,BB_190,2,39.612,Update: alt method used to approx area (DG). Not enough brightness constrast between leaf and background to be able to approximate leaf perimeter - photo should be retaken,,
3,118,BB_002,NA,,,,
3,118,BB_034,NA,,,,
3,118,BB_207,NA,,,,
3,119,BB_086,NA,,,,
3,119,BB_143,NA,,,,
3,119,BB_189,NA,,,,
W,120,BB_017,3,64.022,brightmax: 191. Was not originally in spreadsheet; alt steps were used bc large gaps,,
W,120,BB_017,6,25.797,brightmax: 186 (about half the leaf is folded over),,
W,120,BB_024,5,78.218,"brightmax:182. Also, ignore photo reading BB_054 at 120 - it's a typo",,
W,120,BB_024,8,75.48,brightmax: 158,,
W,120,BB_137,8,19.787,brightmax: 125,,
3,121,BB_088,NA,,,,
3,121,BB_109,NA,,,,
3,121,BB_123,7,59.891,brightmax: 181,,
3,121,BB_134,NA,,,,
3,122,BB_021,NA,,,,
3,122,BB_120,NA,,,,
3,122,BB_152,NA,,,,
3,123,BB_003,NA,,,,
3,123,BB_010,NA,,,,
3,123,BB_018,NA,,,,
3,124,BB_042,2,35.002,brightmax: 197,,
3,124,BB_074,NA,,,,
3,124,BB_193,NA,,,,
3,124,BB_195,NA,,,,
3,125,BB_044,NA,,,,
3,125,BB_049,3,26.457,brightmax: 191,,
3,125,BB_131,NA,,,,
3,126,BB_013,8,69.516,brightmax: 196,,
3,126,BB_117,NA,,,,
3,126,BB_172,5,98.974,brightmax: 202,,
3,127,BB_060,NA,,,,
3,127,BB_080,NA,,,,
3,127,BB_206,NA,,,,
3,128,BB_016,NA,,,,
3,128,BB_153,NA,,,,
3,128,BB_183,NA,,,,
3,129,BB_058,NA,,,,
3,129,BB_089,7,33.45,"brightmax: 226; alt steps used due to folds, accounted for missing area with added spacing",,
3,129,BB_137,NA,,,,
W,130,BB_105,NA,,,,
W,130,BB_118,NA,,,,
W,130,BB_185,7,25.512,brightmax: 146,,
3,131,BB_019,8,20.126,"brightmax: 197, part of the leaf is missing",,
3,131,BB_084,8,42.522,brightmax alt: 217,,
3,131,BB_170,NA,,,,
3,131,BB_199,6,21.05,brightmax: 177,,
3,132,BB_063,NA,,,,
3,132,BB_079,NA,,,,
3,132,BB_121,1,36.75,"brightmax: 167. A photo exists as T132_121_01 and is not in this sheet, pls check. This row is manually added. -BY. Looks good, this ID wasn't included originally because it never produced any fruit (DG)",,
3,133,BB_053,NA,,,,
3,133,BB_133,1,21.736,brightmax: 187,,
3,133,BB_135,NA,,,,
3,134,BB_085,1,26.151,brightmax: 183,,
3,134,BB_132,NA,,,,
3,134,BB_146,NA,,,,
3,135,BB_045,NA,,,,
3,135,BB_052,NA,,,,
3,136,BB_048,NA,,,,
3,136,BB_061,NA,,,,
3,136,BB_210,NA,,,,
3,137,BB_031,NA,,,,
3,137,BB_140,NA,,,,
3,137,BB_150,NA,,,,
3,138,BB_076,NA,,,,
3,138,BB_160,NA,,,,
3,139,BB_046,NA,,,,
3,139,BB_200,3,71.858,brightmax: 177,,
W,140,BB_049,2,37.793,brightmax: 170,,
W,140,BB_143,NA,,,,
3,141,BB_037,5,17.286,brightmax: 181,,
3,141,BB_163,6,50.754,brightmax: 186,,
3,141,BB_164,3,101.256,brightmax: 190,,
3,141,BB_164,7,79.516,brightmax:204; alt,,
3,141,BB_192,3,22.163,brightmax: 169,,
3,142,BB_054,6,37.642,brightmax: 226,,
3,142,BB_104,NA,,,,
3,142,BB_154,NA,,,,
3,143,BB_017,NA,,,,
3,143,BB_094,3,66.682,brightmax: 194,,
3,143,BB_110,NA,,,,
3,144,BB_070,4,38.292,brightmax: 186; alt method,,
3,144,BB_081,NA,,,,
3,144,BB_105,NA,,,,
3,144,BB_119,NA,,,,
3,145,BB_083,NA,,,,
3,145,BB_216,NA,,,,
3,146,BB_039,NA,,,,
3,146,BB_102,NA,,,,
3,146,BB_116,NA,,,,
3,146,BB_158,NA,,,,
3,147,BB_025,NA,,,,
3,147,BB_111,NA,,,,
3,147,BB_187,NA,,,,
3,148,BB_029,6,37.362,brightmax: 186,,
3,149,BB_056,NA,,,,
3,149,BB_138,3,68.559,brightmax: 167,,
3,149,BB_139,2,26.624,"brightmax: 189, alt method leaves touching",,
W,150,BB_051,NA,,,,
W,150,BB_059,6,50.543,brightmax: 146,,
W,150,BB_079,5,129.482,brightmax: 172 (alt method),,
3,151,BB_008,3,35.543,brightmax: 165,,
3,151,BB_051,NA,,,,
3,151,BB_211,1,119.082,brightmax: 229,,
3,152,BB_007,6,17.413,brightmax: 198,,
3,152,BB_043,6,50.551,brightmax: 193,,
3,152,BB_114,5,56.137,brightmax: 197,,
3,153,BB_145,NA,,,,
3,153,BB_148,1,71.557,brightmax: 175,,
3,153,BB_179,3,81.366,brightmax: 203,,
3,154,BB_095,1,35.499,brightmax: 182,,
3,154,BB_166,4,32.173,brightmax: 185,,
3,154,BB_205_A,1,55.331,brightmax: 205,,
3,155,BB_059,8,24.097,brightmax: 214,,
3,155,BB_147,8,15.743,brightmax: 201,,
3,155,BB_157,NA,,,,
3,156,BB_009,8,34.655,brightmax: 232,,
W,160,BB_020,4,59.328,brightmax: 187. This row is manually added. -BY,,
W,160,BB_020,8,28.09,brightmax: 171,,
W,160,BB_102,5,16.59,brightmax: 164,,
W,160,BB_152,4,25.14,brightmax: 166,,
