Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
109,4,2R,G1,AC_045,AC_096,3
110,4,3L,G2,AC_207,AC_055,5
110,4,3R,G1,AC_186,AC_011,2
111,4,4L,G1,AC_002,AC_104,5
111,4,4R,G2,AC_177,AC_107,1
112,4,5L,G2,AC_102,AC_178,4
112,4,5R,G1,AC_103,AC_201,2
113,4,6L,G1,AC_195,AC_179,4
113,4,6R,G2,AC_094,AC_109,1
114,4,7L,G2,AC_124,AC_014,4
114,4,7R,G1,AC_179,AC_136,2
115,4,8L,G1,AC_039,AC_168,2
115,4,8R,G2,AC_089,AC_057,2
116,4,9L,G1,AC_007,AC_147,1
116,4,9R,G1,AC_160,AC_186,2
117,4,10L,G2,AC_150,AC_083,1
117,4,10R,G2,AC_150,AC_110,3
118,4,11L,G1,AC_216,AC_058,3
118,4,11R,G2,AC_091,AC_204,3
119,4,12L,G2,AC_097,AC_054,5
119,4,12R,G1,AC_096,AC_128,3
120,4,13L,G1,AC_039,AC_168,4
120,4,13R,G2,AC_207,AC_070,4
121,4,14L,G2,AC_198,AC_072,3
121,4,14R,G2,AC_045,AC_151,4
122,4,15L,G2,AC_216,AC_099,3
122,4,15R,G1,AC_169,AC_075,
123,4,16L,G1,AC_186,AC_048,3
123,4,16R,G1,AC_002,AC_160,5
124,4,17L,G1,AC_008,AC_068,3
124,4,17R,G2,AC_094,AC_109,3
125,4,18L,G2,AC_186,AC_011,4
125,4,18R,G1,AC_161,AC_088,4
126,4,19L,G2,AC_207,AC_055,3
126,4,19R,G1,AC_064,AC_017,3
127,4,20L,G1,AC_170,AC_203,1
127,4,20R,G2,AC_124,AC_030,3
128,4,21L,G2,AC_002,AC_160,2
128,4,21R,G2,AC_068,AC_195,4
129,4,22L,G1,AC_156,AC_005,1
129,4,22R,G2,AC_107,AC_172,4
130,4,23L,G1,AC_008,AC_188,
130,4,23R,G1,AC_169,AC_120,5
131,4,24L,G1,AC_045,AC_123,4
131,4,24R,G1,AC_150,AC_200,
132,4,25L,G2,AC_071,AC_215,
132,4,25R,G1,AC_107,AC_130,3
133,4,26L,G1,AC_124,AC_100,4
133,4,26R,G2,AC_198,AC_051,2
134,4,27L,G1,AC_172,AC_208,4
134,4,27R,G2,AC_172,AC_040,5
135,4,28L,G1,AC_207,AC_070,2
135,4,28R,G1,AC_172,AC_040,3
136,4,29L,G1,AC_170,AC_203,3
136,4,29R,G1,AC_094,AC_216,5
137,4,30L,G2,AC_159,AC_143,5
137,4,30R,G1,AC_091,AC_204,4
138,4,31L,G2,AC_125,AC_095,1
138,4,31R,G2,AC_008,AC_068,1
139,4,32L,G2,AC_195,AC_179,5
139,4,32R,G2,AC_015,AC_190,1
140,4,33L,G2,AC_170,AC_118,3
140,4,33R,G2,AC_097,AC_064,3
141,4,34L,G2,AC_007,AC_147,1
141,4,34R,G2,AC_052,AC_131,3
142,4,35L,G1,AC_159,AC_094,
142,4,35R,G1,AC_165,AC_062,3
143,4,36L,G2,AC_168,AC_159,5
143,4,36R,G2,AC_168,AC_159,5
144,5,1L,G1,AC_094,AC_109,2
144,5,1R,G1,AC_186,AC_153,1
145,5,2L,G1,AC_150,AC_200,5
145,5,2R,G1,AC_179,AC_171,2
146,5,3L,G2,AC_096,AC_128,5
146,5,3R,G2,AC_054,AC_046,2
147,5,4L,G1,AC_216,AC_058,2
147,5,4R,G1,AC_068,AC_195,5
148,5,5L,G2,AC_172,AC_208,5
148,5,5R,G2,AC_102,AC_178,5
149,5,6L,G1,AC_159,AC_192,
149,5,6R,G2,AC_168,AC_010,5
150,5,7L,G1,AC_008,AC_068,2
150,5,7R,G2,AC_008,AC_188,2
151,5,8L,G1,AC_165,AC_206,5
151,5,8R,G2,AC_089,AC_032,4
152,5,9L,G2,AC_172,AC_111,1
152,5,9R,G1,AC_068,AC_056,4
153,5,10L,G1,AC_094,AC_217,3
153,5,10R,G1,AC_097,AC_064,5
154,5,11L,G2,AC_097,AC_064,3
154,5,11R,G1,AC_207,AC_070,2
155,5,12L,G2,AC_207,AC_055,
155,5,12R,G1,AC_168,AC_142,3
156,5,13L,G2,AC_186,AC_153,2
156,5,13R,G1,AC_198,AC_051,
157,5,14L,G2,AC_096,AC_128,2
157,5,14R,G1,AC_172,AC_040,2
158,5,15L,G1,AC_002,AC_104,1
158,5,15R,G1,AC_156,AC_005,3
159,5,16L,G1,AC_124,AC_030,1
