Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
26,76,76R,G1,BB_001,BB_072,5,38.3149,-123.06961
26,77,77L,G2,BB_108,BB_189,2,38.3149,-123.06961
26,77,77R,G1,BB_217,BB_016,,38.3149,-123.06961
26,78,78L,G1,BB_005,BB_034,,38.3149,-123.06961
26,78,78R,G1,BB_073,BB_064,,38.3149,-123.06961
27,79,79L,G1,BB_122,BB_126,1,38.31495,-123.06969
27,79,79R,G1,BB_038,BB_149,5,38.31495,-123.06969
27,80,80L,G1,BB_194,BB_163,5,38.31495,-123.06969
27,80,80R,G1,BB_065,BB_013,5,38.31495,-123.06969
27,81,81L,G1,BB_173,BB_095,4,38.31495,-123.06969
27,81,81R,G2,BB_115,BB_020,2,38.31495,-123.06969
28,82,82L,G1,BB_167,BB_008,1,38.31492,-123.06968
28,82,82R,G2,BB_176,BB_059,4,38.31492,-123.06968
28,83,83L,G1,BB_162,BB_080,2,38.31492,-123.06968
28,83,83R,G1,BB_014,BB_185,1,38.31492,-123.06968
28,84,84L,G1,BB_182,BB_021,3,38.31492,-123.06968
28,84,84R,G1,BB_014,BB_152,4,38.31492,-123.06968
29,85,85L,G2,BB_175,BB_104,2,38.31489,-123.06966
29,85,85R,G1,BB_125,BB_137,,38.31489,-123.06966
29,86,86L,G1,BB_038,BB_216,5,38.31489,-123.06966
29,86,86R,G2,BB_023,BB_190,3,38.31489,-123.06966
29,87,87L,G1,BB_197,BB_060,5,38.31489,-123.06966
29,87,87R,G1,BB_066,BB_052,1,38.31489,-123.06966
30,88,88L,G1,BB_171,BB_127,5,38.31483,-123.06966
30,88,88R,G1,BB_188,BB_171,,38.31483,-123.06966
30,89,89L,G1,BB_026,BB_153,,38.31483,-123.06966
30,89,89R,G1,BB_182,BB_201,,38.31483,-123.06966
30,90,90L,G1,BB_001,BB_074,2,38.31483,-123.06966
30,90,90R,G1,BB_073,BB_084,4,38.31483,-123.06966
31,91,91L,G1,BB_115,BB_020,5,38.31481,-123.06973
31,91,91R,G1,BB_091,BB_094,2,38.31481,-123.06973
31,92,92L,G2,BB_066,BB_019,3,38.31481,-123.06973
31,92,92R,G2,BB_055,BB_145,2,38.31481,-123.06973
31,93,93L,G2,BB_066,BB_087,,38.31481,-123.06973
31,93,93R,G2,BB_198,BB_138,4,38.31481,-123.06973
32,94,94L,G2,BB_171,BB_039,1,38.3148,-123.06974
32,94,94R,G1,BB_055,BB_119,2,38.3148,-123.06974
32,95,95L,G1,BB_011,BB_215,,38.3148,-123.06974
32,95,95R,G1,BB_107,BB_151,3,38.3148,-123.06974
32,96,96L,G1,BB_173,BB_044,4,38.3148,-123.06974
32,96,96R,G2,BB_144,BB_207,2,38.3148,-123.06974
33,97,97L,G1,BB_023,BB_078,3,38.31474,-123.06976
33,97,97R,G1,BB_194,BB_163,4,38.31474,-123.06976
33,98,98L,G2,BB_051,BB_143,,38.31474,-123.06976
33,98,98R,G1,BB_065,BB_192,5,38.31474,-123.06976
33,99,99L,G1,BB_169,BB_160,,38.31474,-123.06976
33,99,99R,G2,BB_028,BB_083,,38.31474,-123.06976
34,100,100L,G1,BB_176,BB_049,5,38.31469,-123.06968
34,100,100R,G2,BB_100,BB_135,2,38.31469,-123.06968
34,101,101L,G1,BB_215,BB_004,4,38.31469,-123.06968
34,101,101R,G2,BB_215,BB_210,2,38.31469,-123.06968
34,102,102L,G1,BB_141,BB_037,2,38.31469,-123.06968
34,102,102R,G1,BB_182,BB_201,1,38.31469,-123.06968
35,103,103L,G2,BB_182,BB_021,2,38.31466,-123.06969
35,103,103R,G2,BB_215,BB_148,3,38.31466,-123.06969
35,104,104L,G1,BB_055,BB_119,4,38.31466,-123.06969
35,104,104R,G1,BB_066,BB_019,4,38.31466,-123.06969
35,105,105L,G2,BB_168,BB_046,5,38.31466,-123.06969
35,105,105R,G1,BB_167,BB_008,1,38.31466,-123.06969
36,106,106L,G2,BB_014,BB_185,3,38.31464,-123.06971
36,106,106R,G1,BB_168,BB_046,3,38.31464,-123.06971
36,107,107L,G1,BB_174,BB_010,1,38.31464,-123.06971
36,107,107R,G1,BB_194,BB_159,3,38.31464,-123.06971
36,108,108L,G2,BB_202,BB_101,3,38.31464,-123.06971
36,108,108R,G1,BB_162,BB_154,1,38.31464,-123.06971
37,109,109L,G1,BB_144,BB_158,2,38.31461,-123.06969
37,109,109R,G1,BB_202,BB_018,3,38.31461,-123.06969
37,110,110L,G2,BB_026,BB_153,5,38.31461,-123.06969
37,110,110R,G1,BB_115,BB_077,5,38.31461,-123.06969
37,111,111L,G1,BB_217,BB_205A,4,38.31461,-123.06969
37,111,111R,G2,BB_057,BB_121,5,38.31461,-123.06969
38,112,112L,G1,BB_015,BB_063,2,38.31459,-123.06975
38,112,112R,G1,BB_066,BB_087,5,38.31459,-123.06975
38,113,113L,G1,BB_213,BB_147,2,38.31459,-123.06975
38,113,113R,G1,BB_213,BB_147,2,38.31459,-123.06975
38,114,114L,G1,BB_196,BB_089,5,38.31459,-123.06975
38,114,114R,G1,BB_011,BB_116,3,38.31459,-123.06975
39,115,115L,G1,BB_196,BB_088,2,38.31456,-123.06971
39,115,115R,G1,BB_065,BB_133,4,38.31456,-123.06971
39,116,116L,G1,BB_005,BB_034,2,38.31456,-123.06971
39,116,116R,G1,BB_168,BB_046,4,38.31456,-123.06971
39,117,117L,G1,BB_171,BB_039,5,38.31456,-123.06971
39,117,117R,G1,BB_075,BB_164,3,38.31456,-123.06971
40,118,118L,G2,BB_141,BB_029,5,38.31454,-123.06972
40,118,118R,G1,BB_202,BB_025,4,38.31454,-123.06972
40,119,119L,G2,BB_125,BB_051,1,38.31454,-123.06972
40,119,119R,G1,BB_182,BB_021,3,38.31454,-123.06972
40,120,120L,G1,BB_217,BB_054,2,38.31454,-123.06972
40,120,120R,G1,BB_055,BB_183,5,38.31454,-123.06972
41,121,121L,G1,BB_108,BB_189,3,38.31456,-123.06966
41,121,121R,G2,BB_213,BB_132,2,38.31456,-123.06966
41,122,122L,G1,BB_115,BB_187,5,38.31456,-123.06966
41,122,122R,G2,BB_177,BB_134,1,38.31456,-123.06966
41,123,123L,G1,BB_100,BB_113,4,38.31456,-123.06966
41,123,123R,G1,BB_162,BB_080,2,38.31456,-123.06966
42,124,124L,G1,BB_107,BB_151,5,38.31453,-123.06967
42,124,124R,G1,BB_177,BB_140,,38.31453,-123.06967
42,125,125L,G1,BB_038,BB_149,1,38.31453,-123.06967
42,125,125R,G2,BB_028,BB_109,1,38.31453,-123.06967
42,126,126L,G1,BB_188,BB_205B,,38.31453,-123.06967
42,126,126R,G2,BB_108,BB_189,2,38.31453,-123.06967
43,127,127L,G1,BB_130,BB_120,5,38.31451,-123.06965
43,127,127R,G1,BB_171,BB_039,2,38.31451,-123.06965
43,128,128L,G1,BB_174,BB_010,3,38.31451,-123.06965
43,128,128R,G1,BB_023,BB_206,1,38.31451,-123.06965
43,129,129L,G1,BB_162,BB_040,2,38.31451,-123.06965
43,129,129R,G1,BB_196,BB_089,1,38.31451,-123.06965
44,130,130L,G1,BB_122,BB_027,2,38.31449,-123.06962
44,130,130R,G1,BB_014,BB_152,1,38.31449,-123.06962
44,131,131L,G1,BB_198,BB_138,5,38.31449,-123.06962
