Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
136,5,12R,G2,BO_173,BO_079,
137,5,13L,G2,BO_058,BO_094,3
137,5,13R,G1,BO_187,BO_135,
138,5,14L,G1,BO_058,BO_094,3
138,5,14R,G1,BO_101,BO_182,
139,5,15L,G1,BO_096,BO_178,
139,5,15R,G2,BO_173,BO_091,
140,5,16L,G1,BO_088,BO_169,3
140,5,16R,G1,BO_065,BO_078,5
141,5,17L,G1,BO_199,BO_018,
141,5,17R,G2,BO_130,BO_174,
142,5,18L,G1,BO_143,BO_152,2
142,5,18R,G2,BO_189,BO_086,5
143,5,19L,G2,BO_101,BO_182,
143,5,19R,G2,BO_149,BO_032,
144,5,20L,G1,BO_033,BO_124,2
144,5,20R,G2,BO_170,BO_045,
145,5,21L,G1,BO_187,BO_150,
145,5,21R,G1,BO_058,BO_094,
146,5,22L,G1,BO_005,BO_019,3
146,5,22R,G2,BO_058,BO_094,
147,5,23L,G1,BO_153,BO_177,5
147,5,23R,G2,BO_151,BO_056,
148,5,24L,G1,BO_106,BO_191,
148,5,24R,G1,BO_183,BO_198,
149,5,25L,G1,BO_187,BO_031,5
149,5,25R,G1,BO_022,BO_020,
150,5,26L,G1,BO_032,BO_088,
150,5,26R,G1,BO_029,BO_090,
151,5,27L,G1,BO_040,BO_171,
151,5,27R,G1,BO_189,BO_142,
152,5,28L,G2,BO_029,BO_190,
152,5,28R,G1,BO_038,BO_082,
153,5,29L,G1,BO_109,BO_001,5
153,5,29R,G2,BO_162,BO_164,
154,5,30L,G1,BO_032,BO_132,
154,5,30R,G1,BO_032,BO_132,
155,5,31L,G1,BO_128,BO_105,
155,5,31R,G1,BO_177,BO_121,
156,5,32L,G1,BO_194,BO_098,
156,5,32R,G2,BO_162,BO_108,5
157,5,33L,G1,BO_163,BO_072,
157,5,33R,G2,BO_040,BO_067,
158,5,34L,G2,BO_194,BO_125,2
158,5,34R,G2,BO_022,BO_146,3
159,5,35L,G1,BO_119,BO_017,
159,5,35R,G1,BO_130,BO_174,
160,5,36L,G1,BO_065,BO_078,
160,5,36R,G1,BO_039,BO_102,
161,5,37L,G1,BO_101,BO_080,
