Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
110,3,20R,G2,HR_149,HR_174,5
111,3,21L,G2,HR_195,HR_104,
111,3,21R,G2,HR_200,HR_159,2
112,3,22L,G1,HR_108,HR_175,1
112,3,22R,G2,HR_085,HR_107,1
113,3,23L,G1,HR_005,HR_149,
113,3,23R,G2,HR_090,HR_053,1
114,3,24L,G2,HR_135,HR_083,4
114,3,24R,G2,HR_002,HR_071,2
115,3,25L,G1,HR_175,HR_027,4
115,3,25R,G1,HR_090,HR_053,4
116,3,26L,G1,HR_180,HR_179,2
116,3,26R,G1,HR_062,HR_116,5
117,3,27L,G2,HR_110,HR_039,4
117,3,27R,G1,HR_057,HR_006,5
118,3,28L,G1,HR_121,HR_139,3
118,3,28R,G1,HR_090,HR_103,4
119,3,29L,G2,HR_157,HR_095,3
119,3,29R,G2,HR_164,HR_005,3
120,3,30L,G2,HR_141,HR_015,4
120,3,30R,G2,HR_008,HR_042,2
121,3,31L,G2,HR_064,HR_190,3
121,3,31R,G2,HR_160,HR_079,1
122,3,32L,G2,HR_133,HR_161,5
122,3,32R,G2,HR_034,HR_112,3
123,3,33L,G2,HR_155,HR_047,5
123,3,33R,G2,HR_180,HR_036,2
124,3,34L,G2,HR_180,HR_179,3
124,3,34R,G1,HR_195,HR_104,5
125,3,35L,G2,HR_164,HR_201,1
125,3,35R,G1,HR_175,HR_164,2
126,3,36L,G1,HR_057,HR_147,1
126,3,36R,G1,HR_006,HR_162,1
127,3,37L,G2,HR_062,HR_116,3
127,3,37R,G1,HR_131,HR_046,3
128,3,38L,G1,HR_088,HR_014,5
128,3,38R,G1,HR_095,HR_020,3
129,3,39L,G1,HR_057,HR_147,5
129,3,39R,G1,HR_110,HR_032,2
130,3,40L,G2,HR_160,HR_173,1
130,3,40R,G2,HR_027,HR_119,4
131,3,41L,G1,HR_059,HR_166,5
131,3,41R,G1,HR_110,HR_037,5
132,3,42L,G1,HR_066,HR_078,2
132,3,42R,G2,HR_200,HR_153,3
133,3,43L,G2,HR_195,HR_068,1
133,3,43R,G2,HR_180,HR_023,3
134,3,44L,G2,HR_115,HR_026,4
134,3,44R,G1,HR_006,HR_142,1
135,3,45L,G1,HR_005,HR_180,
135,3,45R,G2,HR_090,HR_126,5
136,4,1L,G2,HR_069,HR_108,5
136,4,1R,G2,HR_108,HR_177,2
137,4,2L,G1,HR_095,HR_124,1
137,4,2R,G1,HR_070,HR_165,2
138,4,3L,G1,HR_064,HR_019,4
138,4,3R,G2,HR_070,HR_123,5
139,4,4L,G2,HR_064,HR_190,4
139,4,4R,G1,HR_141,HR_015,5
140,4,5L,G1,HR_164,HR_041,3
140,4,5R,G2,HR_100,HR_135,4
141,4,6L,G1,HR_057,HR_006,1
141,4,6R,G1,HR_141,HR_184,3
142,4,7L,G1,HR_034,HR_017,3
142,4,7R,G1,HR_121,HR_141,4
143,4,8L,G1,HR_147,HR_150,1
143,4,8R,G2,HR_006,HR_146,3
144,4,9L,G2,HR_195,HR_181,5
144,4,9R,G2,HR_196,HR_183,3
145,4,10L,G1,HR_149,HR_174,4
145,4,10R,G1,HR_133,HR_072,4
146,4,11L,G2,HR_066,HR_137,2
146,4,11R,G2,HR_002,HR_056,3
147,4,12L,G2,HR_155,HR_009,1
147,4,12R,G2,HR_066,HR_078,3
148,4,13L,G1,HR_200,HR_159,1
148,4,13R,G1,HR_059,HR_166,1
