Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
315,7,45R,G1,HR_196,HR_183,1
316,8,1L,G1,HR_090,HR_103,5
316,8,1R,G2,HR_057,HR_147,2
317,8,2L,G2,HR_059,HR_011,1
317,8,2R,G1,HR_171,HR_001,2
318,8,3L,G1,HR_027,HR_145,2
318,8,3R,G1,HR_148,HR_114,4
319,8,4L,G1,HR_148,HR_109,1
319,8,4R,G2,HR_059,HR_155,4
320,8,5L,G1,HR_059,HR_011,3
320,8,5R,G1,HR_100,HR_192,
321,8,6L,G2,HR_088,HR_014,1
321,8,6R,G1,HR_171,HR_073,5
322,8,7L,G1,HR_131,HR_046,1
322,8,7R,G1,HR_121,HR_105,4
323,8,8L,G1,HR_131,HR_113,3
323,8,8R,G2,HR_131,HR_046,3
324,8,9L,G2,HR_085,HR_176,4
324,8,9R,G2,HR_171,HR_001,4
325,8,10L,G1,HR_160,HR_079,4
325,8,10R,G1,HR_200,HR_010,5
326,8,11L,G2,HR_133,HR_158,5
326,8,11R,G2,HR_196,HR_183,5
327,8,12L,G2,HR_002,HR_059,3
327,8,12R,G2,HR_066,HR_078,3
328,8,13L,G1,HR_164,HR_005,4
328,8,13R,G1,HR_180,HR_023,3
329,8,14L,G1,HR_034,HR_080,4
329,8,14R,G1,HR_189,HR_018,3
330,8,15L,G1,HR_175,HR_196,1
330,8,15R,G1,HR_200,HR_159,4
331,8,16L,G2,HR_157,HR_095,2
331,8,16R,G1,HR_066,HR_078,1
332,8,17L,G1,HR_070,HR_165,5
332,8,17R,G1,HR_189,HR_168,1
333,8,18L,G2,HR_108,HR_016,1
333,8,18R,G2,HR_196,HR_170,4
334,8,19L,G2,HR_062,HR_116,5
334,8,19R,G2,HR_125,HR_086,2
335,8,20L,G1,HR_125,HR_034,
335,8,20R,G2,HR_160,HR_079,3
336,8,21L,G1,HR_100,HR_135,
336,8,21R,G1,HR_157,HR_085,3
337,8,22L,G2,HR_005,HR_040,3
337,8,22R,G1,HR_195,HR_068,2
338,8,23L,G2,HR_164,HR_041,1
338,8,23R,G1,HR_147,HR_118,2
339,8,24L,G2,HR_155,HR_047,4
339,8,24R,G2,HR_069,HR_156,5
340,8,25L,G2,HR_155,HR_121,1
340,8,25R,G2,HR_064,HR_019,1
341,8,26L,G1,HR_085,HR_035,2
341,8,26R,G1,HR_005,HR_149,3
342,8,27L,G2,HR_064,HR_019,3
342,8,27R,G2,HR_175,HR_027,1
343,8,28L,G1,HR_135,HR_004,2
343,8,28R,G1,HR_133,HR_158,
344,8,29L,G1,HR_085,HR_035,5
344,8,29R,G2,HR_175,HR_164,2
345,8,30L,G1,HR_070,HR_123,5
345,8,30R,G1,HR_074,HR_070,2
346,8,31L,G1,HR_064,HR_190,5
346,8,31R,G2,HR_200,HR_153,1
347,8,32L,G2,HR_110,HR_032,2
347,8,32R,G2,HR_002,HR_056,4
348,8,33L,G2,HR_108,HR_175,2
348,8,33R,G1,HR_090,HR_126,2
349,8,34L,G2,HR_053,HR_169,1
349,8,34R,G1,HR_095,HR_124,5
350,8,35L,G2,HR_027,HR_119,
350,8,35R,G1,HR_196,HR_183,3
351,8,36L,G2,HR_057,HR_006,1
351,8,36R,G1,HR_115,HR_131,2
352,8,37L,G2,HR_135,HR_152,5
352,8,37R,G2,HR_168,HR_064,4
353,8,38L,G1,HR_085,HR_107,3
353,8,38R,G2,HR_115,HR_111,1
354,8,39L,G2,HR_168,HR_064,5
354,8,39R,G1,HR_141,HR_044,2
355,8,40L,G2,HR_095,HR_178,3
355,8,40R,G1,HR_139,HR_062,5
356,8,41L,G2,HR_168,HR_101,4
356,8,41R,G2,HR_108,HR_175,5
357,8,42L,G1,HR_139,HR_129,2
357,8,42R,G1,HR_135,HR_152,5
358,8,43L,G1,HR_175,HR_027,4
358,8,43R,G2,HR_006,HR_146,4
359,8,44L,G2,HR_157,HR_085,4
359,8,44R,G1,HR_135,HR_083,1
360,8,45L,G1,HR_160,HR_033,1
360,8,45R,G1,HR_064,HR_028,2
361,9,1L,G1,HR_064,HR_190,2
361,9,1R,G1,HR_095,HR_020,3
362,9,2L,G1,HR_171,HR_001,3
362,9,2R,G2,HR_175,HR_196,2
363,9,3L,G1,HR_074,HR_115,
363,9,3R,G1,HR_064,HR_019,2
364,9,4L,G2,HR_168,HR_148,5
364,9,4R,G2,HR_125,HR_086,1
365,9,5L,G2,HR_085,HR_035,3
365,9,5R,G1,HR_110,HR_039,4
366,9,6L,G2,HR_125,HR_034,5
366,9,6R,G1,HR_125,HR_086,
367,9,7L,G1,HR_156,HR_025,3
367,9,7R,G2,HR_034,HR_080,2
368,9,8L,G2,HR_147,HR_021,1
368,9,8R,G1,HR_147,HR_118,3
369,9,9L,G1,HR_110,HR_032,5
369,9,9R,G1,HR_155,HR_009,4
370,9,10L,G2,HR_141,HR_015,5
370,9,10R,G2,HR_066,HR_137,1
371,9,11L,G1,HR_168,HR_064,4
371,9,11R,G2,HR_121,HR_105,5
372,9,12L,G2,HR_148,HR_114,2
372,9,12R,G1,HR_139,HR_062,
373,9,13L,G2,HR_090,HR_053,1
373,9,13R,G1,HR_121,HR_139,3
374,9,14L,G1,HR_133,HR_161,1
374,9,14R,G2,HR_200,HR_159,4
375,9,15L,G2,HR_074,HR_115,5
375,9,15R,G2,HR_053,HR_092,4
376,9,16L,G2,HR_149,HR_174,4
376,9,16R,G2,HR_062,HR_116,2
377,9,17L,G1,HR_069,HR_133,4
377,9,17R,G2,HR_053,HR_038,1
378,9,18L,G2,HR_090,HR_103,3
378,9,18R,G1,HR_155,HR_121,1
379,9,19L,G1,HR_180,HR_023,3
379,9,19R,G1,HR_147,HR_021,3
380,9,20L,G1,HR_108,HR_016,3
380,9,20R,G2,HR_121,HR_141,4
381,9,21L,G1,HR_175,HR_027,1
381,9,21R,G1,HR_125,HR_086,2
382,9,22L,G1,HR_090,HR_126,3
382,9,22R,G2,HR_155,HR_009,4
383,9,23L,G1,HR_196,HR_054,1
383,9,23R,G1,HR_139,HR_127,4
384,9,24L,G1,HR_115,HR_131,1
384,9,24R,G2,HR_085,HR_176,4
385,9,25L,G2,HR_034,HR_112,2
385,9,25R,G2,HR_062,HR_136,5
386,9,26L,G2,HR_121,HR_141,2
386,9,26R,G1,HR_147,HR_150,3
387,9,27L,G1,HR_148,HR_050,5
387,9,27R,G1,HR_171,HR_057,4
388,9,28L,G1,HR_168,HR_148,3
388,9,28R,G2,HR_168,HR_148,5
389,9,29L,G2,HR_006,HR_162,2
389,9,29R,G2,HR_131,HR_046,3
390,9,30L,G2,HR_057,HR_147,1
390,9,30R,G2,HR_121,HR_141,5
391,9,31L,G1,HR_062,HR_136,5
391,9,31R,G1,HR_027,HR_043,5
392,9,32L,G2,HR_110,HR_037,3
392,9,32R,G2,HR_095,HR_020,5
393,9,33L,G2,HR_070,HR_061,4
393,9,33R,G2,HR_148,HR_050,1
394,9,34L,G2,HR_053,HR_169,2
394,9,34R,G2,HR_059,HR_155,5
395,9,35L,G1,HR_164,HR_201,5
395,9,35R,G1,HR_008,HR_012,4
396,9,36L,G1,HR_195,HR_181,
396,9,36R,G1,HR_157,HR_085,2
397,9,37L,G1,HR_168,HR_064,4
397,9,37R,G2,HR_034,HR_017,
398,9,38L,G2,HR_005,HR_180,1
398,9,38R,G2,HR_189,HR_051,3
399,9,39L,G2,HR_053,HR_092,3
399,9,39R,G2,HR_115,HR_131,2
400,9,40L,G1,HR_164,HR_041,4
400,9,40R,G2,HR_121,HR_105,4
401,9,41L,G2,HR_164,HR_201,3
401,9,41R,G1,HR_148,HR_109,1
402,9,42L,G1,HR_131,HR_049,
402,9,42R,G1,HR_135,HR_152,1
403,9,43L,G1,HR_008,HR_058,3
403,9,43R,G2,HR_053,HR_092,1
404,9,44L,G2,HR_027,HR_043,2
404,9,44R,G2,HR_131,HR_113,3
405,9,45L,G2,HR_059,HR_166,5
405,9,45R,G1,HR_108,HR_177,2
406,9,46L,G1,HR_057,HR_006,
406,9,46R,G1,HR_053,HR_038,3
