Sequence,Location,position,Gen,Recipient,Fit_plant
191,64,R,G1,BB_086,4
192,64,L,G1,BB_113,5
192,64,R,G1,BB_016,5
193,65,L,G1,BB_084,3
193,65,R,G1,BB_138,
194,65,L,G1,BB_077,2
194,65,R,G2,BB_133,
195,65,L,G2,BB_009,
195,65,R,G1,BB_160,5
196,66,L,G1,BB_185,1
196,66,R,G2,BB_101,
197,66,L,G2,BB_093,3
197,66,R,G1,BB_081,1
198,66,L,G1,BB_157,5
198,66,R,G2,BB_205A,5
199,67,L,G2,BB_160,1
199,67,R,G1,BB_193,1
200,67,L,G1,BB_050,4
200,67,R,G1,BB_201,2
201,67,L,G1,BB_032,3
201,67,R,G1,BB_150,5
202,68,L,G1,BB_189,3
202,68,R,G1,BB_007,
203,68,L,G1,BB_017,
203,68,R,G2,BB_193,
204,68,L,G1,BB_024,2
204,68,R,G1,BB_040,1
205,69,L,G2,BB_131,1
205,69,R,G1,BB_081,2
206,69,L,G1,BB_211,4
206,69,R,G1,BB_079,5
207,69,L,G1,BB_054,2
207,69,R,G1,BB_120,1
208,70,L,G2,BB_157,
208,70,R,G2,BB_190,
209,70,L,G1,BB_046,2
209,70,R,G1,BB_063,5
210,70,L,G1,BB_205,
210,70,R,G1,BB_114,
211,71,L,G1,BB_002,4
211,71,R,G1,BB_171,
212,71,L,G1,BB_098,3
212,71,R,G2,BB_215,1
213,71,L,G1,BB_097,5
213,71,R,G2,BB_089,5
214,72,L,G1,BB_059,
214,72,R,G1,BB_031,
215,72,L,G2,BB_139,2
215,72,R,G1,BB_193,
216,72,L,G1,BB_058,
216,72,R,G2,BB_135,
217,73,L,G1,BB_134,4
217,73,R,G1,BB_183,1
218,73,L,G1,BB_085,5
218,73,R,G2,BB_166,
219,73,L,G2,BB_058,
219,73,R,G1,BB_102,
220,74,L,G2,BB_004,2
220,74,R,G2,BB_037,
221,74,L,G2,BB_146,
221,74,R,G2,BB_121,4
222,74,L,G1,BB_135,4
222,74,R,G1,BB_164,4
223,75,L,G2,BB_058,
223,75,R,G1,BB_070A,2
224,75,L,G1,BB_051,
224,75,R,G1,BB_070B,4
225,75,L,G1,BB_161,
225,75,R,G2,BB_056,
226,76,L,G2,BB_029,2
226,76,R,G1,BB_131,
227,76,L,G2,BB_179,4
227,76,R,G1,BB_153,
228,76,L,G1,BB_209,
228,76,R,G1,BB_127,
229,77,L,G2,BB_150,
229,77,R,G1,BB_116,2
230,77,L,G1,BB_058,
230,77,R,G1,BB_116,
231,77,L,G2,BB_147,
231,77,R,G2,BB_193,
232,78,L,G1,BB_078,3
232,78,R,G2,BB_109,
233,78,L,G2,BB_146,
233,78,R,G1,BB_135,5
234,78,L,G1,BB_087,
234,78,R,G2,BB_101,3
235,79,L,G1,BB_077,1
235,79,R,G1,BB_131,2
236,79,L,G1,BB_045,3
236,79,R,G1,BB_158,5
237,79,L,G1,BB_095,4
237,79,R,G1,BB_186,1
238,80,L,G2,BB_214,
238,80,R,G2,BB_123,4
239,80,L,G1,BB_003,5
239,80,R,G1,BB_204,1
240,80,L,G2,BB_092,
240,80,R,G2,BB_151,3
241,81,L,G2,BB_079,
241,81,R,G1,BB_170,5
242,81,L,G1,BB_193,
242,81,R,G1,BB_071,
243,81,L,G1,BB_049,2
243,81,R,G2,BB_053,3
244,82,L,G1,BB_170,2
244,82,R,G1,BB_060,3
245,82,L,G1,BB_040,4
245,82,R,G1,BB_053,2
246,82,L,G2,BB_215,5
246,82,R,G2,BB_103,
247,83,L,G1,BB_056,3
247,83,R,G1,BB_104,5
248,83,L,G1,BB_218,
248,83,R,G2,BB_002,4
249,83,L,G1,BB_031,3
249,83,R,G2,BB_089,5
250,84,L,G1,BB_140,
250,84,R,G1,BB_205,2
251,84,L,G2,BB_104,4
251,84,R,G1,BB_179,5
252,84,L,G1,BB_103,1
252,84,R,G1,BB_069,
253,85,L,G1,BB_042,
253,85,R,G1,BB_009,1
254,85,L,G2,BB_206,
254,85,R,G1,BB_072,
255,85,L,G1,BB_139,
255,85,R,G2,BB_172,
256,86,L,G1,BB_111,2
256,86,R,G2,BB_059,4
257,86,L,G1,BB_027,
257,86,R,G1,BB_150,3
258,86,L,G1,BB_083,1
258,86,R,G1,BB_070,
259,87,L,G2,BB_164,5
259,87,R,G1,BB_138,
260,87,L,G1,BB_214,1
260,87,R,G1,BB_133,3
261,87,L,G2,BB_054,3
261,87,R,G1,BB_123,
262,88,L,G2,BB_214,
262,88,R,G1,BB_132,
263,88,L,G1,BB_016,5
263,88,R,G1,BB_102,
264,88,L,G1,BB_076,
264,88,R,G1,BB_127,
265,89,L,G2,BB_059,
265,89,R,G1,BB_068,
266,89,L,G2,BB_013,
266,89,R,G2,BB_149,3
267,89,L,G2,BB_215,
267,89,R,G1,BB_137,
268,90,L,G2,BB_024,4
268,90,R,G1,BB_139,4
269,90,L,G2,BB_133,5
269,90,R,G1,BB_042,4
270,90,L,G2,BB_205A,3
270,90,R,G1,BB_143,
271,91,L,G2,BB_013,4
271,91,R,G1,BB_021,2
272,91,L,G1,BB_149,5
272,91,R,G1,BB_039,2
273,91,L,G1,BB_209,2
273,91,R,G1,BB_204,5
274,92,L,G1,BB_003,1
274,92,R,G2,BB_070,4
275,92,L,G1,BB_134,1
275,92,R,G1,BB_158,
276,92,L,G1,BB_080,1
276,92,R,G1,BB_061,4
277,93,L,G1,BB_216,2
277,93,R,G2,BB_179,1
278,93,L,G2,BB_045,2
278,93,R,G1,BB_060,1
279,93,L,G1,BB_110,4
279,93,R,G1,BB_214,4
280,94,L,G2,BB_017,
280,94,R,G2,BB_120,
281,94,L,G1,BB_018,3
281,94,R,G1,BB_048,5
282,94,L,G2,BB_048,
282,94,R,G2,BB_060,
283,95,L,G1,BB_050,2
283,95,R,G1,BB_111,
284,95,L,G1,BB_053,1
284,95,R,G1,BB_161,
285,95,L,G1,BB_187,
285,95,R,G1,BB_181,5
286,96,L,G1,BB_190,
286,96,R,G1,BB_190,
287,96,L,G1,BB_163,2
287,96,R,G1,BB_097,4
288,96,L,G1,BB_145,1
288,96,R,G2,BB_147,3
289,97,L,G1,BB_146,1
289,97,R,G1,BB_208,5
290,97,L,G2,BB_179,3
290,97,R,G1,BB_164,1
291,97,L,G1,BB_037,1
291,97,R,G2,BB_052,4
292,98,L,G1,BB_105,
292,98,R,G1,BB_205B,5
293,98,L,G1,BB_094,2
293,98,R,G1,BB_148,5
294,98,L,G1,BB_069,
294,98,R,G1,BB_087,
295,99,L,G2,BB_060,5
295,99,R,G2,BB_138,5
296,99,L,G1,BB_056,
296,99,R,G1,BB_092,
297,99,L,G1,BB_035,
297,99,R,G1,BB_207,1
298,100,L,G1,BB_081,4
