Year,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
1917,AC,.,39.718477,-123.652786,-9999,12,19.7,4,15.7,2519,134,8.7,147.5,58,2675,2413,210,288,117,310,192,67,-15.1,38.9,-9999,1038,604,58
1917,BO,.,37.38199,-121.736746,-9999,13.9,22.1,6.5,15.7,972,41,24.6,533.7,34,3324,1888,393,335,63,346,284,11,-8.7,38.9,-9999,1048,715,66
1917,BB,.,38.318682,-123.071828,-9999,11.7,14.8,6.1,8.7,997,36,21.7,415.4,32,2434,2372,41,316,86,325,238,11,-11.5,33.6,-9999,924,551,63
1917,HA,.,36.379264,-121.562935,-9999,13.4,22.2,6,16.2,1097,35,21.3,637.4,39,3144,2038,346,297,118,321,203,16,-11.5,39.6,-9999,1241,888,53
1918,AC,.,39.718477,-123.652786,-9999,11.9,18.1,5.6,12.5,1810,114,12.1,158.9,51,2635,2382,162,294,124,323,199,16,-15.1,38.9,-9999,1044,550,59
1918,BO,.,37.38199,-121.736746,-9999,14,20.9,7.2,13.7,987,79,24.3,266,30,3313,1855,373,341,63,350,287,4,-8.7,38.9,-9999,1028,620,68
1918,BB,.,38.318682,-123.071828,-9999,11.7,14.2,7.3,6.8,890,72,24.4,196.2,28,2422,2352,36,324,84,334,250,3,-11.5,33.6,-9999,911,492,65
1918,HA,.,36.379264,-121.562935,-9999,13.9,21.3,7,14.4,1024,43,23.3,499.2,32,3295,1906,399,310,118,333,215,4,-11.5,39.6,-9999,1251,871,56
1919,AC,.,39.718477,-123.652786,-9999,11.6,19.5,6.4,13,2750,314,7.8,62,55,2525,2508,164,288,93,308,215,50,-15.1,38.9,-9999,1026,455,59
1919,BO,.,37.38199,-121.736746,-9999,13.5,20.3,8.3,11.9,624,38,37.7,528,32,3150,1939,293,340,46,340,294,6,-8.7,38.9,-9999,1017,760,67
1919,BB,.,38.318682,-123.071828,-9999,11.1,13.8,7.5,6.3,1062,56,19.9,244.1,33,2225,2554,27,317,69,318,249,9,-11.5,33.6,-9999,889,524,65
1919,HA,.,36.379264,-121.562935,-9999,13.6,21.3,8.9,12.3,997,44,23.6,487.6,30,3159,1944,309,311,90,318,228,8,-11.5,39.6,-9999,1225,920,55
1920,AC,.,39.718477,-123.652786,-9999,11.5,19.3,6.3,13,2821,173,7.6,111.4,48,2470,2522,142,294,120,313,193,31,-15.1,38.9,-9999,997,470,61
1920,BO,.,37.38199,-121.736746,-9999,13.6,21.4,8.7,12.8,829,32,28.5,666.2,29,3160,1931,305,344,51,344,293,3,-8.7,38.9,-9999,1003,618,69
1920,BB,.,38.318682,-123.071828,-9999,11.3,14.7,8.9,5.8,993,45,21.4,329.6,27,2266,2485,30,329,78,327,250,6,-11.5,33.6,-9999,854,435,68
1920,HA,.,36.379264,-121.562935,-9999,13.5,20.9,8.4,12.5,873,23,26.9,894.7,29,3138,1951,302,321,98,324,226,4,-11.5,39.6,-9999,1214,806,57
1921,AC,.,39.718477,-123.652786,-9999,12.2,18.2,6,12.2,2308,189,9.6,96.2,40,2675,2277,139,316,101,325,224,49,-15.1,38.9,-9999,1002,448,61
1921,BO,.,37.38199,-121.736746,-9999,14.2,21,8,13,858,81,28.2,259.2,25,3361,1763,348,351,40,352,312,6,-8.7,38.9,-9999,1014,636,68
1921,BB,.,38.318682,-123.071828,-9999,12.1,14,8.4,5.6,1045,78,21.1,178.1,22,2541,2212,36,344,52,340,288,8,-11.5,33.6,-9999,872,434,68
1921,HA,.,36.379264,-121.562935,-9999,14.1,21.2,8.3,12.9,1125,79,21.4,269.7,24,3321,1779,329,327,95,329,235,7,-11.5,39.6,-9999,1225,774,56
1922,AC,.,39.718477,-123.652786,-9999,11.5,19.9,5,14.8,2526,149,8.5,133.8,67,2567,2574,214,281,120,313,193,41,-15.1,38.9,-9999,1048,603,59
1922,BO,.,37.38199,-121.736746,-9999,13.7,21.6,5.8,15.8,1007,52,23.5,414,41,3248,2007,418,336,63,343,279,8,-8.7,38.9,-9999,1026,637,69
1922,BB,.,38.318682,-123.071828,-9999,11.2,14.4,6.2,8.2,1055,49,20.1,291.8,38,2313,2519,47,322,74,327,253,8,-11.5,33.6,-9999,875,469,68
1922,HA,.,36.379264,-121.562935,-9999,14,22.1,7.6,14.5,1070,49,22.4,453,30,3323,1882,406,316,109,326,217,7,-11.5,39.6,-9999,1258,801,55
1923,AC,.,39.718477,-123.652786,-9999,11.6,18.3,5.4,12.8,1748,292,12.4,62.5,50,2523,2459,134,289,102,316,213,34,-15.1,38.9,-9999,1005,422,59
1923,BO,.,37.38199,-121.736746,-9999,13.8,20.8,7.5,13.3,548,53,43.5,393.8,32,3265,1879,342,338,46,346,300,6,-8.7,38.9,-9999,1016,664,67
1923,BB,.,38.318682,-123.071828,-9999,11.8,14.5,7.9,6.7,579,74,37.7,197.8,26,2466,2313,37,328,59,332,274,6,-11.5,33.6,-9999,884,532,65
1923,HA,.,36.379264,-121.562935,-9999,14,21.5,8.6,12.9,607,41,39.6,522.8,26,3324,1820,356,312,102,328,226,5,-11.5,39.6,-9999,1264,912,53
1924,AC,.,39.718477,-123.652786,-9999,12.1,18.9,5,13.9,1826,72,12.1,263.4,55,2696,2353,178,291,104,310,206,18,-15.1,38.9,-9999,1088,682,57
1924,BO,.,37.38199,-121.736746,-9999,13.8,19.9,7.1,12.8,532,15,44.7,1299.3,31,3222,1860,286,342,44,345,301,2,-8.7,38.9,-9999,1033,700,68
1924,BB,.,38.318682,-123.071828,-9999,11.7,13.9,7,7,823,10,26.4,1412.3,29,2418,2361,32,328,64,323,259,3,-11.5,33.6,-9999,930,620,65
1924,HA,.,36.379264,-121.562935,-9999,14,20.4,7.6,12.8,588,19,40.7,1085.3,27,3276,1814,301,314,92,320,228,2,-11.5,39.6,-9999,1293,926,53
1925,AC,.,39.718477,-123.652786,-9999,12,19.4,7.3,12.1,2333,352,9.4,55.1,38,2616,2335,136,311,80,314,234,32,-15.1,38.9,-9999,991,403,61
1925,BO,.,37.38199,-121.736746,-9999,14,21.3,8.7,12.6,650,82,37,258.8,24,3299,1774,308,352,19,349,330,4,-8.7,38.9,-9999,952,553,71
1925,BB,.,38.318682,-123.071828,-9999,11.9,14,9.2,4.7,937,97,23.4,144.2,22,2457,2280,29,338,40,330,291,7,-11.5,33.6,-9999,862,402,68
1925,HA,.,36.379264,-121.562935,-9999,14.3,22.1,9.2,13,728,73,33.4,301.8,21,3405,1700,338,331,68,331,263,4,-11.5,39.6,-9999,1220,757,57
1926,AC,.,39.718477,-123.652786,-9999,13.1,19,6.7,12.3,2424,143,9.5,132.8,35,2979,2002,183,325,67,323,256,19,-15.1,38.9,-9999,1076,598,60
1926,BO,.,37.38199,-121.736746,-9999,14.7,21.4,7.1,14.3,722,13,34.3,1595.7,26,3569,1587,377,351,19,350,332,3,-8.7,38.9,-9999,1039,722,69
1926,BB,.,38.318682,-123.071828,-9999,12.7,14.4,7.5,6.8,1101,22,20.6,652.5,22,2750,2046,43,343,30,332,302,5,-11.5,33.6,-9999,940,590,66
1926,HA,.,36.379264,-121.562935,-9999,14.7,21.8,7.7,14.1,809,10,30.6,2249,22,3554,1576,357,334,63,331,267,3,-11.5,39.6,-9999,1268,891,56
1927,AC,.,39.718477,-123.652786,-9999,12,18.7,5.9,12.8,2556,108,8.6,173.6,45,2621,2360,142,317,97,317,221,30,-15.1,38.9,-9999,998,534,63
1927,BO,.,37.38199,-121.736746,-9999,13.9,20.5,8.2,12.4,691,22,34.5,922,27,3252,1825,297,352,33,352,318,3,-8.7,38.9,-9999,973,640,71
1927,BB,.,38.318682,-123.071828,-9999,12,13.6,8.6,5,1022,32,21.5,420.9,23,2501,2253,29,342,55,333,279,4,-11.5,33.6,-9999,880,488,68
1927,HA,.,36.379264,-121.562935,-9999,13.8,20.9,7.9,13,839,18,28.3,1193.6,27,3231,1853,297,328,92,326,234,4,-11.5,39.6,-9999,1203,847,58
1928,AC,.,39.718477,-123.652786,-9999,12.2,18.7,6.2,12.5,1908,35,11.7,533.4,41,2710,2273,155,314,86,316,230,21,-15.1,38.9,-9999,1022,630,61
1928,BO,.,37.38199,-121.736746,-9999,14,19.9,7.5,12.4,507,18,47.4,1135.3,27,3301,1770,298,350,30,351,321,2,-8.7,38.9,-9999,1006,733,69
1928,BB,.,38.318682,-123.071828,-9999,12,13.5,7.8,5.8,761,18,28.9,759.4,24,2501,2265,33,339,46,331,285,3,-11.5,33.6,-9999,888,535,67
1928,HA,.,36.379264,-121.562935,-9999,13.9,20.2,7.8,12.4,508,21,47,968.7,24,3241,1790,265,324,79,325,246,3,-11.5,39.6,-9999,1231,922,56
1929,AC,.,39.718477,-123.652786,-9999,11.9,18.8,6,12.9,1284,76,17,247.1,48,2621,2379,145,286,114,301,187,23,-15.1,38.9,-9999,1055,631,56
1929,BO,.,37.38199,-121.736746,-9999,14,21.2,6.8,14.4,303,31,79.2,682,32,3325,1849,376,340,54,346,292,4,-8.7,38.9,-9999,1023,768,67
1929,BB,.,38.318682,-123.071828,-9999,11.7,14.4,7.2,7.2,598,29,36.3,493.3,28,2440,2349,33,324,79,320,242,4,-11.5,33.6,-9999,907,608,64
1929,HA,.,36.379264,-121.562935,-9999,13.7,21.3,7.4,13.9,380,24,62.3,904.7,33,3216,1926,338,305,110,322,212,5,-11.5,39.6,-9999,1240,948,54
1930,AC,.,39.718477,-123.652786,-9999,11.8,18.3,5,13.3,1541,97,14.2,189.1,49,2582,2393,127,297,107,313,206,24,-15.1,38.9,-9999,1031,579,59
1930,BO,.,37.38199,-121.736746,-9999,13.9,20.4,7.9,12.5,537,29,44.6,698.1,26,3261,1802,285,347,40,348,308,3,-8.7,38.9,-9999,993,681,68
1930,BB,.,38.318682,-123.071828,-9999,11.9,14.4,8.1,6.3,625,33,35,443,23,2455,2296,27,332,64,331,266,3,-11.5,33.6,-9999,897,521,65
1930,HA,.,36.379264,-121.562935,-9999,13.8,20.7,7.5,13.2,577,37,41.2,566.5,28,3210,1869,294,319,97,326,229,3,-11.5,39.6,-9999,1229,884,55
1931,AC,.,39.718477,-123.652786,-9999,12.3,19.9,5.6,14.3,1842,116,12.1,171.7,46,2765,2276,191,307,93,308,215,14,-15.1,38.9,-9999,1090,647,59
1931,BO,.,37.38199,-121.736746,-9999,14.6,22.9,7.8,15.1,671,49,36.7,462.4,25,3525,1679,425,352,29,347,317,2,-8.7,38.9,-9999,1059,804,69
1931,BB,.,38.318682,-123.071828,-9999,12.2,15.2,7.4,7.8,833,48,26.6,314.7,24,2595,2195,41,337,54,325,271,3,-11.5,33.6,-9999,937,576,66
1931,HA,.,36.379264,-121.562935,-9999,14.3,22.7,7.6,15.1,706,41,34.5,558.1,27,3431,1756,396,326,74,326,252,2,-11.5,39.6,-9999,1273,1020,56
1932,AC,.,39.718477,-123.652786,-9999,11.9,18.7,4.5,14.2,1219,104,18,180.4,62,2667,2402,171,290,104,308,203,38,-15.1,38.9,-9999,1054,627,58
1932,BO,.,37.38199,-121.736746,-9999,13.9,20.4,6.1,14.2,360,23,66.3,887.2,39,3307,1874,360,338,53,344,290,6,-8.7,38.9,-9999,1013,825,68
1932,BB,.,38.318682,-123.071828,-9999,11.8,14,6.5,7.5,484,43,45,322.6,33,2468,2344,41,319,77,321,244,7,-11.5,33.6,-9999,927,623,63
1932,HA,.,36.379264,-121.562935,-9999,13.6,20.9,6.2,14.7,533,24,44.2,879.9,39,3205,1952,327,311,98,325,227,9,-11.5,39.6,-9999,1209,992,56
1933,AC,.,39.718477,-123.652786,-9999,11.7,19.4,4.4,15,1798,172,12.1,112.8,61,2593,2469,177,292,120,311,191,44,-15.1,38.9,-9999,1033,626,59
1933,BO,.,37.38199,-121.736746,-9999,13.7,21.7,6.3,15.4,491,38,48.4,568.4,36,3253,1938,363,340,53,350,297,6,-8.7,38.9,-9999,992,768,69
