Location,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
59,BB_019,G1,1,176L,,
59,BB_089,G2,2,177L,,
59,BB_199,G1,4,177R,,
60,BB_072,G1,5,178L,,
60,BB_170,G1,4,178R,,
60,BB_019,G2,5,179R,,
60,BB_172,G1,5,180R,,
61,BB_150,G2,2,181L,,
61,BB_210,G1,4,181R,,
61,BB_218,G1,1,182R,,
61,BB_133,G1,2,183L,,
62,BB_052,G2,4,184L,,
62,BB_161,G1,1,184R,,
62,BB_111,G1,1,185L,,
62,BB_058,G1,3,185R,,
62,BB_017,G2,3,186L,,
62,BB_093,G1,3,186R,,
63,BB_123,G2,2,187L,,
63,BB_131,G1,3,187R,,
63,BB_208,G1,2,188R,,
63,BB_034,G1,4,189L,,
63,BB_210,G1,2,189R,,
64,BB_025,G1,3,190L,,
64,BB_052,G1,5,190R,,
64,BB_095,G1,1,191L,,
64,BB_086,G1,4,191R,,
64,BB_113,G1,5,192L,,
64,BB_016,G1,5,192R,,
65,BB_084,G1,3,193L,,
65,BB_077,G1,2,194L,,
65,BB_160,G1,5,195R,,
66,BB_185,G1,1,196L,,
66,BB_093,G2,3,197L,,
66,BB_081,G1,1,197R,,
66,BB_157,G1,5,198L,,
66,BB_205A,G2,5,198R,,
67,BB_160,G2,1,199L,,
67,BB_193,G1,1,199R,,
67,BB_050,G1,4,200L,,
67,BB_201,G1,2,200R,,
67,BB_032,G1,3,201L,,
67,BB_150,G1,5,201R,,
68,BB_189,G1,3,202L,,
68,BB_024,G1,2,204L,,
68,BB_040,G1,1,204R,,
69,BB_131,G2,1,205L,,
69,BB_081,G1,2,205R,,
69,BB_211,G1,4,206L,,
69,BB_079,G1,5,206R,,
69,BB_054,G1,2,207L,,
69,BB_120,G1,1,207R,,
70,BB_046,G1,2,209L,,
70,BB_063,G1,5,209R,,
71,BB_002,G1,4,211L,,
71,BB_098,G1,3,212L,,
71,BB_215,G2,1,212R,,
71,BB_097,G1,5,213L,,
71,BB_089,G2,5,213R,,
72,BB_139,G2,2,215L,,
73,BB_134,G1,4,217L,,
73,BB_183,G1,1,217R,,
73,BB_085,G1,5,218L,,
74,BB_004,G2,2,220L,,
74,BB_121,G2,4,221R,,
74,BB_135,G1,4,222L,,
74,BB_164,G1,4,222R,,
75,BB_070A,G1,2,223R,,
75,BB_070B,G1,4,224R,,
76,BB_029,G2,2,226L,,
76,BB_179,G2,4,227L,,
77,BB_116,G1,2,229R,,
78,BB_078,G1,3,232L,,
78,BB_135,G1,5,233R,,
78,BB_101,G2,3,234R,,
79,BB_077,G1,1,235L,,
79,BB_131,G1,2,235R,,
79,BB_045,G1,3,236L,,
79,BB_158,G1,5,236R,,
79,BB_095,G1,4,237L,,
79,BB_186,G1,1,237R,,
80,BB_123,G2,4,238R,,
80,BB_003,G1,5,239L,,
80,BB_204,G1,1,239R,,
80,BB_151,G2,3,240R,,
81,BB_170,G1,5,241R,,
81,BB_049,G1,2,243L,,
81,BB_053,G2,3,243R,,
82,BB_170,G1,2,244L,,
82,BB_060,G1,3,244R,,
82,BB_040,G1,4,245L,,
82,BB_053,G1,2,245R,,
82,BB_215,G2,5,246L,,
83,BB_056,G1,3,247L,,
83,BB_104,G1,5,247R,,
83,BB_002,G2,4,248R,,
83,BB_031,G1,3,249L,,
83,BB_089,G2,5,249R,,
84,BB_205,G1,2,250R,,
84,BB_104,G2,4,251L,,
84,BB_179,G1,5,251R,,
84,BB_103,G1,1,252L,,
85,BB_009,G1,1,253R,,
86,BB_111,G1,2,256L,,
86,BB_059,G2,4,256R,,
86,BB_150,G1,3,257R,,
86,BB_083,G1,1,258L,,
87,BB_164,G2,5,259L,,
87,BB_214,G1,1,260L,,
87,BB_133,G1,3,260R,,
87,BB_054,G2,3,261L,,
88,BB_016,G1,5,263L,,
89,BB_149,G2,3,266R,,
90,BB_024,G2,4,268L,,
90,BB_139,G1,4,268R,,
90,BB_133,G2,5,269L,,
90,BB_042,G1,4,269R,,
90,BB_205A,G2,3,270L,,
91,BB_013,G2,4,271L,,
91,BB_021,G1,2,271R,,
91,BB_149,G1,5,272L,,
91,BB_039,G1,2,272R,,
91,BB_209,G1,2,273L,,
91,BB_204,G1,5,273R,,
92,BB_003,G1,1,274L,,
92,BB_070,G2,4,274R,,
92,BB_134,G1,1,275L,,
92,BB_080,G1,1,276L,,
92,BB_061,G1,4,276R,,
93,BB_216,G1,2,277L,,
93,BB_179,G2,1,277R,,
93,BB_045,G2,2,278L,,
93,BB_060,G1,1,278R,,
93,BB_110,G1,4,279L,,
93,BB_214,G1,4,279R,,
94,BB_018,G1,3,281L,,
94,BB_048,G1,5,281R,,
95,BB_050,G1,2,283L,,
95,BB_053,G1,1,284L,,
95,BB_181,G1,5,285R,,
96,BB_163,G1,2,287L,,
96,BB_097,G1,4,287R,,
96,BB_145,G1,1,288L,,
96,BB_147,G2,3,288R,,
97,BB_146,G1,1,289L,,
97,BB_208,G1,5,289R,,
97,BB_179,G2,3,290L,,
97,BB_164,G1,1,290R,,
97,BB_037,G1,1,291L,,
97,BB_052,G2,4,291R,,
98,BB_205B,G1,5,292R,,
98,BB_094,G1,2,293L,,
98,BB_148,G1,5,293R,,
99,BB_060,G2,5,295L,,
99,BB_138,G2,5,295R,,
99,BB_207,G1,1,297R,,
100,BB_081,G1,4,298L,,
100,BB_087,G2,4,298R,,
100,BB_143,G1,5,299R,,
100,BB_049,G1,1,300L,,
100,BB_121,G1,1,300R,,
101,BB_002,G2,4,301L,,
101,BB_132,G1,1,301R,,
101,BB_085,G1,4,302L,,
101,BB_166,G2,1,302R,,
101,BB_150,G2,3,303L,,
101,BB_007,G1,3,303R,,
102,BB_215,G1,5,304L,,
102,BB_061,G1,3,304R,,
102,BB_098,G2,3,305L,,
102,BB_114,G2,1,306R,,
103,BB_113,G1,4,307L,,
103,BB_186,G1,3,308L,,
103,BB_209,G2,4,308R,,
103,BB_020,G2,2,309L,,
103,BB_149,G2,5,309R,,
104,BB_200,G1,2,310L,,
104,BB_148,G1,1,311L,,
104,BB_204,G1,5,312L,,
104,BB_080,G2,3,312R,,
105,BB_068,G1,2,313L,,
105,BB_045,G2,2,313R,,
105,BB_109,G1,5,314L,,
105,BB_123,G1,3,315L,,
106,BB_126,G1,2,316L,,
106,BB_042,G1,4,316R,,
106,BB_018,G2,3,317L,,
106,BB_206,G1,4,317R,,
107,BB_105,G1,1,319L,,
107,BB_218,G1,1,319R,,
107,BB_160,G1,4,320L,,
107,BB_111,G2,3,320R,,
107,BB_216,G1,2,321L,,
107,BB_024,G1,3,321R,,
108,BB_030,G1,3,322L,,
