Transect,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
3,AC_197,G1,-,4,32R,,,,,
3,AC_058,G2,X,5,33L,,,,,
3,AC_111,G1,-,4,33R,,,,,
3,AC_111,G1,-,5,33R,19.828,04/14/23,non-fitness plant,,
3,AC_190,G1,-,5,34R,,,,,
3,AC_034,G2,X,3,35L,,,,,
3,AC_034,G2,X,5,35L,18.593,04/14/23,non-fitness plant,,
3,AC_074,G2,X,4,35R,,,,,
4,AC_111,G2,X,2,1L,20.519,04/28/23,non-fitness plant,,
4,AC_111,G2,X,3,1L,21.555,5/12/23,,,
4,AC_187,G2,X,4,1R,21.676,5/12/23,,,
4,AC_046,G2,X,1,2L,19.18,5/12/23,non-fitness,,
4,AC_046,G2,X,3,2L,17.015,5/26/23,2 petals were folded,,
4,AC_096,G1,-,3,2R,21.996,5/12/23,,,
4,AC_055,G2,X,5,3L,,,,,
4,AC_011,G1,-,2,3R,19.31,04/28/23,,,
4,AC_104,G1,-,1,4L,19.315,04/28/23,non-fitness plant,,
4,AC_104,G1,-,5,4L,18.834,5/12/23,,,
4,AC_107,G2,X,1,4R,20.731,04/28/23,,,
4,AC_178,G2,X,4,5L,,,,,
4,AC_178,G2,X,5,5L,21.616,04/28/23,non-fitness plant,,
4,AC_201,G1,-,1,5R,20.058,04/28/23,non-fitness plant,,
4,AC_201,G1,-,2,5R,22.093,5/12/23,,,
4,AC_179,G1,-,4,6L,23.516,04/28/23,,,
4,AC_109,G2,X,1,6R,25.113,04/28/23,,,
4,AC_014,G2,X,2,7L,19.133,04/28/23,non-fitness plant,,
4,AC_014,G2,X,4,7L,20.817,5/12/23,,,
4,AC_136,G1,-,2,7R,23.884,5/12/23,,,
4,AC_136,G1,-,5,7R,24.004,04/28/23,non-fitness plant,,
4,AC_168,G1,-,2,8L,16.776,04/28/23,wrong file name. Fix 169 -> 168,,
4,AC_057,G2,X,2,8R,20.294,04/28/23,,,
4,AC_147,G1,-,1,9L,,,,,
4,AC_147,G1,-,3,9L,21.952,04/28/23,non-fitness plant,,
4,AC_186,G1,-,2,9R,19.268,04/28/23,,,
4,AC_083,G2,X,1,10L,23.294,04/28/23,,,
4,AC_110,G2,X,3,10R,23.201,04/28/23,,,
4,AC_058,G1,-,3,11L,,,,,
4,AC_204,G2,X,1,11R,24.587,04/28/23,non-fitness plant,,
4,AC_204,G2,X,3,11R,,,,,
4,AC_054,G2,X,5,12L,18.806,04/28/23,,,
4,AC_128,G1,-,3,12R,21.459,04/28/23,,,
4,AC_168,G1,-,3,13L,23.647,04/28/23,non-fitness plant,,
4,AC_168,G1,-,4,13L,,,,,
4,AC_070,G2,X,1,13R,25.132,04/28/23,non-fitness plant,,
4,AC_070,G2,X,4,13R,,,,,
4,AC_072,G2,X,3,14L,17.917,04/28/23,,,
4,AC_151,G2,X,4,14R,18.26,04/28/23,,,
4,AC_099,G2,X,1,15L,15.445,04/28/23,non-fitness plant,,
4,AC_099,G2,X,3,15L,,,,,
4,AC_048,G1,-,3,16L,22.144,04/28/23,,,
4,AC_160,G1,-,5,16R,19.929,04/28/23,,,
4,AC_068,G1,-,3,17L,21.328,04/28/23,,,
4,AC_109,G2,X,3,17R,18.402,04/28/23,,,
4,AC_011,G2,X,4,18L,18.672,04/28/23,,,
4,AC_088,G1,-,4,18R,18.89,04/14/23,tips of 2 petals are rolled up,,
4,AC_055,G2,X,3,19L,21.874,04/28/23,,,
4,AC_017,G1,-,3,19R,19.151,04/28/23,,,
4,AC_203,G1,-,1,20L,17.392,04/28/23,,,
4,AC_030,G2,X,3,20R,21.395,04/28/23,,,
4,AC_160,G2,X,2,21L,18.593,04/14/23,,,
4,AC_195,G2,X,4,21R,,,,,
4,AC_005,G1,-,1,22L,20.78,04/28/23,,,
4,AC_172,G2,X,4,22R,,,,,
4,AC_120,G1,-,3,23R,15.894,04/28/23,non-fitness plant,,
4,AC_120,G1,-,5,23R,,,,,
4,AC_123,G1,-,2,24L,19.199,04/28/23,non-fitness plant,,
4,AC_123,G1,-,4,24L,,,,,
4,AC_130,G1,-,3,25R,,,,,
4,AC_100,G1,-,4,26L,17.349,04/28/23,,,
4,AC_051,G2,X,2,26R,,,,,
4,AC_208,G1,-,4,27L,,,,,
4,AC_208,G1,-,5,27L,18.105,04/14/23,non-fitness plant,,
4,AC_040,G2,X,5,27R,18.644,04/14/23,,,
4,AC_070,G1,-,2,28L,,,,,
4,AC_040,G1,-,3,28R,,,,,
4,AC_203,G1,-,3,29L,,,,,
4,AC_216,G1,-,5,29R,,,,,
4,AC_143,G2,X,5,30L,,,,,
4,AC_204,G1,-,4,30R,,,,,
4,AC_095,G2,X,1,31L,,,,,
4,AC_068,G2,X,1,31R,,,,,
4,AC_179,G2,X,5,32L,,,,,
4,AC_190,G2,X,1,32R,,,,,
4,AC_118,G2,X,3,33L,,,,,
4,AC_118,G2,X,5,33L,17.735,04/14/23,non-fitness plant,,
4,AC_064,G2,X,3,33R,,,,,
4,AC_147,G2,X,1,34L,,,,,
4,AC_131,G2,X,3,34R,23.162,04/14/23,,,
4,AC_062,G1,-,3,35R,,,,,
4,AC_062,G1,-,5,35R,14.843,04/14/23,non-fitness plant,,
4,AC_159A,G2,X,5,36L,,,,,
4,AC_159B,G2,X,1,36R,14.857,04/14/23,non-fitness plant,,
4,AC_159B,G2,X,3,36R,18.089,04/14/23,non-fitness plant,,
4,AC_159B,G2,X,5,36R,,,,,
5,AC_109,G1,-,2,1L,21.916,5/12/23,,,
5,AC_153,G1,-,1,1R,20.378,04/28/23,only 4 petals are clearly visible,,
5,AC_200,G1,-,5,2L,17.141,5/12/23,,,
5,AC_171,G1,-,2,2R,21.087,5/12/23,,,
5,AC_128,G2,X,2,3L,15.784,04/28/23,non-fitness plant,,
5,AC_128,G2,X,5,3L,17.528,04/28/23,,,
5,AC_046,G2,X,2,3R,24.645,5/12/23,,,
5,AC_058,G1,-,2,4L,13.58,5/12/23,,,
5,AC_195,G1,-,5,4R,17.389,04/28/23,,,
5,AC_208,G2,X,4,5L,13.482,04/28/23,non-fitness plant,,
5,AC_208,G2,X,5,5L,20.734,5/12/23,,,
5,AC_178,G2,X,5,5R,20.448,04/28/23,,,
5,AC_010,G2,X,5,6R,23.85,5/12/23,,,
5,AC_068,G1,-,1,7L,18.715,04/28/23,non-fitness plant,,
5,AC_068,G1,-,2,7L,,,,,
5,AC_188,G2,X,2,7R,,,,,
5,AC_188,G2,X,4,7R,17.873,04/28/23,non-fitness plant,,
5,AC_206,G1,-,5,8L,20.323,04/28/23,,,
5,AC_032,G2,X,2,8R,20.48,04/28/23,non-fitness plant,,
5,AC_032,G2,X,4,8R,,,,,
5,AC_111,G2,X,1,9L,14.587,04/28/23,,,
5,AC_056,G1,-,4,9R,15.076,04/28/23,tip of 1 petal is rolled up,,
5,AC_217,G1,-,3,10L,,,,,
5,AC_217,G1,-,5,10L,17.08,04/28/23,non-fitness plant,,
5,AC_064,G1,-,5,10R,25.613,04/28/23,,,
5,AC_064,G2,X,3,11L,20.584,04/28/23,,,
5,AC_070,G1,-,2,11R,,,,,
