Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
4,AC_179,G2,5,32L,,
4,AC_190,G2,1,32R,,
4,AC_118,G2,3,33L,,
4,AC_064,G2,3,33R,,
4,AC_147,G2,1,34L,,
4,AC_131,G2,3,34R,,
4,AC_062,G1,3,35R,,
4,AC_159A,G2,5,36L,,
4,AC_159B,G2,5,36R,,
5,AC_109,G1,2,1L,,
5,AC_153,G1,1,1R,,
5,AC_200,G1,5,2L,,
5,AC_171,G1,2,2R,,
5,AC_128,G2,5,3L,,
5,AC_046,G2,2,3R,,
5,AC_058,G1,2,4L,,
5,AC_195,G1,5,4R,,
5,AC_208,G2,5,5L,,
5,AC_178,G2,5,5R,,
5,AC_010,G2,5,6R,,
5,AC_068,G1,2,7L,,
5,AC_188,G2,2,7R,,
5,AC_206,G1,5,8L,,
5,AC_032,G2,4,8R,,
5,AC_111,G2,1,9L,,
5,AC_056,G1,4,9R,,
5,AC_217,G1,3,10L,,
5,AC_064,G1,5,10R,,
5,AC_064,G2,3,11L,,
5,AC_070,G1,2,11R,,
5,AC_142,G1,3,12R,,
5,AC_153,G2,2,13L,,
5,AC_128,G2,2,14L,,
5,AC_040,G1,2,14R,,
5,AC_104,G1,1,15L,,
5,AC_005,G1,3,15R,,
5,AC_030,G1,1,16L,,
5,AC_048,G2,5,16R,,
5,AC_144,G1,1,17L,,
5,AC_213,G1,4,17R,,
5,AC_115,G1,3,18L,,
5,AC_090,G2,2,18R,,
5,AC_109,G2,4,19L,,
5,AC_090,G1,4,19R,,
5,AC_192,G2,4,20L,,
5,AC_205,G2,2,20R,,
5,AC_097,G1,5,21L,,
5,AC_182,G2,1,21R,,
5,AC_160,G1,4,22L,,
5,AC_204,G2,3,22R,,
5,AC_155,G1,4,23L,,
5,AC_192,G2,4,24L,,
5,AC_046,G1,4,24R,,
5,AC_181,G2,2,25L,,
5,AC_123,G2,1,25R,,
5,AC_215,G2,2,26L,,
5,AC_095,G1,4,26R,,
5,AC_142,G2,5,27L,,
5,AC_206,G2,1,27R,,
5,AC_120,G2,3,28L,,
5,AC_171,G2,4,28R,,
5,AC_185,G1,4,29L,,
5,AC_147,G1,1,29R,,
5,AC_130,G1,1,30L,,
5,AC_058,G1,1,30R,,
5,AC_159,G1,5,31L,,
5,AC_158,G2,3,31R,,
5,AC_011,G1,2,32L,,
5,AC_114,G1,2,33L,,
5,AC_100,G1,5,33R,,
5,AC_153,G1,3,34L,,
5,AC_081,G2,3,34R,,
5,AC_216,G2,3,35L,,
5,AC_168,G2,3,35R,,
5,AC_205,G1,1,36L,,
5,AC_034,G1,3,36R,,
6,AC_083,G1,5,1L,,
6,AC_016,G2,2,1R,,
6,AC_115,G1,5,2L,,
6,AC_160,G2,4,2R,,
6,AC_120,G1,3,3R,,
6,AC_099,G1,1,4L,,
6,AC_131,G1,4,4R,,
6,AC_110,G2,3,5L,,
6,AC_054,G1,5,5R,,
6,AC_104,G1,2,6L,,
6,AC_171,G1,2,6R,,
6,AC_185,G1,3,7L,,
6,AC_187,G1,2,8L,,
6,AC_136,G2,2,9L,,
6,AC_187,G2,4,10L,,
6,AC_111,G1,5,11L,,
6,AC_095,G1,5,11R,,
6,AC_122,G1,5,13R,,
6,AC_197,G2,1,14L,,
6,AC_120,G2,3,14R,,
6,AC_213,G2,3,15L,,
6,AC_158,G1,5,15R,,
6,AC_109,G1,4,16L,,
6,AC_172,G1,3,17L,,
6,AC_143,G2,3,17R,,
6,AC_099,G1,2,18R,,
6,AC_066,G1,5,19R,,
6,AC_172,G1,4,20L,,
6,AC_142,G2,4,20R,,
6,AC_171,G2,4,21L,,
6,AC_199,G2,5,21R,,
6,AC_193,G1,3,22R,,
6,AC_115,G2,1,23L,,
6,AC_062,G1,5,23R,,
6,AC_189,G1,3,24R,,
6,AC_090,G2,1,25L,,
6,AC_055,G1,5,25R,,
6,AC_208,G2,1,26R,,
6,AC_182,G2,2,27L,,
6,AC_130,G1,5,27R,,
6,AC_016,G2,2,28L,,
6,AC_131,G2,5,28R,,
6,AC_086,G2,2,29L,,
6,AC_186,G2,1,29R,,
6,AC_052,G2,3,30L,,
6,AC_158,G2,5,30R,,
6,AC_034,G2,3,31L,,
6,AC_171,G1,5,31R,,
6,AC_182,G1,3,33R,,
6,AC_128,G1,1,34L,,
6,AC_147,G2,4,34R,,
6,AC_118,G1,5,35R,,
7,AC_142,G1,3,1L,,
7,AC_072,G2,5,2L,,
7,AC_110,G1,5,2R,,
7,AC_191,G2,5,3L,,
7,AC_070,G2,1,3R,,
7,AC_187,G2,2,4L,,
7,AC_201,G1,5,4R,,
7,AC_172,G2,2,6L,,
7,AC_095,G1,3,6R,,
7,AC_056,G1,3,7L,,
7,AC_055,G1,3,7R,,
7,AC_211,G2,1,8L,,
7,AC_199,G2,4,8R,,
7,AC_052,G1,3,9L,,
7,AC_204,G2,4,9R,,
7,AC_074,G1,4,10L,,
7,AC_179,G1,5,10R,,
7,AC_200,G2,3,11R,,
7,AC_017,G1,2,12L,,
7,AC_056,G2,1,12R,,
7,AC_216,G2,2,13L,,
7,AC_048,G1,4,14L,,
7,AC_189,G2,1,14R,,
7,AC_122,G2,2,15R,,
7,AC_217,G2,1,16L,,
7,AC_066,G1,5,17R,,
7,AC_155,G2,2,19R,,
7,AC_110,G2,5,20L,,
7,AC_017,G2,3,21R,,
7,AC_051,G2,1,22L,,
7,AC_086,G2,5,22R,,
7,AC_104,G2,1,23L,,
7,AC_057,G2,2,23R,,
7,AC_218,G1,5,24L,,
7,AC_081,G2,1,24R,,
7,AC_114,G1,2,25L,,
7,AC_092,G1,5,26R,,
7,AC_017,G2,5,27R,,
7,AC_151,G1,1,28L,,
7,AC_189,G2,2,28R,,
7,AC_178,G2,4,29L,,
7,AC_216,G1,5,29R,,
7,AC_096,G2,1,30L,,
7,AC_114,G2,2,31L,,
7,AC_123,G2,3,31R,,
7,AC_083,G2,2,32L,,
7,AC_034,G2,2,32R,,
7,AC_216,G2,5,33L,,
7,AC_075,G1,4,33R,,
7,AC_107,G1,5,34L,,
7,AC_082,G1,1,34R,,
7,AC_097,G1,5,35L,,
7,AC_211,G2,1,35R,,
7,AC_052,G2,3,36L,,
7,AC_030,G2,5,36R,,
8,AC_193,G2,1,1L,,
8,AC_011,G1,5,1R,,
8,AC_038,G2,4,2L,,
8,AC_191,G2,1,2R,,
8,AC_148,G2,4,3L,,
8,AC_038,G1,2,3R,,
8,AC_089,G2,3,4R,,
8,AC_131,G1,5,5L,,
8,AC_218,G2,1,5R,,
8,AC_206,G1,1,6L,,
8,AC_186,G1,2,6R,,
8,AC_211,G1,1,8L,,
8,AC_017,G2,1,8R,,
8,AC_185,G2,4,9L,,
8,AC_100,G2,1,10L,,
8,AC_142,G2,2,10R,,
8,AC_204,G1,4,11L,,
8,AC_072,G1,2,12R,,
8,AC_082,G1,2,13R,,
8,AC_074,G1,5,14R,,
8,AC_160,G2,1,15L,,
8,AC_160,G1,1,15R,,
8,AC_133,G2,5,16L,,
8,AC_005,G2,2,16R,,
8,AC_206,G1,4,17L,,
8,AC_110,G1,3,17R,,
8,AC_123,G2,5,18R,,
8,AC_062,G1,4,19R,,
8,AC_014,G1,2,20L,,
8,AC_058,G2,5,20R,,
8,AC_155,G2,4,21L,,
8,AC_115,G1,3,21R,,
8,AC_113,G2,5,22L,,
8,AC_189,G1,3,22R,,
8,AC_052,G2,5,23R,,
8,AC_218,G2,4,24L,,
8,AC_104,G2,5,24R,,
8,AC_208,G2,4,25L,,
8,AC_097,G2,5,25R,,
8,AC_158,G2,1,26L,,
8,AC_096,G2,5,27L,,
8,AC_083,G1,4,27R,,
8,AC_133,G2,3,28L,,
8,AC_142,G1,1,28R,,
8,AC_130,G2,1,29L,,
8,AC_092,G1,5,29R,,
8,AC_014,G1,2,30R,,
8,AC_151,G1,1,31L,,
8,AC_120,G2,2,32L,,
8,AC_014,G2,2,32R,,
8,AC_015,G1,1,33L,,
8,AC_151,G2,2,33R,,
8,AC_119,G2,3,34L,,
8,AC_088,G2,4,34R,,
8,AC_064,G1,4,35L,,
8,AC_182,G1,5,35R,,
8,AC_200,G1,2,36R,,
9,AC_182,G2,4,1L,,
9,AC_090,G2,2,2L,,
9,AC_218,G1,3,2R,,
9,AC_217,G1,4,3L,,
9,AC_097,G2,1,3R,,
9,AC_158,G1,1,4L,,
9,AC_100,G1,3,4R,,
9,AC_118,G1,1,5L,,
9,AC_097,G1,5,5R,,
9,AC_201,G1,3,6L,,
9,AC_066,G1,1,6R,,
9,AC_040,G1,3,7L,,
9,AC_208,G1,5,7R,,
9,AC_168,G2,1,8R,,
9,AC_110,G1,1,9R,,
9,AC_015,G1,4,10L,,
9,AC_155,G1,2,10R,,
9,AC_015,G2,1,11L,,
9,AC_154,G2,5,11R,,
9,AC_115,G2,1,12L,,
9,AC_092,G2,2,12R,,
9,AC_122,G2,4,13L,,
9,AC_048,G2,4,13R,,
9,AC_074,G2,5,14L,,
9,AC_211,G2,1,14R,,
9,AC_218,G2,1,15L,,
9,AC_082,G2,1,16L,,
9,AC_153,G2,1,17L,,
9,AC_051,G2,5,18R,,
9,AC_090,G1,3,19L,,
9,AC_199,G1,2,20L,,
9,AC_034,G1,2,21L,,
9,AC_070,G2,5,21R,,
9,AC_217,G2,4,22R,,
9,AC_081,G1,4,23L,,
9,AC_155,G1,5,25L,,
9,AC_092,G2,2,26L,,
9,AC_186,G2,1,26R,,
9,AC_015,G1,3,27L,,
9,AC_075,G2,5,28L,,
9,AC_193,G1,3,28R,,
9,AC_128,G1,2,29L,,
9,AC_179,G2,1,29R,,
9,AC_097,G2,5,30L,,
9,AC_136,G1,4,31L,,
9,AC_014,G2,1,31R,,
9,AC_188,G2,5,32L,,
9,AC_133,G1,5,32R,,
9,AC_081,G1,5,33L,,
9,AC_201,G2,1,33R,,
9,AC_113,G1,1,34R,,
