Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
4,HR_164,G2,3,28R,,
4,HR_038,G1,5,29L,,
4,HR_023,G1,3,29R,,
4,HR_107,G2,3,30L,,
4,HR_181,G1,3,30R,,
4,HR_050,G1,4,31L,,
4,HR_062,G2,4,31R,,
4,HR_007,G1,1,32L,,
4,HR_042,G1,3,32R,,
4,HR_018,G1,2,33L,,
4,HR_005,G1,4,33R,,
4,HR_009,G2,5,34L,,
4,HR_033,G2,4,34R,,
4,HR_181,G2,1,35L,,
4,HR_182,G1,1,35R,,
4,HR_083,G2,1,36L,,
4,HR_115,G2,4,36R,,
4,HR_016,G1,5,37L,,
4,HR_114,G2,4,37R,,
4,HR_070,G2,2,38L,,
4,HR_113,G2,3,38R,,
4,HR_043,G1,1,39L,,
4,HR_021,G1,4,39R,,
4,HR_017,G2,5,40L,,
4,HR_149,G2,4,40R,,
4,HR_079,G2,5,41L,,
4,HR_142,G2,2,41R,,
4,HR_085,G2,4,42L,,
4,HR_025,G2,2,42R,,
4,HR_004,G2,3,43L,,
4,HR_028,G1,5,43R,,
4,HR_124,G2,4,44L,,
4,HR_181,G2,1,44R,,
4,HR_180,G2,5,45L,,
4,HR_065,G1,2,45R,,
5,HR_118,G2,3,1L,,
5,HR_196,G1,5,1R,,
5,HR_112,G1,4,2L,,
5,HR_201,G1,3,2R,,
5,HR_059,G1,1,3L,,
5,HR_146,G1,5,3R,,
5,HR_071,G2,2,4L,,
5,HR_145,G2,4,4R,,
5,HR_044,G1,3,5L,,
5,HR_078,G1,1,5R,,
5,HR_153,G1,4,6L,,
5,HR_054,G1,2,6R,,
5,HR_139,G1,1,7L,,
5,HR_126,G1,4,7R,,
5,HR_061,G1,1,8R,,
5,HR_053,G1,2,9L,,
5,HR_028,G1,3,9R,,
5,HR_011,G2,5,10L,,
5,HR_197,G1,3,10R,,
5,HR_170,G1,1,11L,,
5,HR_073,G1,2,11R,,
5,HR_061,G2,5,12L,,
5,HR_173,G1,5,13L,,
5,HR_079,G1,5,13R,,
5,HR_159,G2,3,14L,,
5,HR_137,G1,1,14R,,
5,HR_173,G1,5,15L,,
5,HR_057,G2,3,15R,,
5,HR_141,G1,1,16L,,
5,HR_012,G1,3,16R,,
5,HR_110,G1,5,17L,,
5,HR_042,G2,1,17R,,
5,HR_103,G2,1,18L,,
5,HR_085,G1,5,18R,,
5,HR_155,G1,4,19L,,
5,HR_042,G2,5,19R,,
5,HR_040,G1,2,20L,,
5,HR_165,G2,4,20R,,
5,HR_192,G2,3,21L,,
5,HR_179,G1,4,21R,,
5,HR_109,G2,1,22L,,
5,HR_141,G1,3,22R,,
5,HR_108,G2,1,23L,,
5,HR_037,G1,4,23R,,
5,HR_101,G1,5,24L,,
5,HR_004,G2,5,24R,,
5,HR_124,G2,3,25L,,
5,HR_184,G2,4,25R,,
5,HR_092,G1,5,26L,,
5,HR_168,G2,3,26R,,
5,HR_150,G2,1,27L,,
5,HR_040,G1,2,27R,,
5,HR_035,G2,2,28R,,
5,HR_054,G2,5,29L,,
5,HR_114,G1,1,29R,,
5,HR_184,G1,2,30L,,
5,HR_033,G2,1,30R,,
5,HR_057,G1,1,31L,,
5,HR_129,G2,4,31R,,
5,HR_133,G2,4,32L,,
5,HR_165,G1,4,32R,,
5,HR_147,G2,1,33L,,
5,HR_043,G2,1,33R,,
5,HR_115,G2,2,34L,,
5,HR_155,G1,4,34R,,
5,HR_105,G2,3,35L,,
5,HR_109,G2,5,35R,,
5,HR_032,G2,4,36L,,
5,HR_150,G2,1,36R,,
5,HR_018,G2,3,37L,,
5,HR_051,G1,4,37R,,
5,HR_108,G1,3,38L,,
5,HR_193,G2,3,38R,,
5,HR_080,G1,3,39L,,
5,HR_001,G2,5,39R,,
5,HR_173,G2,4,40L,,
5,HR_134,G1,3,40R,,
5,HR_131,G2,5,41L,,
5,HR_028,G2,1,41R,,
5,HR_051,G2,5,42L,,
5,HR_038,G2,3,42R,,
5,HR_119,G1,3,43L,,
5,HR_123,G1,3,43R,,
5,HR_135,G2,5,44L,,
5,HR_083,G1,1,44R,,
5,HR_103,G2,2,45L,,
5,HR_161,G1,1,45R,,
6,HR_177,G2,4,1L,,
6,HR_015,G1,4,1R,,
6,HR_123,G2,5,2L,,
6,HR_062,G1,4,2R,,
6,HR_129,G2,5,3L,,
6,HR_056,G1,3,3R,,
6,HR_121,G1,5,4L,,
6,HR_080,G2,1,4R,,
6,HR_049,G1,4,5L,,
6,HR_017,G2,5,5R,,
6,HR_119,G1,4,6L,,
6,HR_051,G1,4,6R,,
6,HR_087,G2,5,7L,,
6,HR_107,G1,1,7R,,
6,HR_026,G1,5,8L,,
6,HR_034,G2,1,8R,,
6,HR_061,G1,5,9L,,
6,HR_142,G1,1,9R,,
6,HR_152,G2,1,10L,,
6,HR_110,G1,1,10R,,
6,HR_041,G2,4,11L,,
6,HR_182,G1,3,11R,,
6,HR_032,G1,1,12L,,
6,HR_118,G2,2,12R,,
6,HR_112,G2,2,13L,,
6,HR_126,G2,4,14L,,
6,HR_027,G2,2,14R,,
6,HR_051,G2,4,15L,,
6,HR_142,G2,1,15R,,
6,HR_109,G1,5,16L,,
6,HR_181,G1,2,16R,,
6,HR_197,G2,3,17L,,
6,HR_071,G2,4,17R,,
6,HR_066,G1,1,18L,,
6,HR_146,G1,5,18R,,
6,HR_012,G2,3,19L,,
6,HR_004,G2,4,19R,,
6,HR_016,G1,2,20L,,
6,HR_059,G1,4,20R,,
6,HR_201,G1,4,21L,,
6,HR_049,G2,3,21R,,
6,HR_108,G1,5,22L,,
6,HR_195,G1,1,22R,,
6,HR_066,G1,2,23L,,
6,HR_119,G2,5,23R,,
6,HR_072,G1,4,24L,,
6,HR_037,G2,2,24R,,
6,HR_070,G2,2,25L,,
6,HR_072,G1,3,25R,,
6,HR_015,G1,3,26L,,
6,HR_178,G2,4,26R,,
6,HR_085,G2,5,27L,,
6,HR_190,G1,1,27R,,
6,HR_014,G2,1,28L,,
6,HR_129,G1,5,28R,,
6,HR_161,G2,4,29L,,
6,HR_040,G2,2,29R,,
6,HR_170,G2,5,30L,,
6,HR_116,G1,3,30R,,
6,HR_058,G1,4,31L,,
6,HR_183,G2,1,31R,,
6,HR_174,G1,2,32L,,
6,HR_057,G2,2,32R,,
6,HR_087,G2,4,33L,,
6,HR_196,G2,5,33R,,
6,HR_004,G1,3,34L,,
6,HR_072,G2,1,34R,,
6,HR_025,G1,5,35L,,
6,HR_036,G1,2,35R,,
6,HR_016,G2,2,36L,,
6,HR_176,G1,5,36R,,
6,HR_148,G1,1,37L,,
6,HR_192,G2,4,37R,,
6,HR_104,G1,2,38L,,
6,HR_034,G1,5,38R,,
6,HR_065,G2,3,39L,,
6,HR_180,G1,4,39R,,
