Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
3,10,BO_070,BO_184,4,2,2,4,0.5,2,1,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.5984576785137069,0.6750348675034868,0.6422624553984406,0.6722222222222223,1.8225806451612905,1.0297872340425531
3,10,BO_074,BO_027,16,5,5,16,0.75,12,3.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,3.5907460710822416,2.5313807531380754,2.5690498215937625,1.6805555555555556,7.290322580645162,1.54468085106383
3,10,BO_088,BO_140,0,1,1,0,0.25,0,0.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.1687587168758717,0,0.33611111111111114,0,0.5148936170212766
3,10,BO_088,BO_169,0,2,1,0,1,0,2,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,1.3500697350069737,0,0.6722222222222223,0,2.0595744680851062
3,10,BO_096,BO_178,1,1,1,1,0.25,0.25,0.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.07480720981421336,0.1687587168758717,0.16056561384961016,0.33611111111111114,0.4556451612903226,0.5148936170212766
3,10,BO_101,BO_080,6,2,2,6,0.375,2.25,0.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.6732648883279203,0.5062761506276151,0.9633936830976609,0.6722222222222223,2.7338709677419355,0.772340425531915
3,10,BO_109,BO_028,0,1,1,0,0.625,0,0.625,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.42189679218967924,0,0.33611111111111114,0,1.2872340425531914
3,10,BO_128,BO_044,1,1,1,1,0.25,0.25,0.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.07480720981421336,0.1687587168758717,0.16056561384961016,0.33611111111111114,0.4556451612903226,0.5148936170212766
3,10,BO_130,BO_161,NA,0,0,0,0.375,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,0.772340425531915
3,10,BO_143,BO_195,0,1,1,0,0.875,0,0.875,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.590655509065551,0,0.33611111111111114,0,1.8021276595744682
3,10,BO_151,BO_056,NA,0,0,0,0.25,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,0.5148936170212766
3,10,BO_153,BO_157,6,3,3,6,0.375,2.25,1.125,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.6732648883279203,0.7594142259414226,0.9633936830976609,1.0083333333333333,2.7338709677419355,0.772340425531915
3,10,BO_162,BO_089,NA,0,0,0,0.75,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.54468085106383
3,10,BO_170,BO_045,4,4,4,4,0.875,3.5,3.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,1.0473009373989872,2.362622036262204,0.6422624553984406,1.3444444444444446,1.8225806451612905,1.8021276595744682
3,10,BO_170,BO_055,5,10,2,1,0.25,1.25,2.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.37403604907106686,1.687587168758717,0.8028280692480508,3.361111111111111,0.4556451612903226,0.5148936170212766
3,10,BO_173,BO_054,0,2,1,0,0.625,0,1.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.8437935843793585,0,0.6722222222222223,0,1.2872340425531914
3,10,BO_173,BO_091,NA,0,0,0,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.0297872340425531
3,10,BO_177,BO_121,NA,0,0,0,0.75,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.54468085106383
3,10,BO_183,BO_063,NA,0,0,0,0.375,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,0.772340425531915
3,10,BO_183,BO_198,0,2,2,0,0.25,0,0.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.3375174337517434,0,0.6722222222222223,0,0.5148936170212766
3,10,BO_185,BO_085,0,1,1,0,0.5,0,0.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.3375174337517434,0,0.33611111111111114,0,1.0297872340425531
3,10,BO_187,BO_031,3,1,1,3,0.625,1.875,0.625,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.5610540736066003,0.42189679218967924,0.48169684154883047,0.33611111111111114,1.3669354838709677,1.2872340425531914
3,10,BO_188,BO_052,1,2,2,1,1,1,2,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.29922883925685345,1.3500697350069737,0.16056561384961016,0.6722222222222223,0.4556451612903226,2.0595744680851062
3,10,BO_189,BO_126,3,1,1,3,0.75,2.25,0.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.6732648883279203,0.5062761506276151,0.48169684154883047,0.33611111111111114,1.3669354838709677,1.54468085106383
3,10,BO_189,BO_142,2,1,1,2,0.5,1,0.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.29922883925685345,0.3375174337517434,0.3211312276992203,0.33611111111111114,0.9112903225806452,1.0297872340425531
3,10,BO_192,BO_127,NA,0,0,0,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.0297872340425531
3,10,BO_194,BO_098,0,1,1,0,0.875,0,0.875,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.590655509065551,0,0.33611111111111114,0,1.8021276595744682
3,10,BO_199,BO_018,6,6,6,6,1,6,6,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,1.7953730355411208,4.050209205020921,0.9633936830976609,2.0166666666666666,2.7338709677419355,2.0595744680851062
3,10,BO_201,BO_189,0,2,2,0,0.5,0,1,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.6750348675034868,0,0.6722222222222223,0,1.0297872340425531
3,11,BO_001,BO_025,NA,0,0,0,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.0297872340425531
3,11,BO_005,BO_122,NA,0,0,NA,0.125,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,NA,0.2574468085106383
3,11,BO_005,BO_176,10,6,6,10,0.5,5,3,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,1.4961441962842674,2.0251046025104604,1.6056561384961017,2.0166666666666666,4.556451612903226,1.0297872340425531
3,11,BO_029,BO_061,0,3,3,0,0.5,0,1.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,1.0125523012552302,0,1.0083333333333333,0,1.0297872340425531
3,11,BO_033,BO_099,0,4,2,0,0.25,0,1,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.6750348675034868,0,1.3444444444444446,0,0.5148936170212766
3,11,BO_038,BO_082,0,2,1,0,0.375,0,0.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.5062761506276151,0,0.6722222222222223,0,0.772340425531915
3,11,BO_038,BO_137,12,2,1,6,0.5,6,1,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,1.7953730355411208,0.6750348675034868,1.9267873661953219,0.6722222222222223,2.7338709677419355,1.0297872340425531
3,11,BO_039,BO_200,13,13,3,3,1,13,13,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,3.8899749103390953,8.775453277545328,2.087352980044932,4.3694444444444445,1.3669354838709677,2.0595744680851062
3,11,BO_040,BO_067,1,1,1,1,1,1,1,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.29922883925685345,0.6750348675034868,0.16056561384961016,0.33611111111111114,0.4556451612903226,2.0595744680851062
3,11,BO_065,BO_115,21.6,6,5,18,1,21.6,6,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,6.463342927948036,4.050209205020921,3.46821725915158,2.0166666666666666,8.201612903225808,2.0595744680851062
3,11,BO_070,BO_046,NA,0,0,NA,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,NA,1.0297872340425531
3,11,BO_070,BO_066,NA,0,0,0,0.25,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,0.5148936170212766
3,11,BO_073,BO_117,NA,5,0,0,0.5,NA,2.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,1.687587168758717,NA,1.6805555555555556,0,1.0297872340425531
3,11,BO_074,BO_118,NA,1,0,0,0.125,NA,0.125,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0.08437935843793586,NA,0.33611111111111114,0,0.2574468085106383
3,11,BO_088,BO_050,NA,0,0,NA,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,NA,1.0297872340425531
3,11,BO_096,BO_012,1,2,2,1,0.75,0.75,1.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.2244216294426401,1.0125523012552302,0.16056561384961016,0.6722222222222223,0.4556451612903226,1.54468085106383
3,11,BO_096,BO_134,140,28,2,10,0.5,70,14,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,20.946018747979743,9.450488145048816,22.479185938945424,9.411111111111111,4.556451612903226,1.0297872340425531
