Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes
W1,HR_059,2,,,
W1,HR_059,6,,,
W1,HR_059,7,,,
W1,HR_064,2,,,
W1,HR_064,4,,,
W1,HR_064,8,,,
W1,HR_071,1,,,
W1,HR_071,3,,,
W1,HR_071,4,,,
W1,HR_080,1,,,
W1,HR_080,2,,,
W1,HR_080,8,,,
W1,HR_101,1,,,
W1,HR_101,2,,,
W1,HR_101,7,,,
W1,HR_112,1,,,
W1,HR_112,5,,,
W1,HR_112,7,,,
W1,HR_119,2,,,
W1,HR_119,6,,,
W1,HR_119,7,,,
W1,HR_142,1,,,
W1,HR_142,4,,,
W1,HR_142,6,,,
W1,HR_145,3,,,
W1,HR_145,4,,,
W1,HR_145,5,,,
W1,HR_146,2,,,
W1,HR_146,7,,,
W1,HR_146,8,,,
W1,HR_148,2,,,
W1,HR_148,6,,,
W1,HR_148,8,,,
W1,HR_149,2,,,
W1,HR_149,7,,,
W1,HR_149,8,,,
W1,HR_162,3,,,
W1,HR_162,7,,,
W1,HR_162,8,,,
W1,HR_180,3,,,
W1,HR_180,4,,,
W1,HR_180,7,,,
W1,HR_184,2,,,
W1,HR_184,4,,,
W1,HR_184,6,,,
W2,HR_015,1,,,
W2,HR_015,7,,,
W2,HR_015,8,,,
W2,HR_017,1,,,
W2,HR_017,3,,,
W2,HR_017,8,,,
W2,HR_040,1,,,
W2,HR_040,5,,,
W2,HR_040,7,,,
W2,HR_043,4,,,
W2,HR_043,6,,,
W2,HR_043,8,,,
W2,HR_044,3,,,
W2,HR_044,4,,,
W2,HR_044,7,,,
W2,HR_056,2,,,
W2,HR_056,4,,,
W2,HR_056,8,,,
W2,HR_059,1,,,
W2,HR_059,5,,,
W2,HR_059,6,,,
W2,HR_064,3,,,
W2,HR_064,4,,,
W2,HR_064,7,,,
W2,HR_071,3,,,
W2,HR_071,4,,,
W2,HR_071,8,,,
W2,HR_080,5,,,
W2,HR_080,6,,,
W2,HR_101,3,,,
W2,HR_101,5,,,
W2,HR_101,7,,,
W2,HR_112,2,,,
W2,HR_112,3,,,
