Transect,Donor,Recipient,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Transect,Recipient,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,AC_64,AC_86,Flow Date,4,,,,,,1,AC_86,9,,,,,,
1,AC_64,AC_86,Flow Date,5,,,,,,1,AC_86,10,,,,,,
1,AC_68,AC_56,Flow Date,1,,,,,,1,AC_56,6,,,,,,
1,AC_68,AC_56,Flow Date,2,,,,,,1,AC_56,7,,,,,,
1,AC_68,AC_56,Flow Date,3,,,,,,1,AC_56,8,,,,,,
1,AC_68,AC_56,Flow Date,4,,,,,,1,AC_56,9,,,,,,
1,AC_68,AC_56,Flow Date,5,,,,,,1,AC_56,10,,,,,,
1,AC_170,AC_203,Flow Date,1,,,,,,1,AC_203,6,,,,,,
1,AC_170,AC_203,Flow Date,2,,,,,,1,AC_203,7,,,,,,
1,AC_170,AC_203,Flow Date,3,,,,,,1,AC_203,8,,,,,,
1,AC_170,AC_203,Flow Date,4,,,,,,1,AC_203,9,,,,,,
1,AC_170,AC_203,Flow Date,5,,,,,,1,AC_203,10,,,,,,
1,AC_165,AC_62,Flow Date,1,,,,,,1,AC_62,6,,,,,,
1,AC_165,AC_62,Flow Date,2,,,,,,1,AC_62,7,,,,,,
1,AC_165,AC_62,Flow Date,3,,,,,,1,AC_62,8,,,,,,
1,AC_165,AC_62,Flow Date,4,,,,,,1,AC_62,9,,,,,,
1,AC_165,AC_62,Flow Date,5,,,,,,1,AC_62,10,,,,,,
1,AC_15,AC_97,Flow Date,1,,,,,,1,AC_97,6,,,,,,
1,AC_15,AC_97,Flow Date,2,,,,,,1,AC_97,7,,,,,,
1,AC_15,AC_97,Flow Date,3,,,,,,1,AC_97,8,,,,,,
1,AC_15,AC_97,Flow Date,4,,,,,,1,AC_97,9,,,,,,
1,AC_15,AC_97,Flow Date,5,,,,,,1,AC_97,10,,,,,,
1,AC_68,AC_89,Flow Date,1,,,,,,1,AC_89,6,,,,,,
1,AC_68,AC_89,Flow Date,2,,,,,,1,AC_89,7,,,,,,
1,AC_68,AC_89,Flow Date,3,,,,,,1,AC_89,8,,,,,,
1,AC_68,AC_89,Flow Date,4,,,,,,1,AC_89,9,,,,,,
1,AC_68,AC_89,Flow Date,5,,,,,,1,AC_89,10,,,,,,
1,AC_169,AC_120,Flow Date,1,,,,,,1,AC_120,6,,,,,,
1,AC_169,AC_120,Flow Date,2,,,,,,1,AC_120,7,,,,,,
1,AC_169,AC_120,Flow Date,3,,,,,,1,AC_120,8,,,,,,
1,AC_169,AC_120,Flow Date,4,,,,,,1,AC_120,9,,,,,,
1,AC_169,AC_120,Flow Date,5,,,,,,1,AC_120,10,,,,,,
1,AC_179,AC_136,Flow Date,1,,,,,,1,AC_136,6,,,,,,
1,AC_179,AC_136,Flow Date,2,,,,,,1,AC_136,7,,,,,,
1,AC_179,AC_136,Flow Date,3,,,,,,1,AC_136,8,,,,,,
1,AC_179,AC_136,Flow Date,4,,,,,,1,AC_136,9,,,,,,
1,AC_179,AC_136,Flow Date,5,,,,,,1,AC_136,10,,,,,,
1,AC_039,AC_168,Flow Date,1,,,,,,1,AC_168,6,,,,,,
1,AC_039,AC_168,Flow Date,2,,,,,,1,AC_168,7,,,,,,
1,AC_039,AC_168,Flow Date,3,,,,,,1,AC_168,8,,,,,,
1,AC_039,AC_168,Flow Date,4,,,,,,1,AC_168,9,,,,,,
1,AC_039,AC_168,Flow Date,5,,,,,,1,AC_168,10,,,,,,
1,AC_45,AC_151,Flow Date,1,,,,,,1,AC_151,6,,,,,,
1,AC_45,AC_151,Flow Date,2,,,,,,1,AC_151,7,,,,,,
1,AC_45,AC_151,Flow Date,3,,,,,,1,AC_151,8,,,,,,
1,AC_45,AC_151,Flow Date,4,,,,,,1,AC_151,9,,,,,,
1,AC_45,AC_151,Flow Date,5,,,,,,1,AC_151,10,,,,,,
1,AC_195,AC_193,Flow Date,1,,,,,,1,AC_193,6,,,,,,
