Block,Location,Seq,Co.,Donor_ID,Recipient_ID,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Location,Recipient_ID,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,25,70,1,BB_100,BB_113,Flow Date,3,,,,,,25,BB_113,7,,,,,,
1,25,70,1,BB_100,BB_113,Flow Date,4,,,,,,25,BB_113,8,,,,,,
1,25,71,6,BB_188,BB_171,Flow Date,1,,,,,,25,BB_171,5,,,,,,
1,25,71,6,BB_188,BB_171,Flow Date,2,,,,,,25,BB_171,6,,,,,,
1,25,71,6,BB_188,BB_171,Flow Date,3,,,,,,25,BB_171,7,,,,,,
1,25,71,6,BB_188,BB_171,Flow Date,4,,,,,,25,BB_171,8,,,,,,
1,25,72,5,BB_91,BB_94,Flow Date,1,,,,,,25,BB_94,5,,,,,,
1,25,72,5,BB_91,BB_94,Flow Date,2,,,,,,25,BB_94,6,,,,,,
1,25,72,5,BB_91,BB_94,Flow Date,3,,,,,,25,BB_94,7,,,,,,
1,25,72,5,BB_91,BB_94,Flow Date,4,,,,,,25,BB_94,8,,,,,,
1,26,73,1,BB_202,BB_25,Flow Date,1,,,,,,26,BB_25,5,,,,,,
1,26,73,1,BB_202,BB_25,Flow Date,2,,,,,,26,BB_25,6,,,,,,
1,26,73,1,BB_202,BB_25,Flow Date,3,,,,,,26,BB_25,7,,,,,,
1,26,73,1,BB_202,BB_25,Flow Date,4,,,,,,26,BB_25,8,,,,,,
1,26,74,5,BB_176,BB_59,Flow Date,1,,,,,,26,BB_59,5,,,,,,
1,26,74,5,BB_176,BB_59,Flow Date,2,,,,,,26,BB_59,6,,,,,,
1,26,74,5,BB_176,BB_59,Flow Date,3,,,,,,26,BB_59,7,,,,,,
1,26,74,5,BB_176,BB_59,Flow Date,4,,,,,,26,BB_59,8,,,,,,
