Site: Blue Oak Ranch (2021-2022),,,,,,Plant ID,,,,,,,,"P- pig damage, G- gopher; UR-uprooted (plug pushed up), B- buried, PR- paddle replaced, DP-deer poop, T-trampled by deer, 3- Tripplet (3 Cotyledons)",,,
Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes - 12/6,Notes - 12/15,Notes - 12/21,Notes 12/28-29
W2,33,2,BO_189,BO_126,Germ,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,"P-5,6,7,8;*-7","*-3,5","*-3,5,7"
W2,33,2,BO_189,BO_126,Flow,,,,,,,,,,,,
W2,34,5,BO_143,BO_4,Germ,,2022-12-06,2022-12-06,,,2022-12-15,2022-12-06,2022-12-15,,*-6,*-8,"*-6,8"
W2,34,5,BO_143,BO_4,Flow,,,,,,,,,,,,
W2,35,6,BO_1,BO_48,Germ,2022-12-06,,2022-12-06,,2022-12-21,,2022-12-06,2022-12-06,,"*-3,7","*-5,8","*-3,7;D-5"
W2,35,6,BO_1,BO_48,Flow,,,,,,,,,,,,
W2,36,4,BO_192,BO_127,Germ,2022-12-06,2022-12-06,2022-12-15,2022-12-06,2022-12-06,2022-12-15,2022-12-06,2022-12-06,,"P-1;*-2,3,4,5,8",*-6,"*-2,3,5,6,8"
W2,36,4,BO_192,BO_127,Flow,,,,,,,,,,,,
W2,37,2,BO_189,BO_142,Germ,2022-12-15,2022-12-06,2022-12-15,,2022-12-06,2022-12-21,2022-12-21,2022-12-21,,"*-1,2,3","*-6,7,8","*-1,2,3,6,7,8"
W2,37,2,BO_189,BO_142,Flow,,,,,,,,,,,,
W2,38,2,BO_038,BO_82,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,"P-3,4;D-3,4;*-6",,"P-4;D-3,6"
W2,38,2,BO_038,BO_82,Flow,,,,,,,,,,,,
W2,39,5,BO_143,BO_152,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-21,2022-12-06,2022-12-06,,"P-1,2,3,4,5,6,7,8;D-1,2,4",*-3;UR-3;D-5,"*-3;P-2;D-1,4"
W2,39,5,BO_143,BO_152,Flow,,,,,,,,,,,,
W2,40,6,BO_201,BO_130,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-15,2022-12-06,,"P-1,2,3,4,5,6,7,8;D-1;*-7;","UR-2,5,6,7;D-8","D-1,7,8"
W2,40,6,BO_201,BO_130,Flow,,,,,,,,,,,,
W2,41,1,BO_101,BO_80,Germ,,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,,"P-1,2,3,4,5,6,7,8;D-2;*-6",D-3,"*-2,3,6;P-5,7"
W2,41,1,BO_101,BO_80,Flow,,,,,,,,,,,,
W2,42,2,BO_189,BO_86,Germ,2022-12-06,2022-12-21,2022-12-15,2022-12-06,,2022-12-15,2022-12-15,2022-12-15,,"*-3,7,8;P-5","UR-7,8","*-3,7"
W2,42,2,BO_189,BO_86,Flow,,,,,,,,,,,,
