,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
1,2,40,AC_150,AC_83,Flow Date,,,,,,,,,,
1,2,41,AC_124,AC_14,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05
1,2,41,AC_124,AC_14,Flow Date,,,,,,,,,,
1,2,42,AC_91,AC_204,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,2,42,AC_91,AC_204,Flow Date,,,,,Dead 12/5,,,,,
1,2,43,AC_161,AC_213,Germ Date,,,,,,2022-12-05,2022-12-05,2022-12-05,,2022-12-05
1,2,43,AC_161,AC_213,Flow Date,,,,,,,,,,
1,2,44,AC_177,AC_211,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,2,44,AC_177,AC_211,Flow Date,,,,Dead 12/5,,Dead 12/5,,,,Dead 12/5
1,2,45,AC_168,AC_142,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,,2022-12-05
1,2,45,AC_168,AC_142,Flow Date,,,,,,,,,,
1,2,46,AC_125,AC_38,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,,2022-12-05
1,2,46,AC_125,AC_38,Flow Date,Dead 12/5,,,Dead 12/5,,,,,,Dead 12/5
1,2,47,AC_179,AC_114,Germ Date,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03
1,2,47,AC_179,AC_114,Flow Date,Dead 12/5,,,,,,,,,
1,2,48,AC_186,AC_11,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05
1,2,48,AC_186,AC_11,Flow Date,,,,,,,,,,
1,2,49,AC_002,AC_104,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05
1,2,49,AC_002,AC_104,Flow Date,Dead 12/5,,,,,,,,,
