Site: Bodega Bay (2021-2022),,,,,,,Plant ID,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Location (1-156),Seq (1-441),Co.,Donor_ID,Recipient_ID,mm/dd,1,2,3,4,5,6,7,8,,Notes 12/12,Notes 12/19-20,Notes 12/30
1,10,30,3,BB_168,BB_58,Germ Date,,2022-12-12,2022-12-12,2022-12-12,2022-12-19,2022-12-19,2022-12-19,,,(n=2)-4,"*-6,7",(n=2)-4;*-6;D-7
1,10,30,3,BB_168,BB_58,Flow Date,,,,,,,,,,,,
1,10,31,2,BB_182,BB_21,Germ Date,2022-12-12,2022-12-30,2022-12-12,2022-12-30,2022-12-19,,2022-12-30,,,,,"*-4,7"
1,10,31,2,BB_182,BB_21,Flow Date,,,,,,,,,,,,
1,11,32,2,BB_197,BB_60,Germ Date,2022-12-19,2022-12-12,2022-12-12,2022-12-30,2022-12-12,2022-12-30,2022-12-19,2022-12-12,,,"*-5,7,8","*-4,5,8"
1,11,32,2,BB_197,BB_60,Flow Date,,,,,,,,,,,,
1,11,33,2,BB_142,BB_93,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-19,2022-12-12,2022-12-30,2022-12-19,2022-12-12,,,"*-1,2,3,4;G-6","*-2,3,4,6"
1,11,33,2,BB_142,BB_93,Flow Date,,,,,,,,,,,,
1,11,34,4,BB_47,BB_71,Germ Date,2022-12-19,2022-12-30,2022-12-19,2022-12-19,2022-12-12,2022-12-12,2022-12-19,2022-12-19,,,"*-1,4,6,7,8","*-1,2,4,5,7,8"
1,11,34,4,BB_47,BB_71,Flow Date,,,,,,,,,,,,
1,12,35,3,BB_174,BB_68,Germ Date,2022-12-30,2022-12-12,2022-12-19,2022-12-30,2022-12-30,2022-12-12,,,,,"*-3,6","*-1,3,4,5,6"
1,12,35,3,BB_174,BB_68,Flow Date,,,,,,,,,,,,
1,12,36,1,BB_202,BB_18,Germ Date,2022-12-12,,2022-12-12,2022-12-12,2022-12-12,2022-12-19,,2022-12-12,,,"D-4,5","D-4,5"
1,12,36,1,BB_202,BB_18,Flow Date,,,,,,,,,,,,
1,13,37,4,BB_47,BB_131,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-19,,,,
1,13,37,4,BB_47,BB_131,Flow Date,,,,,,,,,,,,
1,13,38,5,BB_141,BB_29,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,,*-6
1,13,38,5,BB_141,BB_29,Flow Date,,,,,,,,,,,,
1,13,39,3,BB_198,BB_45,Germ Date,2022-12-19,2022-12-12,2022-12-12,2022-12-19,2022-12-12,2022-12-19,2022-12-12,2022-12-19,,,"*-3,4","*-2,3"
1,13,39,3,BB_198,BB_45,Flow Date,,,,,,,,,,,,
1,14,40,4,BB_175,BB_172,Germ Date,2022-12-30,,2022-12-19,2022-12-30,2022-12-19,2022-12-30,2022-12-19,2022-12-19,,,"*-3,7","*-1,3,6;D-7"
1,14,40,4,BB_175,BB_172,Flow Date,,,,,,,,,,,,
1,14,41,1,BB_028,BB_83,Germ Date,2022-12-30,2022-12-12,2022-12-12,2022-12-12,2022-12-19,2022-12-30,2022-12-12,2022-12-19,,,"*-3,5","*-1,3"
1,14,41,1,BB_028,BB_83,Flow Date,,,,,,,,,,,,
1,14,42,3,BB_11,BB_116,Germ Date,2022-12-19,2022-12-19,2022-12-30,,2022-12-19,2022-12-30,,2022-12-19,,,?-2,*-3
1,14,42,3,BB_11,BB_116,Flow Date,,,,,,,,,,,,
1,15,43,2,BB_066,BB_19,Germ Date,2022-12-19,2022-12-19,2022-12-12,2022-12-19,2022-12-19,2022-12-30,2022-12-12,2022-12-12,,,*-4,
1,15,43,2,BB_066,BB_19,Flow Date,,,,,,,,,,,,
1,15,44,4,BB_99,BB_61,Germ Date,2022-12-19,2022-12-19,2022-12-19,2022-12-19,2022-12-19,2022-12-30,2022-12-19,2022-12-19,,,"*-4,5,7","*4,5,6,7;D-1"
1,15,44,4,BB_99,BB_61,Flow Date,,,,,,,,,,,,
1,16,45,5,BB_215,BB_210,Germ Date,,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-19,,,,
1,16,45,5,BB_215,BB_210,Flow Date,,,,,,,,,,,,
1,16,46,4,BB_5,BB_166,Germ Date,2022-12-30,2022-12-19,2022-12-12,2022-12-30,2022-12-12,2022-12-12,2022-12-12,,,,*-7,"*-1,4,7"
1,16,46,4,BB_5,BB_166,Flow Date,,,,,,,,,,,,
1,17,47,4,BB_5,BB_34,Germ Date,2022-12-19,,2022-12-19,2022-12-12,2022-12-12,2022-12-19,2022-12-19,2022-12-12,,,*-3,
1,17,47,4,BB_5,BB_34,Flow Date,,,,,,,,,,,,
1,17,48,5,BB_57,BB_146,Germ Date,2022-12-30,2022-12-19,2022-12-19,2022-12-12,2022-12-12,,2022-12-12,2022-12-12,,,,*-1
1,17,48,5,BB_57,BB_146,Flow Date,,,,,,,,,,,,
1,17,49,5,BB_91,BB_98,Germ Date,2022-12-30,2022-12-12,2022-12-30,2022-12-12,2022-12-12,2022-12-12,2022-12-19,2022-12-12,,,,"*-1,3"
1,17,49,5,BB_91,BB_98,Flow Date,,,,,,,,,,,,
1,18,50,1,BB_202,BB_101,Germ Date,2022-12-12,2022-12-19,2022-12-30,2022-12-12,,2022-12-12,,,,,*-4;PR-2,*-4;D-1
1,18,50,1,BB_202,BB_101,Flow Date,,,,,,,,,,,,
1,18,51,2,BB_066,BB_52,Germ Date,2022-12-19,,2022-12-30,2022-12-30,2022-12-12,2022-12-30,2022-12-12,2022-12-30,,,,"*-3,4,6,8"
1,18,51,2,BB_066,BB_52,Flow Date,,,,,,,,,,,,
1,19,52,4,BB_177,BB_134,Germ Date,2022-12-12,2022-12-30,,,2022-12-12,2022-12-19,2022-12-12,2022-12-30,,,*-7,"*2,7"
1,19,52,4,BB_177,BB_134,Flow Date,,,,,,,,,,,,
1,19,53,4,BB_177,BB_117,Germ Date,2022-12-12,2022-12-19,2022-12-30,2022-12-12,2022-12-30,2022-12-19,,2022-12-19,,"B-6,7,8","*-1,6;PR-8;?-2","*-1,6;D-8;M-7"
1,19,53,4,BB_177,BB_117,Flow Date,,,,,,,,,,,,
1,19,54,1,BB_028,BB_209,Germ Date,2022-12-19,2022-12-12,2022-12-30,2022-12-30,2022-12-30,,2022-12-19,2022-12-12,,,D-2,"*-3,4,5;D-2"
1,19,54,1,BB_028,BB_209,Flow Date,,,,,,,,,,,,
1,20,55,1,BB_075,BB_164,Germ Date,2022-12-12,,2022-12-19,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,,
1,20,55,1,BB_075,BB_164,Flow Date,,,,,,,,,,,,
1,20,56,2,BB_142,BB_150,Germ Date,,2022-12-12,2022-12-19,2022-12-19,2022-12-30,,2022-12-30,2022-12-19,,,,"*-5,7"
1,20,56,2,BB_142,BB_150,Flow Date,,,,,,,,,,,,
1,20,57,4,BB_130,BB_48,Germ Date,2022-12-12,,2022-12-19,2022-12-19,2022-12-19,2022-12-12,,2022-12-19,,,"*-1,4,5,8;D-6","*-4,5;D-6"
1,20,57,4,BB_130,BB_48,Flow Date,,,,,,,,,,,,
1,21,58,3,BB_167,BB_110,Germ Date,2022-12-20,,,,,2022-12-20,2022-12-12,2022-12-20,,,*-8,*-8
1,21,58,3,BB_167,BB_110,Flow Date,,,,,,,,,,,,
1,21,59,3,BB_169,BB_160,Germ Date,,2022-12-12,2022-12-12,,,2022-12-12,,2022-12-20,,,D-6,*-6
1,21,59,3,BB_169,BB_160,Flow Date,,,,,,,,,,,,
1,21,60,5,BB_215,BB_4,Germ Date,2022-12-20,2022-12-12,,2022-12-20,2022-12-12,,,2022-12-20,,,?-8,D-8
1,21,60,5,BB_215,BB_4,Flow Date,,,,,,,,,,,,
1,22,61,4,BB_73,BB_84,Germ Date,,,,2022-12-20,2022-12-30,,2022-12-20,2022-12-20,,,,*-5
1,22,61,4,BB_73,BB_84,Flow Date,,,,,,,,,,,,
1,22,62,3,BB_11,BB_215,Germ Date,2022-12-12,2022-12-12,,2022-12-12,2022-12-12,2022-12-12,,2022-12-12,,,*-8,*-8
1,22,62,3,BB_11,BB_215,Flow Date,,,,,,,,,,,,
1,22,63,3,BB_38,BB_149,Germ Date,2022-12-20,2022-12-12,,2022-12-20,2022-12-20,2022-12-12,2022-12-20,2022-12-12,,,"*-1,7,8","*-1,7,8"
1,22,63,3,BB_38,BB_149,Flow Date,,,,,,,,,,,,
1,23,64,2,BB_182,BB_103,Germ Date,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,*-2,*-2
1,23,64,2,BB_182,BB_103,Flow Date,,,,,,2022-03-03,,,,,,
1,23,65,4,BB_130,BB_7,Germ Date,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,"?-1;*-4,5,7","*-1,4,5"
1,23,65,4,BB_130,BB_7,Flow Date,,,,,,,,,,,,
1,23,66,5,BB_173,BB_44,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,?-3,D-6
1,23,66,5,BB_173,BB_44,Flow Date,,,,,,,,,,,,
1,24,67,5,BB_57,BB_200,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-12,,,,
1,24,67,5,BB_57,BB_200,Flow Date,,,2022-03-03,,,,,,,,,
1,24,68,2,BB_197,BB_199,Germ Date,2022-12-12,2022-12-30,2022-12-30,,2022-12-20,2022-12-12,2022-12-12,,,,*-5,"*-2,3,5"
1,24,68,2,BB_197,BB_199,Flow Date,,,,,,,,,,,,
1,24,69,2,BB_197,BB_211,Germ Date,,2022-12-20,2022-12-12,2022-12-12,2022-12-20,,,2022-12-20,,,"D-4;*-2,8","*-2,8; D-4"
1,24,69,2,BB_197,BB_211,Flow Date,,,,,,,,,,,,
1,25,70,1,BB_100,BB_113,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-12,,,,(3)-6
1,25,70,1,BB_100,BB_113,Flow Date,,,,,,,,,,,,
1,25,71,6,BB_188,BB_171,Germ Date,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,,*-6,
1,25,71,6,BB_188,BB_171,Flow Date,,,,,,,,,,,,
1,25,72,5,BB_91,BB_94,Germ Date,2022-12-20,2022-12-20,2022-12-20,2022-12-20,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,"*-1,3,4","*-1,3"
1,25,72,5,BB_91,BB_94,Flow Date,,,,,,,,,,,,
1,26,73,1,BB_202,BB_25,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-30,2022-12-12,2022-12-20,2022-12-12,2022-12-12,,,*-5,D-5
1,26,73,1,BB_202,BB_25,Flow Date,,,,,,,,,,,,
1,26,74,5,BB_176,BB_59,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,2022-12-12,2022-12-12,2022-12-12,,,"*-1,2,3,6",*-1;D-6
1,26,74,5,BB_176,BB_59,Flow Date,,,,,,,,,,,,
1,26,75,2,BB_014,BB_185,Germ Date,,,,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-12,,,,
1,26,75,2,BB_014,BB_185,Flow Date,,,,,,,,,,,,
1,27,76,4,BB_26,BB_70,Germ Date,2022-12-30,2022-12-30,2022-12-20,2022-12-20,2022-12-20,2022-12-20,,2022-12-12,,,"*-3,5","*-1,2,3,5"
1,27,76,4,BB_26,BB_70,Flow Date,,,,,,,,,,,,
1,27,77,4,BB_73,BB_92,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-12,,,"*-1,6",*-6
1,27,77,4,BB_73,BB_92,Flow Date,,,,,,,,,,,,
1,27,78,5,BB_108,BB_97,Germ Date,2022-12-20,2022-12-20,2022-12-20,2022-12-20,,2022-12-30,,2022-12-20,,,"*-1,2","*-6;D-2,4"
1,27,78,5,BB_108,BB_97,Flow Date,,,,,,,,,,,,
1,28,79,3,BB_169,BB_76,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-20,2022-12-12,2022-12-12,2022-12-12,,,"*-1,5,7",*-7
1,28,79,3,BB_169,BB_76,Flow Date,,,,,,,,,,,,
1,28,80,2,BB_107,BB_123,Germ Date,,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,"*-2,5",*1-2;D-8
1,28,80,2,BB_107,BB_123,Flow Date,,,,,,,,,,,,
1,28,81,1,BB_194,BB_163,Germ Date,2022-12-20,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-20,2022-12-30,,,"*-1,3,4,5,6,7","*-1,3,4,5,8;D-7"
1,28,81,1,BB_194,BB_163,Flow Date,,,,,,,,,,,,
1,29,82,3,BB_168,BB_81,Germ Date,2022-12-20,2022-12-20,2022-12-20,2022-12-20,2022-12-20,2022-12-30,2022-12-30,2022-12-20,,,*-1,"*-1,7"
1,29,82,3,BB_168,BB_81,Flow Date,,,,,,,,,,,,
1,29,83,1,BB_100,BB_135,Germ Date,,2022-12-12,,,,2022-12-12,2022-12-20,2022-12-12,,,*-7,*-7
1,29,83,1,BB_100,BB_135,Flow Date,,,,,,,,,,,,
1,31,84,5,BB_173,BB_95,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,,,"*-2,6",*-6
1,31,84,5,BB_173,BB_95,Flow Date,,,,,,,,,,,,
1,31,85,1,BB_162,BB_154,Germ Date,2022-12-12,,2022-12-12,2022-12-12,2022-12-30,2022-12-30,2022-12-20,,,,,"*-5,6"
1,31,85,1,BB_162,BB_154,Flow Date,,,,,,,,,,,,
1,31,86,3,BB_65,BB_133,Germ Date,2022-12-12,2022-12-20,2022-12-20,,2022-12-20,2022-12-12,2022-12-20,,,,*-5,*-5
1,31,86,3,BB_65,BB_133,Flow Date,,,,,,,,,,,,
1,32,87,4,BB_73,BB_64,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,"*-2,4",*-2;D-4
1,32,87,4,BB_73,BB_64,Flow Date,,,,,,,,,,,,
1,32,88,3,BB_167,BB_8,Germ Date,2022-12-20,,2022-12-20,2022-12-12,2022-12-20,2022-12-20,,2022-12-20,,,*-5,
1,32,88,3,BB_167,BB_8,Flow Date,,,,,,,,,,,,
1,33,89,1,BB_194,BB_159,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-20,,2022-12-12,,,*-4,*-6;D-8
1,33,89,1,BB_194,BB_159,Flow Date,,,,,2022-03-03,,,,,,,
1,33,90,5,BB_217,BB_205,Germ Date,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-20,,2022-12-20,2022-12-12,,,"*-3,5",*-5
1,33,90,5,BB_217,BB_205,Flow Date,,,,,,,,,,,,
1,33,91,1,BB_213,BB_147,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,,
1,33,91,1,BB_213,BB_147,Flow Date,,,,,,,,,,,,
1,34,92,2,BB_014,BB_102,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-20,2022-12-12,,,"*-4,7",*-4
1,34,92,2,BB_014,BB_102,Flow Date,,,,,,,,,,,,
1,34,93,4,BB_26,BB_53,Germ Date,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-30,,2022-12-30,2022-12-30,,,,"*-5,7"
1,34,93,4,BB_26,BB_53,Flow Date,,,,,,,,,,,,
1,34,94,3,BB_168,BB_46,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,*-4;D-8,*-8
1,34,94,3,BB_168,BB_46,Flow Date,,,,,,,,,,,,
1,35,95,3,BB_174,BB_2,Germ Date,2022-12-20,2022-12-12,2022-12-12,2022-12-20,2022-12-20,2022-12-20,2022-12-20,2022-12-12,,,*-6,
1,35,95,3,BB_174,BB_2,Flow Date,,,,,,,,,,,,
1,35,96,2,BB_055,BB_183,Germ Date,,2022-12-30,2022-12-30,2022-12-12,2022-12-20,,,2022-12-12,,,*-4,"*-2,4"
1,35,96,2,BB_055,BB_183,Flow Date,,,,,,,,,,,,
1,36,97,2,BB_107,BB_151,Germ Date,2022-12-12,,2022-12-20,2022-12-20,2022-12-12,,2022-12-12,2022-12-12,,,"*-1,5",*-5
1,36,97,2,BB_107,BB_151,Flow Date,,,,,,,,,,,,
1,36,98,1,BB_213,BB_204,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,2022-12-20,,,?-4,D-4
1,36,98,1,BB_213,BB_204,Flow Date,,,,,,,,,,,,
1,36,99,4,BB_1,BB_72,Germ Date,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-30,,2022-12-20,2022-12-30,,,"*-1,3,7;T-5","*-1,7"
1,36,99,4,BB_1,BB_72,Flow Date,,,,,,,,,,,,
1,37,100,5,BB_57,BB_121,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-12,,,"*-6,7;UR-8",D-1
1,37,100,5,BB_57,BB_121,Flow Date,,,,,,,,,,,,
1,37,101,1,BB_213,BB_132,Germ Date,2022-12-30,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-12,,,,*-3,"*-1,3"
1,37,101,1,BB_213,BB_132,Flow Date,,2022-03-03,,,,,,,,,,
1,37,102,4,BB_175,BB_50,Germ Date,2022-12-12,2022-12-12,,2022-12-12,2021-12-12,2022-12-12,2022-12-20,2022-12-20,,,"*-1,4,5,6,7,8","*-1,4,5,7,8"
1,37,102,4,BB_175,BB_50,Flow Date,,,,,,,,,,,,
1,38,103,2,BB_196,BB_89,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-20,2022-12-12,2022-12-12,,2022-12-30,,,"*-3,5,6","*-3,5,6,8"
1,38,103,2,BB_196,BB_89,Flow Date,,,,,,,,,,,,
1,38,104,1,BB_122,BB_126,Germ Date,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,2022-12-20,2022-12-20,,,"*-5,7",*-5
1,38,104,1,BB_122,BB_126,Flow Date,,,,,,,,,,,,
1,38,105,2,BB_015,BB_63,Germ Date,2022-12-12,2022-12-20,2022-12-12,2022-12-20,2022-12-12,2022-12-12,2022-12-30,2022-12-20,,,"*-1,3,4,6","*-3;D-1,4"
