,Site:  Hastings Ranch 2021-22,,,,,Plant ID,,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Transect (1-12),Sequence (1-396),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10,Notes 12/6,Notes 12/17,Oak leaves removed when ontop of seedlings
1,1,43,HR_189,HR_18,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-17,,,,,
1,1,43,HR_189,HR_18,Flow Date,,,,,,,,,,,,,
1,1,44,HR_115,HR_26,Germ Date,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-11-19,,,,,
1,1,44,HR_115,HR_26,Flow Date,,,,,,,,,,,,,
1,1,45,HR_110,HR_37,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-11-19,2022-11-19,2022-11-19,,,,,
1,1,45,HR_110,HR_37,Flow Date,,,,,,,,,,,,,
1,1,46,HR_6,HR_162,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-11-19,,,,,
1,1,46,HR_6,HR_162,Flow Date,,,,,,,,,,,,,
1,2,47,HR_100,HR_195,Germ Date,2022-11-19,12/6 *,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,47,HR_100,HR_195,Flow Date,,,,,,,,,,,,,
1,2,48,HR_88,HR_14,Germ Date,2022-11-19,2022-11-19,2022-11-19,2022-12-06,,2022-12-06,2022-12-06,2022-12-17,,,D-1,,
1,2,48,HR_88,HR_14,Flow Date,,,,,,,,,,,,,
1,2,49,HR_148,HR_50,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,49,HR_148,HR_50,Flow Date,,,,,,,,,,,,,
1,2,50,HR_175,HR_27,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,D-4,,
1,2,50,HR_175,HR_27,Flow Date,,,,,,,,,,,,,
1,2,51,HR_157,HR_85,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,,
1,2,51,HR_157,HR_85,Flow Date,,,,,,,,,,,,,
1,2,52,HR_141,HR_15,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,D-1,,
1,2,52,HR_141,HR_15,Flow Date,,,,,,,,,,,,,
1,2,53,HR_34,HR_112,Germ Date,2022-12-06,,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,,,,
1,2,53,HR_34,HR_112,Flow Date,,,,,,,,,,,,,
1,2,54,HR_5,HR_149,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-17,2022-12-06,2022-11-19,,,,*-6,
1,2,54,HR_5,HR_149,Flow Date,,,,,,,,,,,,,
1,2,55,HR_027,HR_119,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,55,HR_027,HR_119,Flow Date,,,,,,,,,,,,,
1,2,56,HR_085,HR_107,Germ Date,2022-11-19,2022-12-06,2022-12-06,,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
1,2,56,HR_085,HR_107,Flow Date,,,,,,,,,,,,,
1,2,57,HR_133,HR_72,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,57,HR_133,HR_72,Flow Date,,,,,,,,,,,,,
1,2,58,HR_133,HR_161,Germ Date,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,58,HR_133,HR_161,Flow Date,,,,,,,,,,,,,
1,2,59,HR_085,HR_35,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-1,
1,2,59,HR_085,HR_35,Flow Date,,,,,,,,,,,,,
1,2,60,HR_90,HR_126,Germ Date,2022-11-19,2022-12-17,2022-11-19,2022-11-19,2022-12-06,2022-11-19,2022-12-17,2022-12-17,,,"D-1,3,6","*-2,8;?-7",
1,2,60,HR_90,HR_126,Flow Date,,,,,,,,,,,,,
1,2,61,HR_53,HR_169,Germ Date,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,D-2,,
1,2,61,HR_53,HR_169,Flow Date,,,,,,,,,,,,,
1,2,62,HR_125,HR_34,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,,,
1,2,62,HR_125,HR_34,Flow Date,,,,,,,,,,,,,
1,2,63,HR_164,HR_201,Germ Date,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,*-8,PR-2,
1,2,63,HR_164,HR_201,Flow Date,,,,,,,,,,,,,
1,2,64,HR_34,HR_80,Germ Date,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-11-19,2022-12-17,,,*-7,?-2;D-3;*-8,
1,2,64,HR_34,HR_80,Flow Date,,,,,,,,,,,,,
1,2,65,HR_155,HR_121,Germ Date,2022-12-06,2022-11-19,2022-12-06,,2022-12-06,2022-12-17,2022-12-06,2022-12-06,,,D-2,"*-2,6",
1,2,65,HR_155,HR_121,Flow Date,,,,,,,,,,,,,
1,2,66,HR_168,HR_101,Germ Date,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-17,,,D-1,"*-5,8",
1,2,66,HR_168,HR_101,Flow Date,,,,,,,,,,,,,
1,2,67,HR_53,HR_38,Germ Date,2022-12-17,,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-7,
1,2,67,HR_53,HR_38,Flow Date,,,,,,,,,,,,,
1,2,68,HR_5,HR_180,Germ Date,,2022-12-06,,,,2022-12-06,2022-12-06,2022-12-06,,,,D-8,
1,2,68,HR_5,HR_180,Flow Date,,,,,,,,,,,,,
1,2,69,HR_139,HR_129,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,*-2;D-3,
1,2,69,HR_139,HR_129,Flow Date,,,,,,,,,,,,,
1,2,70,HR_157,HR_88,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-17,2022-12-17,2022-12-06,,,*-8,"*-2,6,7",
1,2,70,HR_157,HR_88,Flow Date,,,,,,,,,,,,,
1,2,71,HR_6,HR_142,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-17,2022-12-17,,,,"*-4,7,8",
1,2,71,HR_6,HR_142,Flow Date,,,,,,,,,,,,,
1,2,72,HR_200,HR_153,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,,*-5,
1,2,72,HR_200,HR_153,Flow Date,,,,,,,,,,,,,
1,2,73,HR_125,HR_86,Germ Date,2022-12-06,2022-12-17,2022-12-17,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,73,HR_125,HR_86,Flow Date,,,,,,,,,,,,,
1,2,74,HR_171,HR_73,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-11-19,,,,,
1,2,74,HR_171,HR_73,Flow Date,,,,,,,,,,,,,
1,2,75,HR_57,HR_6,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,75,HR_57,HR_6,Flow Date,,,,,,,,,,,,,
1,2,76,HR_139,HR_62,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,,,,,,
1,2,76,HR_139,HR_62,Flow Date,,,,,,,,,,,,,
1,2,77,HR_196,HR_54,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-5,
1,2,77,HR_196,HR_54,Flow Date,,,,,,,,,,,,,
1,2,78,HR_180,HR_23,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-11-19,,,,,
1,2,78,HR_180,HR_23,Flow Date,,,,,,,,,,,,,
1,2,79,HR_195,HR_104,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,,
1,2,79,HR_195,HR_104,Flow Date,,,,,,,,,,,,,
1,2,80,HR_027,HR_145,Germ Date,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,,,D-1,,
1,2,80,HR_027,HR_145,Flow Date,,,,,,,,,,,,,
1,2,81,HR_8,HR_12,Germ Date,2022-12-17,2022-12-17,2022-12-17,2022-12-06,2022-12-17,2022-12-06,2022-12-17,2022-12-17,,,,*-5;?-5,
1,2,81,HR_8,HR_12,Flow Date,,,,,,,,,,,,,
1,2,82,HR_70,HR_165,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,2,82,HR_70,HR_165,Flow Date,,,,,,,,,,,,,
1,2,83,HR_168,HR_64,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,,,,,
1,2,83,HR_168,HR_64,Flow Date,,,,,,,,,,,,,
1,2,84,HR_66,HR_137,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,,
1,2,84,HR_66,HR_137,Flow Date,,,,,,,,,,,,,
1,2,85,HR_027,HR_43,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
