Site: Blue Oak 2021-22,,,,,,,,,,
Block (1-3),Transect (1-14),Sequence (1-396),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds planting 2021,Number seeds per block
2,5,168,8,21,2,BO_187,BO_31,145,72,24
2,5,169,9,1,1,BO_088,BO_140,109,54,18
2,5,170,9,2,6,BO_13,BO_114,101,50,16.66666667
2,5,171,9,3,5,BO_70,BO_46,45,22,7.333333333
2,5,172,9,4,4,BO_73,BO_117,163,81,27
2,5,173,9,5,4,BO_73,BO_186,76,38,12.66666667
2,5,174,9,6,4,BO_74,BO_47,115,57,19
2,5,175,9,7,1,BO_128,BO_44,109,54,18
2,5,176,9,8,5,BO_5,BO_122,100,50,16.66666667
2,6,177,9,9,2,BO_029,BO_61,119,59,19.66666667
2,6,178,9,10,1,BO_106,BO_131,77,38,12.66666667
2,6,179,9,11,5,BO_188,BO_8,100,50,16.66666667
2,6,180,9,12,1,BO_185,BO_153,125,62,20.66666667
2,6,181,9,13,1,BO_088,BO_50,169,84,28
2,6,182,9,14,6,BO_1,BO_25,100,50,16.66666667
2,6,183,9,15,2,BO_177,BO_147,181,90,30
2,6,184,9,16,6,BO_32,BO_132,100,50,16.66666667
2,6,185,9,17,1,BO_151,BO_56,79,39,13
2,6,186,9,18,2,BO_038,BO_137,200,100,33.33333333
2,6,187,9,19,5,BO_188,BO_52,100,50,16.66666667
2,6,188,9,20,4,BO_74,BO_118,183,91,30.33333333
2,6,189,9,21,2,BO_177,BO_139,153,76,25.33333333
2,6,190,10,1,5,BO_65,BO_78,100,50,16.66666667
2,6,191,10,2,4,BO_192,BO_127,136,68,22.66666667
2,6,192,10,3,6,BO_201,BO_130,100,50,16.66666667
2,6,193,10,4,2,BO_130,BO_120,118,59,19.66666667
2,6,194,10,5,3,BO_39,BO_200,189,94,31.33333333
2,6,195,10,6,6,BO_149,BO_32,41,20,6.666666667
2,6,196,10,7,4,BO_73,BO_70,154,77,25.66666667
2,6,197,10,8,6,BO_32,BO_96,101,50,16.66666667
2,6,198,10,9,2,BO_130,BO_161,115,57,19
2,6,199,10,10,6,BO_153,BO_157,100,50,16.66666667
2,6,200,10,11,2,BO_029,BO_90,128,64,21.33333333
2,6,201,10,12,1,BO_106,BO_191,169,84,28
2,6,202,10,13,6,BO_1,BO_151,100,50,16.66666667
2,6,203,10,14,2,BO_189,BO_142,135,67,22.33333333
2,6,204,10,15,2,BO_130,BO_174,123,61,20.33333333
2,6,205,10,16,3,BO_198,BO_158,138,69,23
2,6,206,10,17,1,BO_101,BO_182,192,96,32
2,7,207,10,18,1,BO_101,BO_80,110,55,18.33333333
2,7,208,10,19,6,BO_40,BO_29,100,50,16.66666667
2,7,209,10,20,6,BO_201,BO_189,100,50,16.66666667
2,7,210,10,21,1,BO_106,BO_104,144,72,24
2,7,211,11,1,4,BO_170,BO_55,33,16,5.333333333
2,7,212,11,2,2,BO_187,BO_135,145,72,24
2,7,213,11,3,6,BO_69,BO_43,101,50,16.66666667
2,7,214,11,4,6,BO_40,BO_67,100,50,16.66666667
2,7,215,11,5,6,BO_153,BO_177,100,50,16.66666667
