Note: Yellow cells need to be rechecked in lab or by referencing old datasheet that had data in rows that were removed from the cumulative fruit dataset because they were non-fitness. Missing data. 07282022. DO NOT INSERT OR DELETE SINGLE CELLS FOR ANY REASON PLEASE!,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg
56,2,AC_178,AC_178,8,,,,,3,14,14,11.93,2,4,4,4.52,1,1,1,1.91,1,0,,
51,2,AC_182,AC_182,9,,,,,9,2,2,2.77,4,8,8,11.2,1,1,1,2.04,,,,
67,2,AC_186,AC_186,8,,,,,4,18,18,28.18,2,7,7,11.48,,,,,,,,
70,2,AC_195,AC_195,2,,,,,2,3,3,3.5,,,,,,,,,,,,
57,2,AC_199,AC_199,4,,,,,10,15,15,14.46,12,59,59,94.51,2,3,3,4.19,,,,
42,2,AC_204,AC_204,1,,,,,10,12,12,25.54,11,17,17,30.44,11,17,,,,,,
42,2,AC_204,AC_204,2,,,,,6,14,14,39.3,7,21,21,44.17,,,,,,,,
42,2,AC_204,AC_204,4,,,,,8,28,28,75.63,7,17,17,41.54,2,4,4,13.2,,,,
72,2,AC_206,AC_206,6,,,,,3,4,4,7.37,,,,,,,,,,,,
44,2,AC_211,AC_211,7,,,,,6,8,8,16.88,5,11,11,13.01,2,5,5,10.03,,,,
43,2,AC_213,AC_213,7,,,,,6,8,8,19.32,2,4,4,9.1,,,,,,,,
66,2,AC_215,AC_215,1,,,,,5,4,4,15.48,2,4,4,13.39,,,,,,,,
103,3,AC_5,AC_005,1,,,,,1,5,5,10.7,3,3,3,3.9,,,,,,,,
76,3,AC_10,AC_010,7,,,,,5,8,8,11.16,2,1,,,,,,,,,,
82,3,AC_16,AC_016,9,,,,,6,7,7,18.27,4,6,6,15.53,,,,,,,,
73,3,AC_17,AC_017,3,,,,,,,,,3,6,6,9.74,,,,,,,,
77,3,AC_32,AC_032,7,,,,,2,4,4,7,1,1,1,2.37,,,,,,,,
89,3,AC_40,AC_040,2,,,,,1,0,,,,,,,,,,,,,,
89,3,AC_40,AC_040,4,,,,,17,44,44,72.54,12,28,28,41.86,8,15,15,22.72,,,,
89,3,AC_40,AC_040,8,,,,,6,12,12,22.37,2,1,1,1.94,1,1,1,2,,,,
107,3,AC_51,AC_051,6,,,,,4,10,10,16.04,,,,,,,,,,,,
98,3,AC_64,AC_064,8,,,,,9,63,63,100.16,8,21,21,37.88,,,,,,,,
81,3,AC_75,AC_075,5,,,,,2,3,3,7.04,,,,,,,,,,,,
90,3,AC_81,AC_081,2,,,,,12,37,37,75.49,7,14,14,18.86,1,1,1,2.66,,,,
90,3,AC_81,AC_081,1,,,,,2,7,7,14.3,,,,,,,,,,,,
90,3,AC_81,AC_081,6,,,,,8,20,20,40.26,4,9,9,13.43,1,1,1,2.34,,,,
94,3,AC_90,AC_090,4,,,,,5,9,9,16.39,2,5,5,8.05,,,,,,,,
75,3,AC_92,AC_092,1,,,,,2,0,,,1,3,3,3.16,,,,,,,,
91,3,AC_95,AC_095,10,,,,,3,8,8,19.71,2,2,2,5.44,,,,,,,,
102,3,AC_99,AC_099,2,,,,,4,16,16,21.72,1,0,,,,,,,,,,
102,3,AC_99,AC_099,8,,,,,1,2,2,3.48,2,3,3,3.02,,,,,,,,
102,3,AC_99,AC_099,9,,,,,4,7,7,7.62,,,,,,,,,,,,
74,3,AC_100,AC_100,5,,,,,1,0,,,3,10,10,12.48,,,,,,,,
105,3,AC_111,AC_111,2,,,,,7,7,7,9.43,,,,,,,,,,,,
105,3,AC_111,AC_111,4,,,,,,,,,,,,,,,,,,,,
105,3,AC_111,AC_111,10,,,,,7,28,28,44.48,,,,,,,,,,,,
80,3,AC_113,AC_113,8,,,,,6,19,19,12.65,4,4,4,3.86,,,,,,,,
100,3,AC_115,AC_115,6,,,,,1,1,1,2.64,1,2,2,6.6,,,,,,,,
99,3,AC_119,AC_119,6,,,,,,,,,4,15,15,22.66,,,,,,,,
92,3,AC_122,AC_122,2,,,,,3,3,3,2.64,1,1,1,1.77,,,,,,,,
95,3,AC_133,AC_133,4,,,,,,,,,,,,,,,,,,,,
86,3,AC_147,AC_147,9,,,,,4,18,18,25.63,4,7,7,11.91,,,,,,,,
93,3,AC_154,AC_154,3,,,,,1,4,4,5.67,,,,,,,,,,,,
96,3,AC_155,AC_155,4,,,,,5,30,30,58.42,4,9,9,16.96,2,2,2,6.77,,,,
104,3,AC_160,AC_160,2,,,,,10,12,12,25.56,1,0,,,,,,,,,,
83,3,AC_179,AC_179,5,,,,,4,21,21,25.83,1,2,2,3.4,,,,,,,,
84,3,AC_187,AC_187,2,,,,,6,15,15,28.35,3,2,2,4.24,,,,,,,,
84,3,AC_187,AC_187,5,,,,,14,77,50,83.35,12,16,16,31.19,,,,,,,,
84,3,AC_187,AC_187,7,,,,,5,9,9,16.14,1,1,1,1.61,,,,,,,,
85,3,AC_188,AC_188,4,,,,,3,7,7,15.58,1,1,1,0.88,,,,,,,,
101,3,AC_192,AC_192,10,,,,,,,,,,,,,,,,,,,,
78,3,AC_197,AC_197,4,,,,,4,5,5,9.25,2,2,2,7.31,,,,,,,,
78,3,AC_197,AC_197,9,,,,,8,27,27,36.69,8,13,13,20.89,3,0,,,,,,
78,3,AC_197,AC_197,10,,,,,5,18,18,35.62,4,4,4,9.9,,,,,,,,
87,3,AC_201,AC_201,8,,,,,4,9,9,14.38,2,0,,,,,,,,,,
79,3,AC_208,AC_208,3,,,,,4,17,17,21.58,1,1,1,1.7,,,,,,,,
79,3,AC_208,AC_208,6,,,,,1,0,,,,,,,,,,,,,,
79,3,AC_208,AC_208,8,,,,,1,1,1,2.29,2,3,3,5.34,2,0,,,,,,
106,3,AC_212,AC_212,8,,,,,5,8,8,8.84,,,,,,,,,,,,
88,3,AC_216,AC_216,1,,,,,2,2,2,3.54,2,1,1,1.16,,,,,,,,
88,3,AC_216,AC_216,5,,,,,6,19,19,43.11,6,11,11,15.82,2,2,2,1.77,,,,
88,3,AC_216,AC_216,10,,,,,1,2,2,4.43,3,8,7,11.04,,,,,,,,
97,3,AC_217,AC_217,5,,,,,4,13,13,20.93,,,,,,,,,,,,
97,3,AC_217,AC_217,10,,,,,7,17,17,28.34,,,,,,,,,,,,
111,4,AC_10,AC_010,7,,,,,1,0,,,,,,,,,,,,,,
135,4,AC_14,AC_014,1,,,,,4,11,11,33.65,1,1,1,4.32,,,,,,,,
114,4,AC_16,AC_016,2,,,,,,,,,4,11,11,19.53,,,,,,,,
109,4,AC_32,AC_032,5,,,,,,,,,3,14,14,23.28,,,,,,,,
125,4,AC_34,AC_034,1,,,,,4,5,,,2,1,,,,,,,,,,
125,4,AC_34,AC_034,4,,,,,,,,,5,5,,,,,,,8,30,,
125,4,AC_34,AC_034,7,,,,,4,6,6,15.46,2,5,5,9.54,,,,,,,,
116,4,AC_40,AC_040,2,,,,,,,,,7,12,,,,,,,,,,
116,4,AC_40,AC_040,7,,,,,,,,,13,30,30,51.16,,,,,,,,
116,4,AC_40,AC_040,8,,,,,,,,,10,14,,,,,,,,,,
126,4,AC_46,AC_046,8,1,0,,,4,11,11,19.5,5,3,3,8.32,,,,,,,,
113,4,AC_55,AC_055,1,,,,,2,3,,,7,11,,,,,,,,,,
113,4,AC_55,AC_055,2,,,,,1,6,6,6.35,15,22,22,47.09,,,,,,,,
113,4,AC_55,AC_055,3,,,,,,,,,11,30,,,3,4,,,,,,
132,4,AC_58,AC_058,4,,,,,5,6,,,13,17,,,7,8,,,,,,
132,4,AC_58,AC_058,7,,,,,15,27,,,13,53,,,7,2,,,,,,
132,4,AC_58,AC_058,8,,,,,8,30,35,71.7,5,11,11,24.28,,,,,,,,
137,4,AC_70,AC_070,4,,,,,3,7,,,,,,,,,,,,,,
137,4,AC_70,AC_070,5,,,,,4,20,20,29.89,5,8,8,13.22,,,,,,,,
137,4,AC_70,AC_070,7,,,,,,,,,1,0,,,,,,,,,,
131,4,AC_72,AC_072,2,,,,,10,15,15,16.86,4,8,8,11.54,,,,,,,,
134,4,AC_83,AC_083,3,,,,,,,,,2,5,5,8.85,,,,,,,,
118,4,AC_88,AC_088,6,,,,,,,,,7,8,8,14.83,,,,,,,,
119,4,AC_92,AC_092,2,,,,,3,1,1,2.85,4,4,4,8,,,,,,,,
133,4,AC_109,AC_109,3,,,,,13,56,,,20,87,,,,,,,,,,
133,4,AC_109,AC_109,6,,,,,14,84,50,85.76,8,26,26,44.57,1,2,2,3.35,,,,
124,4,AC_113,AC_113,8,,,,,,,,,,,,,,,,,,,,
139,4,AC_115,AC_115,8,,,,,4,11,11,24.63,5,7,7,13.17,,,,,,,,
121,4,AC_118,AC_118,4,,,,,7,17,17,15.26,9,37,37,40.04,,,,,,,,
108,4,AC_119,AC_119,1,,,,,2,0,,,6,3,3,4.76,,,,,,,,
122,4,AC_130,AC_130,5,,,,,,,,,,,,,,,,,8,21,21,36.74
117,4,AC_144,AC_144,4,,,,,,,,,,,,,,,,,,,,
123,4,AC_148,AC_148,5,,,,,5,23,23,30.44,6,7,6,9.14,3,3,3,8.89,,,,
128,4,AC_151,AC_151,5,,,,,2,2,2,5.7,2,4,4,7.57,,,,,,,,
140,4,AC_152,AC_152,7,,,,,,,,,,,,,2,3,3,6.59,,,,
136,4,AC_154,AC_154,6,,,,,6,20,20,27.78,7,12,12,18.72,,,,,,,,
141,4,AC_158,AC_158,5,,,,,6,8,8,14.53,1,1,1,2.79,,,,,,,,
138,4,AC_171,AC_171,1,,,,,,,,,,,,,,,,,,,,
143,4,AC_178,AC_178,3,1,0,,,7,16,16,50.66,1,4,4,13.76,,,,,,,,
127,4,AC_179,AC_179,2,,,,,3,7,7,13.71,,,,,,,,,,,,
115,4,AC_182,AC_182,4,,,,,,,,,5,7,7,12.52,,,,,,,,
112,4,AC_185,AC_185,4,,,,,1,2,2,2.8,5,8,8,12.03,2,3,3,5.55,,,,
