Transect,Recipient,Plant_ID,F?,3/11,3/17,3/25,04/01,04/08,4/13,4/21,4/28,05/05,5/12,5/20,5/25,,SLA,flr_P,Recipient,Plant_ID,F?,3/11,3/17,3/25,04/01,04/08,4/13,4/21,4/28,05/05,5/12,5/20,5/25,,SLA,flr_P
2,BO_70,3,,,,,,,,,,,,,,,,,BO_70,7,,,,,,,,,,,,,,,,
2,BO_70,4,,,,,,,,,,,,,,,,,BO_70,8,,,,,,,,,,,,,,,,
2,BO_111,1,,,,,,,,,,,,,,,,,BO_111,5,,,,,,,,,,,,,,,,
2,BO_111,2,,,,,,,,,,,,,,,,,BO_111,6,,,,,,,,,,,,,,,,
2,BO_111,3,F,,,,04/01,04/08,4/13,4/21,,05/05,,5/20,,,,04/01,BO_111,7,,,,,,,,,,,,,,,,
2,BO_111,4,,,,,,,,,,,,,,,,,BO_111,8,,,,,,,,,,,,,,,,
2,BO_132,1,,,,,04/01,04/08,4/13,4/21,4/28,,,,,,,,BO_132,5,,,,,,,,,,,,,,,,
2,BO_132,2,,,,,,,,,,,,,,,,,BO_132,6,,,,,04/01,04/08,4/13,4/21,,,,,,,,
2,BO_132,3,F,,,3/25,04/01,04/08,,,,,5/12,,5/25,,,3/25,BO_132,7,,,,,,04/08,4/13,,,,,,,,,
2,BO_132,4,,,,3/25,04/01,04/08,4/13,,4/28,,,,,,5/12,3/25,BO_132,8,,,,,,,,,,,,,,,,
2,BO_164,1,,,,,,,,,,,,,,,,,BO_164,5,F,,,,,04/08,4/13,4/21,,,,,,,,04/08
2,BO_164,2,,,,,,,,,,,,,,,,,BO_164,6,,,,3/25,04/01,,,,,,,,,,5/12,3/25
2,BO_164,3,,,,,,,,,,,,,,,,,BO_164,7,,,,,,,,,,,,,,,,
2,BO_164,4,,,,,,,,,,,,,,,,,BO_164,8,,,,,,,,,,,,,,,,
2,BO_89,1,,,,,04/01,04/08,4/13,,,,,,,,,04/01,BO_89,5,,,,,,,,,,,,,,,,
2,BO_89,2,,,,,,,,,,,,,,,,,BO_89,6,,,,,,,,,,,,,,,,
2,BO_89,3,F,,,,04/01,04/08,,,,,,,,,,04/01,BO_89,7,,,,,,,,,,,,,,,,
2,BO_89,4,,,,,,,,,,,,,,,,,BO_89,8,,,,,,,,,,,,,,,,
2,BO_154,1,,,,,,,,,,,,,,,,,BO_154,5,,,,,,,,,,,,,,,,
2,BO_154,2,,,,,,,,,,,,,,,,,BO_154,6,,,,,,,,,,,,,,,,
2,BO_154,3,,,,,,,,,,,,,,,,,BO_154,7,,,,,,04/08,4/13,,,05/05,,,,,,4/13
2,BO_154,4,,,,,,04/08,4/13,,4/28,,,5/20,,,5/12,,BO_154,8,F,,,,04/01,04/08,4/13,4/21,4/28,05/05,,,,,,04/01
2,BO_71,1,,,,,,,,,,,,,,,,,BO_71,5,,,,,,,,,,,,,,,,
2,BO_71,2,,,,,,04/08,4/13,4/21,4/28,,,,,,,,BO_71,6,F,,,,,04/08,4/13,,,,,,,,,04/08
2,BO_71,3,,,,,04/01,04/08,4/13,4/21,4/28,,,,,,5/12,04/01,BO_71,7,,,,,,,,,,,,,,,,
2,BO_71,4,,,,,,,,,,,,,,,,,BO_71,8,,,,,,,,,,,,,,,,
2,BO_159,1,,,,,,,,,,,,,,,,,BO_159,5,,,,,,,,,,,,,,,,
2,BO_159,2,,,,,,,,,,,,,,,,,BO_159,6,F,,,,,04/08,4/13,,4/28,05/05,5/12,5/20,,,,04/08
2,BO_159,3,,,,,,,,,,,,,,,,,BO_159,7,,,,,,,,,,,,,,,,
2,BO_159,4,,,,,,,,,,,,,,,,,BO_159,8,,,,,,,,,,,,,,,,
2,BO_199,1,,,,,,,,,,,,,,,,,BO_199,5,,,,,,,,,,,,,,,,
2,BO_199,2,F,,,,04/01,04/08,4/13,4/21,4/28,,G,,,,,04/01,BO_199,6,,,,,,,,,,,,,,,,
2,BO_199,3,,,,,,,,,,,,,,,,,BO_199,7,F,,,,,04/08,,,,,,,,,,04/08
