,,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-05,,,,,Collection Date: 2023-05-17,,,,,Collection Date: 2023-06-02,,,,,Collection Date: 2023-06-15,,,,,Collection Date: 2023-06-28,,,,,Collection Date: NA,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-05,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-17,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-02,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-15,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-28,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
144,5,20L,G1,-,BO_124,2,3.293882759,,,,,,6,29,29,75.08,2.588965517,7,25,25,99.97,3.9988,,,,,,,,,,,,,,,
146,5,22L,G1,-,BO_019,3,8.815,,,,,,,,,,,3,2,2,17.63,8.815,,,,,,,,,,,,,,,
147,5,23L,G1,-,BO_177,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,5,25L,G1,-,BO_031,5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
153,5,29L,G1,-,BO_001,5,1.62,,,,,,1,0,0,,,1,3,3,4.86,1.62,,,,,,,,,,,,,,,
156,5,32R,G2,X,BO_108,5,1.305,,,,,,,,,,,1,2,2,2.61,1.305,,,,,,,,,,,,,,,
158,5,34L,G2,X,BO_125,2,3.635,,,,,,,,,,,1,4,4,14.54,3.635,,,,,,,,,,,,,,,
158,5,34R,G2,X,BO_146,3,2.657083333,,,,,,2,4,4,7.39,1.8475,1,3,3,10.4,3.466666667,,,,,,,,,,,,,,,
169,6,1R,G1,-,BO_185,3,5.213137255,,,,,,,,,,,8,17,17,49.01,2.882941176,2,3,3,22.63,7.543333333,,,,,,,,,,
170,6,2L,G1,-,BO_056,5,2.94,,,,,,,,,,,1,2,2,5.88,2.94,,,,,,,,,,,,,,,
170,6,2R,G2,X,BO_067,1,3.9825,,,,,,,,,,,1,2,2,6.32,3.16,4,6,6,28.83,4.805,,,,,,,,,,
171,6,3L,G1,-,BO_022,1,4.205,,,,,,,,,,,,,,,,3,2,2,8.41,4.205,,,,,,,,,,
171,6,3R,G1,-,BO_089,5,4.913333333,,,,,,,,,,,1,3,3,14.74,4.913333333,,,,,,,,,,,,,,,
172,6,4L,G1,-,BO_158,1,4.81,,,,,,,,,,,1,2,2,7.26,3.63,1,3,3,17.97,5.99,,,,,,,,,,
172,6,4R,G1,-,BO_182,5,1.84,,,,,,,,,,,1,0,0,,,1,1,1,1.84,1.84,,,,,,,,,,
173,6,5L,G1,-,BO_131,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,6,7L,G2,X,BO_191,1,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
176,6,8L,G2,X,BO_072,1,1.876666667,,,,,,,,,,,,,,,,,,,,,2,3,3,5.63,1.876666667,,,,,
176,6,8R,G1,-,BO_121,2,2.553777778,,,,,,7,55,30,30.75,1.025,5,31,30,81.19,2.706333333,5,18,18,70.74,3.93,,,,,,,,,,
177,6,9L,G1,-,BO_166,1,3.010333333,,,,,,1,5,5,7.57,1.514,1,3,3,13.52,4.506666667,,,,,,,,,,,,,,,
177,6,9R,G1,-,BO_087,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,11L,G2,X,BO_015,2,2.096363636,,,,,,,,,,,2,11,11,23.06,2.096363636,,,,,,,,,,,,,,,
179,6,11R,G2,X,BO_001,3,2.41375,,,,,,,,,,,1,8,8,19.31,2.41375,,,,,,,,,,,,,,,
180,6,12L,G1,-,BO_145,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,6,12R,G1,-,BO_158,4,3.79,,,,,,1,1,1,3.79,3.79,,,,,,,,,,,,,,,,,,,,
181,6,13L,G1,-,BO_199,1,6.139444444,,,,,,6,20,20,42.6,2.13,3,6,6,38.57,6.428333333,1,1,1,9.86,9.86,,,,,,,,,,
181,6,13R,G2,X,BO_060,3,,,,,,,1,0,0,,,1,0,0,,,,,,,,,,,,,,,,,
182,6,14R,G2,X,BO_130,4,4.765,,,,,,1,0,0,,,,,,,,1,2,2,9.53,4.765,,,,,,,,,,
184,6,16L,G1,-,BO_027,3,2.315333333,,,,,,4,9,9,12.45,1.383333333,4,15,15,48.71,3.247333333,,,,,,,,,,,,,,,
185,6,17L,G1,-,BO_201,1,5.37375,,,,,,,,,,,3,4,4,24.57,6.1425,2,4,4,18.42,4.605,,,,,,,,,,
186,6,18R,G1,-,BO_048,3,3.262759259,,,,,,4,10,10,21.47,2.147,7,27,27,118.22,4.378518519,,,,,,,,,,,,,,,
187,6,19L,G1,-,BO_069,1,1.753333333,,,,,,3,9,9,15.78,1.753333333,,,,,,,,,,,,,,,,,,,,
187,6,19R,G2,X,BO_048,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,20L,G1,-,BO_117,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,20R,G1,-,BO_071,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,6,21L,G2,X,BO_034,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,6,22L,G2,X,BO_052,5,2.742857143,,,,,,2,0,0,,,3,7,7,19.2,2.742857143,,,,,,,,,,,,,,,
168,6,22R,G2,X,BO_031,3,1.998,,,,,,3,5,5,9.99,1.998,,,,,,,,,,,,,,,,,,,,
190,6,23R,G1,-,BO_140,3,2.023,,,,,,2,10,10,20.23,2.023,,,,,,,,,,,,,,,,,,,,
