Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
48,2,12R,G2,X,AC_193,5,,,,,,,,,,,,,,,,,,,,,,,,
49,2,13L,G2,X,AC_168,1,,,,,,,,,,,,,,,,,,,,,,,,
49,2,13R,G1,-,AC_089,1,,,,,,,,,,,,,,,,,,,,,,,,
50,2,14L,G2,X,AC_190,4,,,,,,,,,,,,,,,,,,,,,,,,
50,2,14R,G2,X,AC_016,5,,,,,,,,,,,,,,,,,,,,,,,,
51,2,15L,G2,X,AC_010,3,,,,,,,,,,,,,,,,,,,,,,,,
51,2,15R,G1,-,AC_054,1,,,,,,,,,,,,,,,,,,,,,,,,
52,2,16R,G2,X,AC_144,2,,,,,,,,,,,,,,,,,,,,,,,,
53,2,17L,G2,X,AC_075,5,,,,,,,,,,,,,,,,,,,,,,,,
53,2,17R,G1,-,AC_120,2,,,,,,,,,,,,,,,,,,,,,,,,
54,2,18L,G2,X,AC_066,2,,,,,,,,,,,,,,,,,,,,,,,,
54,2,18R,G1,-,AC_075,4,,,,,,,,,,,,,,,,,,,,,,,,
55,2,19L,G1,-,AC_056,3,,,,,,,,,,,,,,,,,,,,,,,,
55,2,19R,G2,X,AC_217,4,,,,,,,,,,,,,,,,,,,,,,,,
56,2,20L,G1,-,AC_086,5,,,,,,,,,,,,,,,,,,,,,,,,
56,2,20R,G1,-,AC_072,4,,,,,,,,,,,,,,,,,,,,,,,,
