Transect,Segment,Sequence,position,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,Date_1,N_closed_fruit_D1,N_open_fruit_D1,N_other_fruit_D1,N_total_seeds_D1,N_filled_seeds_D1,Date_2,N_closed_fruit_D2,N_open_fruit_D2,N_other_fruit_D2,N_total_seeds_D2,N_filled_seeds_D2,Date_3,N_closed_fruit_D3,N_open_fruit_D3,N_total_seeds_D3,N_filled_seeds_D3,Date_4,N_closed_fruit_D4,N_open_fruit_D4,N_other_fruit_D3,N_total_seeds_D4,N_filled_seeds_D4,Date_5,N_closed_fruit_D5,N_open_fruit_D5,N_other_fruit_D4,N_total_seeds_D5,N_filled_seeds_D5,notes
2,18,54,R,G1,-,AC_075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,55,L,G1,-,AC_056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,55,R,G2,X,AC_217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,56,L,G1,-,AC_086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,56,R,G1,-,AC_072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,57,L,G1,-,AC_181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,57,R,G2,X,AC_131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,58,L,G1,-,AC_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,58,R,G1,-,AC_109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,59,L,G1,-,AC_055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,59,R,G1,-,AC_154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,60,L,G2,X,AC_128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,60,R,G1,-,AC_185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,61,L,G1,-,AC_154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,61,R,G1,-,AC_122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,62,L,G1,-,AC_133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
