Location,Seg,Gen,GenSym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
24,70R,G2,X,BB_171,2,,,,,,,,,,,,,,,,,,,,,,,,
24,71L,G2,X,BB_109,5,,,,,,,,,,,,,,,,,,,,,,,,
24,71R,G1,-,BB_199,1,,,,,,,,,,,,,,,,,,,,,,,,
24,72L,G1,-,BB_084,2,,,,,,,,,,,,,,,,,,,,,,,,
24,72R,G1,-,BB_214,2,,,,,,,,,,,,,,,,,,,,,,,,
25,73L,G1,-,BB_172,4,,,,,,,,,,,,,,,,,,,,,,,,
25,73R,G2,X,BB_121,2,,,,,,,,,,,,,,,,,,,,,,,,
25,74L,G1,-,BB_002,5,,,,,,,,,,,,,,,,,,,,,,,,
25,74R,G2,X,BB_153,3,,,,,,,,,,,,,,,,,,,,,,,,
25,75L,G1,-,BB_153,3,,,,,,,,,,,,,,,,,,,,,,,,
25,75R,G2,X,BB_098,3,,,,,,,,,,,,,,,,,,,,,,,,
26,76L,G2,X,BB_017,5,,,,,,,,,,,,,,,,,,,,,,,,
26,76R,G1,-,BB_072,5,,,,,,,,,,,,,,,,,,,,,,,,
26,77L,G2,X,BB_189,2,,,,,,,,,,,,,,,,,,,,,,,,
27,79L,G1,-,BB_126,1,,,,,,,,,,,,,,,,,,,,,,,,
27,79R,G1,-,BB_149,5,,,,,,,,,,,,,,,,,,,,,,,,
27,80L,G1,-,BB_163,5,,,,,,,,,,,,,,,,,,,,,,,,
27,80R,G1,-,BB_013,5,,,,,,,,,,,,,,,,,,,,,,,,
27,81L,G1,-,BB_095,4,,,,,,,,,,,,,,,,,,,,,,,,
27,81R,G2,X,BB_020,2,,,,,,,,,,,,,,,,,,,,,,,,
28,82L,G1,-,BB_008,1,,,,,,,,,,,,,,,,,,,,,,,,
28,82R,G2,X,BB_059,4,,,,,,,,,,,,,,,,,,,,,,,,
28,83L,G1,-,BB_080,2,,,,,,,,,,,,,,,,,,,,,,,,
28,83R,G1,-,BB_185,1,,,,,,,,,,,,,,,,,,,,,,,,
28,84L,G1,-,BB_021,3,,,,,,,,,,,,,,,,,,,,,,,,
28,84R,G1,-,BB_152,4,,,,,,,,,,,,,,,,,,,,,,,,
29,85L,G2,X,BB_104,2,,,,,,,,,,,,,,,,,,,,,,,,
29,86L,G1,-,BB_216,5,,,,,,,,,,,,,,,,,,,,,,,,
29,86R,G2,X,BB_190,3,,,,,,,,,,,,,,,,,,,,,,,,
29,87L,G1,-,BB_060,5,,,,,,,,,,,,,,,,,,,,,,,,
29,87R,G1,-,BB_052,1,,,,,,,,,,,,,,,,,,,,,,,,
30,88L,G1,-,BB_127,5,,,,,,,,,,,,,,,,,,,,,,,,
