Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
192,6,25R,G2,X,BO_021,5,,,,,,,,,,,,,,,,,,,,,,,,
193,6,26L,G2,X,BO_190,1,,,,,,,,,,,,,,,,,,,,,,,,
194,6,27L,G1,-,BO_120,4,,,,,,,,,,,,,,,,,,,,,,,,
194,6,27R,G1,-,BO_029,5,,,,,,,,,,,,,,,,,,,,,,,,
196,6,29R,G2,X,BO_086,2,,,,,,,,,,,,,,,,,,,,,,,,
197,6,30L,G1,-,BO_019,5,,,,,,,,,,,,,,,,,,,,,,,,
198,6,31L,G1,-,BO_161,5,,,,,,,,,,,,,,,,,,,,,,,,
198,6,31R,G2,X,BO_099,1,,,,,,,,,,,,,,,,,,,,,,,,
199,7,1L,G2,X,BO_115,5,,,,,,,,,,,,,,,,,,,,,,,,
199,7,1R,G2,X,BO_176,4,,,,,,,,,,,,,,,,,,,,,,,,
200,7,2R,G2,X,BO_089,5,,,,,,,,,,,,,,,,,,,,,,,,
201,7,3L,G1,-,BO_085,5,,,,,,,,,,,,,,,,,,,,,,,,
203,7,5L,G1,-,BO_050,3,,,,,,,,,,,,,,,,,,,,,,,,
203,7,5R,G1,-,BO_116,1,,,,,,,,,,,,,,,,,,,,,,,,
204,7,6L,G1,-,BO_155,5,,,,,,,,,,,,,,,,,,,,,,,,
205,7,7L,G1,-,BO_099,1,,,,,,,,,,,,,,,,,,,,,,,,
206,7,8L,G2,X,BO_034,1,,,,,,,,,,,,,,,,,,,,,,,,
206,7,8R,G1,-,BO_043,2,,,,,,,,,,,,,,,,,,,,,,,,
207,7,9L,G1,-,BO_048,5,,,,,,,,,,,,,,,,,,,,,,,,
208,7,10L,G1,-,BO_012,1,,,,,,,,,,,,,,,,,,,,,,,,
