Site: Blue Oak Ranch 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
9,24,273,,21,G2,BO_061,G1,BO_106,,
9,25,274,Tray 14,1,G1,BO_111,G1,BO_9,,
9,26,275,,2,G1,BO_90,G2,BO_131,,
9,27,276,,3,G2,BO_166,G1,BO_169,,
9,28,277,,4,G1,BO_167,G1,BO_67,,
9,29,278,,5,G2,BO_145,G1,BO_123,,
9,30,279,,6,G2,BO_102,G2,BO_018,37.38713,121.71597
10,1,280,,7,G1,BO_91,G2,BO_079,37.38714,121.71558
10,2,281,,8,G2,BO_184,G2,BO_142,,
10,3,282,,9,G2,BO_184,G2,BO_199,,
10,4,283,,10,G2,BO_137,G1,BO_184,,
10,5,284,,11,G1,BO_122,G1,BO_47,,
10,6,285,,12,G2,BO_032,G1,BO_52,,
10,7,286,,13,G2,BO_115,G1,BO_149,,
10,8,287,,14,G1,BO_142,G1,BO_13,,
10,9,288,,15,G1,BO_19,G2,BO_089,,
10,10,289,,16,G2,BO_127,G2,BO_143,,
10,11,290,,17,G2,BO_055,G1,BO_152,,
10,12,291,,18,G2,BO_180,G1,BO_8,,
10,13,292,,19,G1,BO_169,G1,BO_60,,
10,14,293,,20,G1,BO_95,G1,BO_12,,
10,15,294,,21,G2,BO_154,G2,BO_125,,
10,16,295,Tray 15,1,G1,BO_146,G2,BO_137,,
10,17,296,,2,G1,BO_151,G2,BO_079,,
10,18,297,,3,G1,BO_96,G1,BO_186,,
10,19,298,,4,G1,BO_70,G1,BO_108,,
10,20,299,,5,G2,BO_017,G1,BO_130,,
10,21,300,,6,G1,BO_108,G2,BO_151,,
10,22,301,,7,G2,BO_001,G2,BO_118,,
10,23,302,,8,G1,BO_37,G1,BO_98,,
10,24,303,,9,G2,BO_099,G2,BO_025,,
10,25,304,,10,G1,BO_100,G2,BO_177,,
10,26,305,,11,G1,BO_184,G1,BO_171,,
10,27,306,,12,G2,BO_134,G1,BO_63,,
10,28,307,,13,G1,BO_176,G1,BO_178,,
10,29,308,,14,G1,BO_145,G1,BO_180,,
10,30,309,,15,G2,BO_088,G1,BO_18,,
10,31,310,,16,G1,BO_154,(empty),(empty),37.38715,121.71583
