Site: Bodega Bay 2022-23,,,,,,,,,
Tray,Point,Row,Positions 1-5 (left),,Positions 6-10 (right),,Pt. Latitude,Pt. Longitude,
Tray 9,57,1,G2,BB_103,G2,BB_117,38.31439,-123.06978,-123.06978
,,2,G1,BB_117,G2,BB_076,,,
,,3,G1,BB_118,G1,BB_30,,,
,58,4,G1,BB_211,G1,BB_56,38.31446,-123.06974,-123.06974
,,5,G1,BB_93,G2,BB_145,,,
,,6,G2,BB_045,G1,BB_27,,,
,59,7,G2,BB_166,G1,BB_13,38.31446,-123.06979,-123.06979
,,8,G1,BB_19,G1,BB_98,,,
,,9,G2,BB_089,G1,BB_199,,,
,60,10,G1,BB_72,G1,BB_170,38.31443,-123.06982,-123.06982
,,11,G2,BB_053,G2,BB_019,,,
,,12,G1,BB_71,G1,BB_172,,,
,61,13,G2,BB_150,G1,BB_210,38.31451,-123.06982,-123.06982
,,14,G1,BB_29,G1,BB_218,,,
,,15,G1,BB_133,G1,BB_83,,,
,62,16,G2,BB_052,G1,BB_161,38.31448,-123.06985,-123.06985
,,17,G1,BB_111,G1,BB_58,,,
,,18,G2,BB_017,G1,BB_93,,,
,63,19,G2,BB_123,G1,BB_131,38.31446,-123.06985,-123.06985
,,20,G1,BB_110,G1,BB_208,,,
,,21,G1,BB_34,G1,BB_210,,,
Tray 10,64,1,G1,BB_25,G1,BB_52,38.31446,-123.06989,-123.06989
,,2,G1,BB_95,G1,BB_86,,,
,,3,G1,BB_113,G1,BB_16,,,
,65,4,G1,BB_84,G1,BB_138,38.31443,-123.06989,-123.06989
,,5,G1,BB_77,G2,BB_133,,,
,,6,G2,BB_009,G1,BB_160,,,
,66,7,G1,BB_185,G2,BB_101,38.31441,-123.06989,-123.06989
,,8,G2,BB_093,G1,BB_81,,,
,,9,G1,BB_157,G2,BB_205_A,,,
,67,10,G2,BB_160,G1,BB_193,38.31436,-123.06985,-123.06985
,,11,G1,BB_50,G1,BB_201,,,
,,12,G1,BB_32,G1,BB_150,,,
,68,13,G1,BB_189,G1,BB_7,38.31437,-123.06992,-123.06992
,,14,G1,BB_17,G2,BB_193,,,
,,15,G1,BB_24,G1,BB_40,,,
,69,16,G2,BB_131,G1,BB_81,38.31436,-123.06992,-123.06992
,,17,G1,BB_211,G1,BB_79,,,
,,18,G1,BB_54,G1,BB_120,,,
,70,19,G2,BB_157,G2,BB_190,38.31433,-123.06995,-123.06995
,,20,G1,BB_46,G1,BB_63,,,
,,21,G1,BB_205_B,G1,BB_114,,,
Tray 11,71,1,G1,BB_2,G1,BB_171,38.31431,-123.06992,-123.06992
,,2,G1,BB_98,G2,BB_215,,,
,,3,G1,BB_97,G2,BB_089,,,
,72,4,G1,BB_59,G1,BB_31,38.3143,-123.06992,-123.06992
,,5,G2,BB_139,G1,BB_193,,,
,,6,G1,BB_58,G2,BB_135,,,
,73,7,G1,BB_134,G1,BB_183,38.31429,-123.06987,-123.06987
,,8,G1,BB_85,G2,BB_166,,,
,,9,G2,BB_058,G1,BB_102,,,
,74,10,G2,BB_004,G2,BB_037,38.31428,-123.06982,-123.06982
,,11,G2,BB_146,G2,BB_121,,,
,,12,G1,BB_135,G1,BB_164,,,
,75,13,G2,BB_058,G1,BB_70,38.31424,-123.06983,-123.06983
,,14,G1,BB_51,G1,BB_70,,,
,,15,G1,BB_161,G2,BB_056,,,
