Site: Angelo Coast 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
7,25,239,,8,G1,AC_114,G2,AC_10,,
7,26,240,,9,G2,AC_82,G1,AC_92,,
7,27,241,,10,G2,AC_203,G2,AC_17,,
7,28,242,,11,G1,AC_151,G2,AC_189,,
7,29,243,,12,G2,AC_178,G1,AC_216,,
7,30,244,,13,G2,AC_96,G1,AC_192,,
7,31,245,,14,G2,AC_114,G2,AC_123,,
7,32,246,,15,G2,AC_83,G2,AC_34,,
7,33,247,,16,G2,AC_216,G1,AC_75,,
7,34,248,,17,G1,AC_107,G1,AC_82,,
7,35,249,,18,G1,AC_97,G2,AC_211,,
7,36,250,,19,G2,AC_52,G2,AC_30,,
8,1,251,,20,G2,AC_193,G1,AC_11,,
8,2,252,,21,G2,AC_38,G2,AC_191,,
8,3,253,Tray 13,1,G2,AC_148,G1,AC_38,,
8,4,254,,2,G2,AC_144,G2,AC_89,,
8,5,255,,3,G1,AC_131,G2,AC_218,,
8,6,256,,4,G1,AC_206,G1,AC_186,,
8,7,257,,5,G2,AC_148,G2,AC_57,,
8,8,258,,6,G1,AC_211,G2,AC_17,,
8,9,259,,7,G2,AC_185,G2,AC_172,,
8,10,260,,8,G2,AC_100,G2,AC_142,,
8,11,261,,9,G1,AC_204,G2,AC_212,,
8,12,262,,10,G2,AC_66,G1,AC_72,,
8,13,263,,11,G2,AC_104,G1,AC_82,,
8,14,264,,12,G1,AC_193,G1,AC_74,,
8,15,265,,13,G2,AC_160,G1,AC_160,,
8,16,266,,14,G2,AC_133,G2,AC_5,,
8,17,267,,15,G1,AC_206,G1,AC_110,,
8,18,268,,16,G2,AC_200,G2,AC_123,,
8,19,269,,17,G1,AC_213,G1,AC_62,,
8,20,270,,18,G1,AC_14,G2,AC_58,,
8,21,271,,19,G2,AC_155,G1,AC_115,,
8,22,272,,20,G2,AC_113,G1,AC_189,,
8,23,273,,21,G1,AC_188,G2,AC_52,,
8,24,274,Tray 14,1,G2,AC_218,G2,AC_104,,
8,25,275,,2,G2,AC_208,G2,AC_97,,
