rowN,Location,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
62,14,41L,BB_200,G2,2,BB_200-G2-014-41L-2,62,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
63,14,41R,BB_207,G1,1,BB_207-G1-014-41R-1,63,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
64,14,42L,BB_121,G1,2,BB_121-G1-014-42L-2,64,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
65,15,43L,BB_189,G1,3,BB_189-G1-015-43L-3,65,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
66,15,44L,BB_154,G1,4,BB_154-G1-015-44L-4,66,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
67,15,44R,BB_200,G1,1,BB_200-G1-015-44R-1,67,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
68,15,45L,BB_157,G2,2,BB_157-G2-015-45L-2,68,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
69,15,45R,BB_103,G2,2,BB_103-G2-015-45R-2,69,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
70,16,46L,BB_071,G1,1,BB_071-G1-016-46L-1,70,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
71,16,46R,BB_117,G1,3,BB_117-G1-016-46R-3,71,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
72,16,47R,BB_123,G1,4,BB_123-G1-016-47R-4,72,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
73,16,48L,BB_119,G1,5,BB_119-G1-016-48L-5,73,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
74,16,48R,BB_064,G1,5,BB_064-G1-016-48R-5,74,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
75,17,49L,BB_205A,G1,4,BB_205A-G1-017-49L-4,75,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
76,17,49R,BB_076,G2,2,BB_076-G2-017-49R-2,76,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
77,17,50R,BB_120,G2,1,BB_120-G2-017-50R-1,77,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
78,17,51L,BB_052,G1,1,BB_052-G1-017-51L-1,78,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
79,17,51R,BB_159,G1,2,BB_159-G1-017-51R-2,79,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
80,18,52L,BB_171,G1,3,BB_171-G1-018-52L-3,80,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
81,18,52R,BB_031,G1,1,BB_031-G1-018-52R-1,81,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
82,18,53R,BB_037,G2,3,BB_037-G2-018-53R-3,82,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
83,18,54L,BB_145,G2,4,BB_145-G2-018-54L-4,83,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
84,18,54R,BB_074,G1,2,BB_074-G1-018-54R-2,84,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
85,19,55L,BB_097,G1,3,BB_097-G1-019-55L-3,85,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
86,19,55R,BB_018,G2,4,BB_018-G2-019-55R-4,86,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
87,19,56L,BB_079,G1,3,BB_079-G1-019-56L-3,87,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
88,20,58L,BB_104,G1,3,BB_104-G1-020-58L-3,88,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
89,20,58R,BB_185,G1,4,BB_185-G1-020-58R-4,89,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
90,20,59L,BB_018,G2,1,BB_018-G2-020-59L-1,90,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
91,20,59R,BB_051,G1,3,BB_051-G1-020-59R-3,91,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
92,20,60L,BB_046,G2,2,BB_046-G2-020-60L-2,92,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
93,20,60R,BB_003,G1,2,BB_003-G1-020-60R-2,93,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
94,21,61L,BB_153,G2,5,BB_153-G2-021-61L-5,94,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
95,21,61R,BB_114,G2,1,BB_114-G2-021-61R-1,95,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
96,21,62L,BB_043,G1,5,BB_043-G1-021-62L-5,96,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
97,21,62R,BB_093,G2,4,BB_093-G2-021-62R-4,97,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
98,21,63R,BB_121,G1,1,BB_121-G1-021-63R-1,98,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
99,22,64L,BB_076,G2,2,BB_076-G2-022-64L-2,99,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
100,22,65R,BB_147,G1,3,BB_147-G1-022-65R-3,100,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
101,22,66L,BB_160,G2,2,BB_160-G2-022-66L-2,101,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
102,22,66R,BB_035,G1,5,BB_035-G1-022-66R-5,102,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
103,23,67L,BB_019,G1,4,BB_019-G1-023-67L-4,103,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
104,23,68R,BB_105,G1,3,BB_105-G1-023-68R-3,104,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
105,23,69L,BB_076,G1,2,BB_076-G1-023-69L-2,105,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
106,23,69R,BB_078,G2,1,BB_078-G2-023-69R-1,106,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
107,24,70L,BB_017,G1,4,BB_017-G1-024-70L-4,107,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
108,24,70R,BB_171,G2,2,BB_171-G2-024-70R-2,108,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
109,24,71L,BB_109,G2,5,BB_109-G2-024-71L-5,109,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
110,24,71R,BB_199,G1,1,BB_199-G1-024-71R-1,110,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
111,24,72L,BB_084,G1,2,BB_084-G1-024-72L-2,111,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
112,24,72R,BB_214,G1,2,BB_214-G1-024-72R-2,112,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
113,25,73L,BB_172,G1,4,BB_172-G1-025-73L-4,113,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
114,25,73R,BB_121,G2,2,BB_121-G2-025-73R-2,114,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
115,25,74R,BB_153,G2,3,BB_153-G2-025-74R-3,115,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
116,25,75L,BB_153,G1,3,BB_153-G1-025-75L-3,116,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
117,25,75R,BB_098,G2,3,BB_098-G2-025-75R-3,117,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
118,26,76L,BB_017,G2,5,BB_017-G2-026-76L-5,118,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
119,26,76R,BB_072,G1,5,BB_072-G1-026-76R-5,119,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
120,26,77L,BB_189,G2,2,BB_189-G2-026-77L-2,120,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
121,27,79L,BB_126,G1,1,BB_126-G1-027-79L-1,121,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
122,27,79R,BB_149,G1,5,BB_149-G1-027-79R-5,122,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
123,27,80L,BB_163,G1,5,BB_163-G1-027-80L-5,123,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
124,27,80R,BB_013,G1,5,BB_013-G1-027-80R-5,124,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
125,27,81R,BB_020,G2,2,BB_020-G2-027-81R-2,125,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
126,28,82L,BB_008,G1,1,BB_008-G1-028-82L-1,126,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
127,28,82R,BB_059,G2,4,BB_059-G2-028-82R-4,127,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
128,28,83L,BB_080,G1,2,BB_080-G1-028-83L-2,128,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
129,28,83R,BB_185,G1,1,BB_185-G1-028-83R-1,129,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
130,28,84L,BB_021,G1,3,BB_021-G1-028-84L-3,130,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
131,28,84R,BB_152,G1,4,BB_152-G1-028-84R-4,131,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
132,29,85L,BB_104,G2,2,BB_104-G2-029-85L-2,132,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
133,29,86L,BB_216,G1,5,BB_216-G1-029-86L-5,133,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
134,29,86R,BB_190,G2,3,BB_190-G2-029-86R-3,134,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
