rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
75,1,42L,HR_184,G2,4,HR_184-G2-001-42L-4,75,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
76,1,42R,HR_135,G1,4,HR_135-G1-001-42R-4,76,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
77,1,43L,HR_178,G1,4,HR_178-G1-001-43L-4,77,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
78,1,43R,HR_116,G1,4,HR_116-G1-001-43R-4,78,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
79,1,44L,HR_101,G2,3,HR_101-G2-001-44L-3,79,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
80,1,44R,HR_018,G1,5,HR_018-G1-001-44R-5,80,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
81,1,45L,HR_037,G2,3,HR_037-G2-001-45L-3,81,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
82,1,45R,HR_071,G1,4,HR_071-G1-001-45R-4,82,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
83,2,1L,HR_059,G1,3,HR_059-G1-002-1L-3,83,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
84,2,1R,HR_139,G2,5,HR_139-G2-002-1R-5,84,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
85,2,2L,HR_114,G1,5,HR_114-G1-002-2L-5,85,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
86,2,2R,HR_053,G2,3,HR_053-G2-002-2R-3,86,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
87,2,3L,HR_146,G2,1,HR_146-G2-002-3L-1,87,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
88,2,3R,HR_182,G1,1,HR_182-G1-002-3R-1,88,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
89,2,4L,HR_156,G1,2,HR_156-G1-002-4L-2,89,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
90,2,4R,HR_026,G2,3,HR_026-G2-002-4R-3,90,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
91,2,5L,HR_152,G2,2,HR_152-G2-002-5L-2,91,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
92,2,5R,HR_009,G1,3,HR_009-G1-002-5R-3,92,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
93,2,6L,HR_058,G2,5,HR_058-G2-002-6L-5,93,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
94,2,6R,HR_036,G2,4,HR_036-G2-002-6R-4,94,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
95,2,7L,HR_145,G1,1,HR_145-G1-002-7L-1,95,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
96,2,7R,HR_126,G2,4,HR_126-G2-002-7R-4,96,,Nemo_2023_HR_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
97,2,8L,HR_049,G2,2,HR_049-G2-002-8L-2,97,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
98,2,8R,HR_155,G1,3,HR_155-G1-002-8R-3,98,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
99,2,9L,HR_169,G1,4,HR_169-G1-002-9L-4,99,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
100,2,9R,HR_179,G2,3,HR_179-G2-002-9R-3,100,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
101,2,10R,HR_153,G1,2,HR_153-G1-002-10R-2,101,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
102,2,11L,HR_007,G2,5,HR_007-G2-002-11L-5,102,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
103,2,11R,HR_036,G1,5,HR_036-G1-002-11R-5,103,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
104,2,12L,HR_001,G1,1,HR_001-G1-002-12L-1,104,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
105,2,12R,HR_168,G1,1,HR_168-G1-002-12R-1,105,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
106,2,13L,HR_034,G2,1,HR_034-G2-002-13L-1,106,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
107,2,13R,HR_088,G2,3,HR_088-G2-002-13R-3,107,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
108,2,14R,HR_035,G1,4,HR_035-G1-002-14R-4,108,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
109,2,15L,HR_105,G1,2,HR_105-G1-002-15L-2,109,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
110,2,15R,HR_104,G2,2,HR_104-G2-002-15R-2,110,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
111,2,16L,HR_026,G1,1,HR_026-G1-002-16L-1,111,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
112,2,16R,HR_019,G2,3,HR_019-G2-002-16R-3,112,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
113,2,17L,HR_028,G2,2,HR_028-G2-002-17L-2,113,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
114,2,17R,HR_168,G2,4,HR_168-G2-002-17R-4,114,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
115,2,18L,HR_103,G1,5,HR_103-G1-002-18L-5,115,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
116,2,19L,HR_021,G1,3,HR_021-G1-002-19L-3,116,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
117,2,19R,HR_195,G1,4,HR_195-G1-002-19R-4,117,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
118,2,20R,HR_067,G2,3,HR_067-G2-002-20R-3,118,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
119,2,21L,HR_145,G2,2,HR_145-G2-002-21L-2,119,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
120,2,21R,HR_040,G2,3,HR_040-G2-002-21R-3,120,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
121,2,22L,HR_068,G2,4,HR_068-G2-002-22L-4,121,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
122,2,22R,HR_153,G1,5,HR_153-G1-002-22R-5,122,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
123,2,23L,HR_044,G1,5,HR_044-G1-002-23L-5,123,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
