Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
9,27,R,G1,BO_169,2,y,25.59,c,y
9,30,R,G2,BO_018,4,n,42.44,c,y
10,2,L,G2,BO_184,3,y,,i,y
10,2,R,G2,BO_142,5,y,20.08,c,y
10,3,R,G2,BO_199,3,y,,i,y
10,4,R,G1,BO_184,5,y,25.74,c,y
10,6,L,G2,BO_032,3,missing?,,,
10,7,L,G2,BO_115,4,y,,i,y
10,7,R,G1,BO_149,2,y,4.32,c,y
10,8,L,G1,BO_142,1,y,,i,y
10,8,R,G1,BO_013,4,y,,i,y
10,9,L,G1,BO_019,5,y,,i,y
10,9,R,G2,BO_089,5,y,17.74,c,y
10,10,R,G2,BO_143,1,y,,i,y
10,12,L,G2,BO_180,1,missing?,,,
10,12,R,G1,BO_008,5,y,96.90,c,y
10,13,R,G1,BO_060,1,y,5.99,i,y
10,14,L,G1,BO_095,4,y,13.02,c,y
10,14,R,G1,BO_012,3,y,12.35,i,y
10,15,R,G2,BO_125,5,y,5.00,i,y
10,16,L,G1,BO_146,5,y,36.53,c,y
10,17,R,G2,BO_079,3,missing?,,,
10,18,R,G1,BO_186,4,y,10.76,c,y
10,19,R,G1,BO_108,3,y,15.39,c,y
10,22,L,G2,BO_001,3,y,11.07,i,y
10,23,L,G1,BO_037,5,y,7.98,c,y
10,23,R,G1,BO_098,2,y,4.94,i,y
10,24,R,G2,BO_025,4,y,12.15,c,y
10,25,R,G2,BO_177,2,y,1.45,i,y
10,26,L,G1,BO_184,5,y,3.53,c,y
10,26,R,G1,BO_171,1,y,13.85,c,y
10,28,L,G1,BO_176,1,y,26.18,c,y
10,29,R,G1,BO_180,3,y,2.62,i,y
10,30,L,G2,BO_088,1,y,10.66,c,y
10,30,R,G1,BO_018,4,missing?,,,
