Location,Sequence (1-meter Segment),side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
53,158,L,G2,BB_116,2,y,192.97,c,y
53,158,R,G1,BB_192,2,y,361.42,c,y
53,159,L,G1,BB_104,1,y,38.49,c,y
53,159,R,G1,BB_146,2,y,202.84,c,y
54,160,L,G1,BB_064,5,y,233.03,c,y
54,160,R,G2,BB_114,4,y,229.68,c,y
54,161,L,G2,BB_060,2,y,134.32,c,y
54,161,R,G1,BB_037,3,missing?,,,
54,162,L,G1,BB_101,5,missing?,,,
54,162,R,G1,BB_048,4,y,65.35,c,y
55,163,L,G1,BB_211,5,y,2361.90,c,y
55,163,R,G1,BB_114,2,y,31.78,c,y
55,164,L,G2,BB_143,4,y,55.64,c,y
55,164,R,G1,BB_079,3,y,92.85,c,y
55,165,R,G1,BB_092,2,y,12.62,c,y
56,166,L,G1,BB_074,3,missing?,,,
56,167,L,G2,BB_131,1,y,96.78,i,y
56,167,R,G1,BB_059,3,y,142.65,c,y
56,168,L,G1,BB_109,3,y,205.86,i,y
56,168,R,G1,BB_030,1,y,16.05,c,y
57,169,L,G2,BB_103,1,y,4.62,i,y
57,169,R,G2,BB_117,1,y,274.52,c,y
57,170,L,G1,BB_117,3,missing?,,,
57,170,R,G2,BB_076,5,y,28.66,c,y
57,171,L,G1,BB_118,3,y,8.19,i,y
57,171,R,G1,BB_030,4,y,116.37,c,y
58,172,L,G1,BB_211,4,y,342.94,c,y
58,172,R,G1,BB_056,1,y,403.06,c,y
58,173,L,G1,BB_093,2,y,11.55,i,y
58,173,R,G2,BB_145,4,y,133.86,c,y
58,174,L,G2,BB_045,4,y,21.99,c,y
58,174,R,G1,BB_027,4,y,73.33,i,y
59,175,L,G2,BB_166,4,y,25.20,i,y
59,175,R,G1,BB_013,1,y,54.07,i,y
59,176,L,G1,BB_019,1,y,42.71,c,y
59,177,L,G2,BB_089,2,missing?,,,
59,177,R,G1,BB_199,4,y,,i,y
60,178,L,G1,BB_072,5,y,7.64,i,y
60,178,R,G1,BB_170,4,y,21.78,c,y
60,179,R,G2,BB_019,5,y,16.25,c,y
60,180,R,G1,BB_172,5,y,56.43,i,y
61,181,L,G2,BB_150,2,y,15.59,c,y
61,181,R,G1,BB_210,4,y,30.97,c,y
61,182,R,G1,BB_218,1,y,34.11,c,y
61,183,L,G1,BB_133,2,y,521.53,c,y
62,184,L,G2,BB_052,4,y,34.08,i,y
62,184,R,G1,BB_161,1,y,370.60,i,y
62,185,L,G1,BB_111,1,y,103.32,c,y
62,185,R,G1,BB_058,3,y,45.00,c,y
62,186,L,G2,BB_017,3,y,42.52,c,y
62,186,R,G1,BB_093,3,y,,i,y
63,187,L,G2,BB_123,2,y,133.77,c,y
63,187,R,G1,BB_131,3,y,306.98,c,y
63,188,R,G1,BB_208,2,missing?,,,
