rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
77,6,9L,BO_166,G1,1,BO_166-G1-006-9L-1,77,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
78,6,9R,BO_087,G1,4,BO_087-G1-006-9R-4,78,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
79,6,11R,BO_001,G2,3,BO_001-G2-006-11R-3,79,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
80,6,12L,BO_145,G1,2,BO_145-G1-006-12L-2,80,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
81,6,12R,BO_158,G1,4,BO_158-G1-006-12R-4,81,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
82,6,13L,BO_199,G1,1,BO_199-G1-006-13L-1,82,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
83,6,13R,BO_060,G2,3,BO_060-G2-006-13R-3,83,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
84,6,16L,BO_027,G1,3,BO_027-G1-006-16L-3,84,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
85,6,18R,BO_048,G1,3,BO_048-G1-006-18R-3,85,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
86,6,20L,BO_117,G1,4,BO_117-G1-006-20L-4,86,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
87,6,20R,BO_071,G1,4,BO_071-G1-006-20R-4,87,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
88,6,21L,BO_034,G2,5,BO_034-G2-006-21L-5,88,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
89,6,22L,BO_052,G2,5,BO_052-G2-006-22L-5,89,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
90,6,22R,BO_031,G2,3,BO_031-G2-006-22R-3,90,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
91,6,23R,BO_140,G1,3,BO_140-G1-006-23R-3,91,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
92,6,25L,BO_018,G2,2,BO_018-G2-006-25L-2,92,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
93,6,25R,BO_021,G2,5,BO_021-G2-006-25R-5,93,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
94,6,27L,BO_120,G1,4,BO_120-G1-006-27L-4,94,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
95,6,29R,BO_086,G2,2,BO_086-G2-006-29R-2,95,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
96,6,30L,BO_019,G1,5,BO_019-G1-006-30L-5,96,,Nemo_2023_BO_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
97,6,31L,BO_161,G1,5,BO_161-G1-006-31L-5,97,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
98,6,31R,BO_099,G2,1,BO_099-G2-006-31R-1,98,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
99,7,1L,BO_115,G2,5,BO_115-G2-007-1L-5,99,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
100,7,1R,BO_176,G2,4,BO_176-G2-007-1R-4,100,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
101,7,2R,BO_089,G2,5,BO_089-G2-007-2R-5,101,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
102,7,3L,BO_085,G1,5,BO_085-G1-007-3L-5,102,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
103,7,5L,BO_050,G1,3,BO_050-G1-007-5L-3,103,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
104,7,5R,BO_116,G1,1,BO_116-G1-007-5R-1,104,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
105,7,6L,BO_155,G1,5,BO_155-G1-007-6L-5,105,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
106,7,8L,BO_034,G2,1,BO_034-G2-007-8L-1,106,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
107,7,8R,BO_043,G1,2,BO_043-G1-007-8R-2,107,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
108,7,9L,BO_048,G1,5,BO_048-G1-007-9L-5,108,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
109,7,10L,BO_012,G1,1,BO_012-G1-007-10L-1,109,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
110,7,12L,BO_164,G2,1,BO_164-G2-007-12L-1,110,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
111,7,12R,BO_150,G1,4,BO_150-G1-007-12R-4,111,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
112,7,13L,BO_126,G2,3,BO_126-G2-007-13L-3,112,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
113,7,15L,BO_050,G1,4,BO_050-G1-007-15L-4,113,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
114,7,15R,BO_198,G1,2,BO_198-G1-007-15R-2,114,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
115,7,16L,BO_094,G1,3,BO_094-G1-007-16L-3,115,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
116,7,19R,BO_024,G1,5,BO_024-G1-007-19R-5,116,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
117,7,20L,BO_053,G1,5,BO_053-G1-007-20L-5,117,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
118,7,20R,BO_071,G2,5,BO_071-G2-007-20R-5,118,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
119,7,21L,BO_021,G2,4,BO_021-G2-007-21L-4,119,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
120,7,26R,BO_146,G1,5,BO_146-G1-007-26R-5,120,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
121,8,1R,BO_157,G1,4,BO_157-G1-008-1R-4,121,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
122,8,2R,BO_080,G2,3,BO_080-G2-008-2R-3,122,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
