Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
3,18,L,G2,AC_068,5,missing,,,
3,18,R,G1,AC_064,4,y,25.76,c,y
3,19,L,G1,AC_215,2,y,11.55,c,y
3,19,R,G2,AC_099,5,y,,i,y
3,20,L,G1,AC_016,5,y,,i,y
3,20,R,G1,AC_038,4,y,,i,y
3,21,L,G1,AC_215,2,y,,i,y
3,21,R,G1,AC_199,5,y,,i,n
3,22,L,G2,AC_206,1,missing,,,
3,22,R,G1,AC_190,1,missing,,,
3,23,L,G2,AC_038,4,y,25.83,c,y
3,23,R,G1,AC_199,1,missing,,,
3,24,L,G1,AC_032,5,missing,,,
3,24,R,G1,AC_211,5,y,1.63,c,y
3,25,L,G1,AC_181,5,missing,,,
3,25,R,G1,AC_186,4,y,36.52,c,y
3,26,L,G1,AC_046,4,y,3.5,c,y
3,26,R,G1,AC_016,4,missing,,,
3,27,L,G1,AC_136,3,n,2.31,c,n
3,27,L,G1,AC_136,2,y,22.02,c,y
3,27,R,G2,AC_179,5,y,10.62,c,y
3,28,L,G2,AC_081,2,y,,i,n
3,29,L,G1,AC_191,2,missing,,,
3,29,R,G2,AC_213,2,y,,i,y
3,30,L,G2,AC_144,5,y,9.37,c,y
3,30,R,G2,AC_154,3,y,6.76,c,y
3,31,L,G2,AC_015,2,y,9.13,c,y
3,31,R,G2,AC_171,3,y,23.71,c,y
3,32,L,G1,AC_051,5,y,2.56,c,y
3,32,R,G1,AC_197,4,y,,i,y
3,33,L,G2,AC_058,5,y,21.11,c,y
3,33,R,G1,AC_111,4,missing,,,
3,34,R,G1,AC_190,5,y,11.4,c,y
3,35,L,G2,AC_034,3,y,5.95,c,y
3,35,R,G2,AC_074,4,y,26.1,c,y
4,1,L,G2,AC_111,3,y,7.7,c,y
4,1,R,G2,AC_187,4,y,11.26,c,y
4,2,L,G2,AC_046,3,y,4.73,c,y
4,2,R,G1,AC_096,3,y,54.15,c,y
4,3,L,G2,AC_055,5,y,,i,n
4,3,R,G1,AC_011,2,y,20.15,c,y
4,4,L,G1,AC_104,5,y,8.42,c,y
4,4,R,G2,AC_107,1,y,45.72,c,y
4,5,L,G2,AC_178,4,y,6.72,c,y
4,5,R,G1,AC_201,2,y,30.03,c,y
4,6,L,G1,AC_179,4,y,16.23,c,y
4,6,R,G2,AC_109,1,y,47.39,c,y
4,7,L,G2,AC_014,4,y,11.82,c,y
4,7,R,G1,AC_136,2,y,15.83,c,y
4,8,L,G1,AC_168,2,y,,i,y
4,8,R,G2,AC_057,2,y,20.48,c,y
4,9,L,G1,AC_147,1,y,3.82,c,y
4,9,R,G1,AC_186,2,y,18.24,c,y
4,10,L,G2,AC_083,1,y,11.36,c,y
4,10,R,G2,AC_110,3,y,16.91,c,y
4,11,L,G1,AC_058,3,y,20.44,c,y
4,11,R,G2,AC_204,3,missing,,,
4,12,L,G2,AC_054,5,y,3.92,c,y
4,12,R,G1,AC_128,3,y,19.52,c,y
4,13,L,G1,AC_168,4,y,,i,y
4,13,R,G2,AC_070,4,y,7.18,c,y
4,14,L,G2,AC_072,3,y,7.64,c,y
4,14,R,G2,AC_151,4,y,28.76,c,y
4,15,L,G2,AC_099,3,y,5.07,c,y
4,16,L,G1,AC_048,3,y,3.22,c,y
4,16,R,G1,AC_160,5,missing,,,
4,17,L,G1,AC_068,3,y,8.67,c,y
4,17,R,G2,AC_109,3,y,,i,y
4,18,L,G2,AC_011,4,y,11.88,c,y
4,18,R,G1,AC_088,4,y,24.98,c,y
4,19,L,G2,AC_055,3,y,6.32,c,y
4,19,R,G1,AC_017,3,y,4.24,i,y
4,20,L,G1,AC_203,1,y,12.76,c,y
4,20,R,G2,AC_030,3,y,6.62,c,y
4,21,L,G2,AC_160,2,y,28.86,c,y
4,21,R,G2,AC_195,4,y,7.51,c,y
4,22,L,G1,AC_005,1,y,2.96,c,y
4,22,R,G2,AC_172,4,y,19.11,c,y
4,23,R,G1,AC_120,5,y,21.95,c,y
4,24,L,G1,AC_123,4,y,18.66,c,y
4,25,R,G1,AC_130,3,y,13.95,c,y
4,26,L,G1,AC_100,4,y,2.66,c,y
4,26,R,G2,AC_051,2,y,2.68,c,y
