Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,4,AC_094,AC_109,R,2,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,4,AC_094,AC_109,R,3,FALSE,TRUE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,11,14,0,25,0,59,5.363636363636363,134.0909090909091,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,4,AC_094,AC_109,R,4,TRUE,TRUE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,6,1,0,7,45,18,3,21,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,1,4,AC_094,AC_109,R,5,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,169,168,2022-05-13,22,1,1,NA,NA
1,1,4,AC_094,AC_109,R,6,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,4,AC_094,AC_109,R,7,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,4,AC_094,AC_109,R,8,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,4,AC_094,AC_109,R,9,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,4,AC_094,AC_109,R,10,FALSE,FALSE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,169,168,2022-05-13,22,1,1,NA,NA
1,1,5,AC_150,AC_110,n,1,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,5,AC_150,AC_110,n,2,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,5,AC_150,AC_110,n,3,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,5,AC_150,AC_110,n,4,TRUE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,9,0,19,42,56,5.6,106.39999999999999,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,1,5,AC_150,AC_110,n,5,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,5,AC_150,AC_110,n,6,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,5,AC_150,AC_110,n,7,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,169,168,2022-05-13,22,1,1,NA,NA
1,1,5,AC_150,AC_110,n,8,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,NA,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-13,191,190,2022-05-13,0,1,1,NA,NA
1,1,5,AC_150,AC_110,n,9,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,5,AC_150,AC_110,n,10,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,1,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,2,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,3,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,6,AC_186,AC_048,n,4,TRUE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,21,9,0,30,29,73,3.4761904761904763,104.28571428571429,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,6,AC_186,AC_048,n,5,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,6,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,7,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,6,AC_186,AC_048,n,8,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,9,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,6,AC_186,AC_048,n,10,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,7,AC_015,AC_190,R,1,FALSE,FALSE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,7,AC_015,AC_190,R,2,FALSE,TRUE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,16,0,26,0,66,6.6,171.6,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,3,TRUE,TRUE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,10,0,17,0,35,5,85,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,4,FALSE,TRUE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,10,5,0,15,13,62,6.2,93,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,7,AC_015,AC_190,R,5,FALSE,FALSE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,7,AC_015,AC_190,R,6,FALSE,FALSE,3,"2,3,4",NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,7,AC_015,AC_190,R,7,FALSE,FALSE,3,"2,3,4",NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
1,1,7,AC_015,AC_190,R,8,FALSE,FALSE,3,"2,3,4",NA,2021-11-03,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,7,AC_015,AC_190,R,9,FALSE,FALSE,3,"2,3,4",NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
1,1,7,AC_015,AC_190,R,10,FALSE,FALSE,3,"2,3,4",NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,8,AC_096,AC_074,n,1,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,8,AC_096,AC_074,n,2,FALSE,FALSE,6,6,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-03,0,1,1,NA,NA
1,1,8,AC_096,AC_074,n,3,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
1,1,8,AC_096,AC_074,n,4,FALSE,FALSE,6,6,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,NA,168,2022-05-13,22,0,1,NA,NA
1,1,8,AC_096,AC_074,n,5,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
1,1,8,AC_096,AC_074,n,6,TRUE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,1,0,8,45,18,2.5714285714285716,20.571428571428573,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,1,8,AC_096,AC_074,n,7,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,8,AC_096,AC_074,n,8,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,8,AC_096,AC_074,n,9,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
1,1,8,AC_096,AC_074,n,10,FALSE,FALSE,6,6,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,9,AC_107,AC_130,n,1,FALSE,FALSE,10,10,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,9,AC_107,AC_130,n,2,FALSE,FALSE,10,10,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,9,AC_107,AC_130,n,3,FALSE,FALSE,10,10,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,9,AC_107,AC_130,n,4,FALSE,FALSE,10,10,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,9,AC_107,AC_130,n,5,FALSE,FALSE,10,10,NA,NA,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,NA,180,2022-05-13,10,0,1,NA,NA
1,1,9,AC_107,AC_130,n,6,FALSE,FALSE,10,10,NA,2021-12-05,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,9,AC_107,AC_130,n,7,FALSE,FALSE,10,10,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,169,168,2022-05-13,22,1,1,NA,NA
1,1,9,AC_107,AC_130,n,8,FALSE,FALSE,10,10,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,NA,168,2022-05-13,22,0,1,NA,NA
1,1,9,AC_107,AC_130,n,9,FALSE,FALSE,10,10,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,NA,168,2022-05-13,22,0,1,NA,NA
1,1,9,AC_107,AC_130,n,10,TRUE,FALSE,10,10,NA,NA,2021-11-04,NA,NA,NA,2022-05-13,NA,NA,NA,NA,2022-05-13,2,1,0,3,13,7,3.5,10.5,2022-05-13,NA,190,2022-05-13,0,0,1,1,1
1,1,10,AC_207,AC_070,R,1,FALSE,FALSE,9,"7,8,9",NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
1,1,10,AC_207,AC_070,R,2,FALSE,FALSE,9,"7,8,9",NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-21,137,168,2022-05-13,22,1,1,NA,NA
