Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,15,AC_068,AC_056,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,11,0,0,11,24,20,NA,NA,12,18.97,8,9.58,NA,NA,NA,NA,NA,1.5808333333333333,1.1975,NA,NA,1.3891666666666667,0.2710575994548432,1.8181818181818181,20,26.24,2022-04-09,16.068,NA,one petal not flat,2022-04-09,125,164,156,2022-05-13,34,1,1,1,1
1,1,16,AC_170,AC_203,n,2,TRUE,FALSE,TRUE,2,2,NA,NA,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,16,0,0,16,14,58,NA,NA,15,11.45,21,25.48,22,29.89,NA,NA,NA,0.7633333333333333,1.2133333333333334,1.3586363636363636,NA,1.1117676767676767,0.3103757584238858,3.625,58,NA,2022-04-21,22.301,305.217,NA,2022-04-21,NA,176,168,2022-05-13,22,0,1,1,1
1,1,17,AC_165,AC_062,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-09,1,0,0,1,23,1,NA,NA,1,1.03,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,1.03,NA,1,1,NA,2022-04-09,21.473,264.316,NA,2022-04-09,157,164,156,2022-05-03,24,1,1,1,1
1,1,18,AC_015,AC_097,R,1,TRUE,TRUE,TRUE,1,"1,3,9",NA,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,2022-06-08,NA,NA,2022-04-09,45,7,0,52,0,182,NA,NA,NA,NA,78,119.92,50,67.77,NA,NA,NA,NA,1.5374358974358975,1.3554,NA,1.4464179487179487,0.128718817496302,4.044444444444444,210.3111111111111,271.84,2022-04-09,21.262,258.556,NA,2022-04-09,125,164,156,2022-06-08,60,1,1,1,1
1,1,18,AC_015,AC_097,R,3,FALSE,TRUE,TRUE,1,"1,3,9",NA,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,2022-06-08,NA,NA,2022-04-09,140,13,0,153,0,815,NA,NA,NA,NA,52,57.19,50,81.64,NA,NA,NA,NA,1.0998076923076923,1.6328,NA,1.3663038461538461,0.3768824750894977,5.821428571428571,890.6785714285714,746.15,2022-04-09,18.534,212.036,NA,2022-04-09,157,164,156,2022-06-08,60,1,1,1,1
1,1,18,AC_015,AC_097,R,9,FALSE,TRUE,TRUE,1,"1,3,9",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,6,0,0,6,0,18,NA,NA,NA,NA,14,21.06,4,6.55,NA,NA,NA,NA,1.5042857142857142,1.6375,NA,1.570892857142857,0.09419672477949366,3,18,NA,2022-04-21,19.739,217.91,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,19,AC_068,AC_089,n,10,TRUE,FALSE,TRUE,10,10,NA,NA,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,0,0,7,0,20,NA,NA,9,15.61,11,18.19,NA,NA,NA,NA,NA,1.7344444444444445,1.6536363636363638,NA,NA,1.694040404040404,0.057139941914064345,2.857142857142857,20,32.71,2022-04-21,19.738,212.986,NA,2022-04-21,NA,176,168,2022-05-13,22,0,1,1,1
1,1,20,AC_169,AC_120,n,8,TRUE,FALSE,TRUE,8,8,NA,NA,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,4,4,0,8,13,12,NA,NA,8,7.73,4,5.62,NA,NA,NA,NA,NA,0.96625,1.405,NA,NA,1.185625,0.3102431002455977,3,24,13.33,2022-04-21,21.57,251.321,NA,2022-04-21,NA,176,168,2022-05-13,22,0,1,1,1
1,1,21,AC_179,AC_136,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,3,0,0,3,10,7,NA,NA,NA,NA,7,14.18,NA,NA,NA,NA,NA,NA,2.025714285714286,NA,NA,2.025714285714286,NA,2.3333333333333335,7,12.87,2022-04-21,18.638,230.707,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,22,AC_039,AC_168,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,2,0,0,2,15,5,NA,NA,NA,NA,5,9.9,NA,NA,NA,NA,NA,NA,1.98,NA,NA,1.98,NA,2.5,5,5.57,2022-04-09,16.584,165.989,NA,2022-04-09,125,164,156,2022-05-13,34,1,1,1,1
