Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,24,6,1,1,HR_121,HR_105,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-10,2021-11-19,2022-04-20,2022-05-05,15,135,161,152,18.449,18.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,0,13,1.6346153846153846,NA,4.333333333333333,17.333333333333332,17,1,1,1,1,1
2022,25,5,1,1,HR_062,HR_134,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-04-26,12,129,155,146,21.546,21.546,295.681,295.681,NA,NA,NA,NA,NA,NA,NA,NA,14.88,14.88,-30.87,-30.87,3.03,7,0,7,0,2,1.805,0.3464823227814081,0.2857142857142857,2,2,1,1,1,1,1
2022,28,7,1,1,HR_005,HR_040,G1,R,5,TRUE,TRUE,TRUE,5,"5,3,7",2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,25.65,25.65,NA,NA,NA,NA,NA,NA,16.412,1.2,13.676666666666666,0.073117231294175,20.98,20.98,-30.67,-30.67,3.89,5,1,6,0,2,2.55,NA,0.4,2.4000000000000004,2,1,1,1,1,1
2022,29,5,1,1,HR_149,HR_007,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,22.207,22.207,289.675,289.675,NA,NA,NA,NA,14.302,1,14.302,0.06992029086841002,29.31,29.31,-30.01,-30.01,3.08,7,2,9,0,8,2.29125,NA,1.1428571428571428,10.285714285714285,10,1,1,1,1,1
2022,30,6,1,1,HR_131,HR_113,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-05-11,34,122,148,139,22.96,22.96,292.302,292.302,NA,NA,NA,NA,19.067,1.27,15.013385826771653,0.06660722714637857,94.51,94.51,-30.91,-30.91,1.09,27,0,27,0,6,2.31,1.1596551211459378,0.2222222222222222,6,6,1,1,1,1,1
2022,31,7,1,1,HR_157,HR_095,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-04-26,12,129,155,146,26.319,26.319,397.877,397.877,NA,NA,NA,NA,50.648,3.01,16.826578073089703,0.05942978992260306,30.01,30.01,-31.2,-31.2,3.08,8,0,8,0,6,1.7333333333333332,0.10842303978193728,0.75,6,6,1,1,1,1,1
2022,32,6,1,1,HR_131,HR_049,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-05-11,34,122,148,139,20.661,20.661,248.931,248.931,NA,NA,NA,NA,55.611,3.08,18.05551948051948,0.05538472604340868,37.05,37.05,-30.86,-30.86,2.09,11,0,11,0,4,2.3625,NA,0.36363636363636365,4,4,1,1,1,1,1
2022,33,5,1,1,HR_062,HR_136,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-04-26,12,129,155,146,24.136,24.136,361.178,361.178,NA,NA,NA,NA,57.028,3.01,18.946179401993355,0.05278108999088167,NA,NA,NA,NA,NA,13,0,13,0,3,3.966666666666667,NA,0.23076923076923078,3,3,1,1,1,1,1
2022,34,5,1,1,HR_110,HR_032,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-05-05,28,122,148,139,22.4,22.4,326.296,326.296,NA,NA,NA,NA,77.728,4,19.432,0.0514615067929189,78.14,78.14,-30.25,-30.25,3.72,9,2,11,0,6,2.22375,0.06187184335382284,0.6666666666666666,7.333333333333333,7,1,1,1,1,1
2022,35,7,1,1,HR_057,HR_110,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,24.509,24.509,349.93,349.93,NA,NA,NA,NA,47.171,2.72,17.342279411764704,0.05766254690381803,44.98,44.98,-30.99,-30.99,3.23,7,2,9,0,8,1.77375,NA,1.1428571428571428,10.285714285714285,10,1,1,1,1,1
