Year,Sequence,Cohort,Block,Location,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,19,2,1,7,BB_196,BB_186,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-12,2021-11-29,2021-12-02,2022-03-11,2022-04-28,48,89,102,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7,82.7,-28.67,-28.67,3.19,1,3,4,0,2,7.845,NA,2,8,8,1,1,1,1,1
2022,20,2,1,7,BB_182,BB_201,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-19,2021-11-29,2021-12-02,2022-03-11,2022-05-12,62,82,102,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,21,1,1,7,BB_122,BB_027,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-19,2021-11-29,2021-12-02,2022-03-17,2022-04-28,42,88,108,105,26.106,26.106,380.918,380.918,NA,NA,NA,NA,NA,NA,NA,NA,83.57,83.57,-27.76,-27.76,2.29,1,0,1,0,3,0.9866666666666667,NA,3,3,3,1,1,1,1,1
2022,22,4,1,8,BB_125,BB_137,G1,R,3,TRUE,TRUE,TRUE,3,"6,3,7",2021-12-30,2021-11-29,2021-12-02,2022-03-25,2022-04-08,14,85,116,113,21.936,21.936,262.123,262.123,NA,NA,NA,NA,37.995,6.31,6.021394611727417,0.16607448348466902,NA,NA,-29.6,-29.6,2.35,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,22,4,1,8,BB_125,BB_137,G1,R,6,FALSE,TRUE,TRUE,3,"6,3,7",2021-12-30,2021-11-29,2021-12-02,2022-03-25,2022-04-22,28,85,116,113,26.698,21.936,425.8,262.123,NA,NA,NA,NA,37.995,6.31,6.021394611727417,0.16607448348466902,NA,NA,NA,-29.6,NA,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,22,4,1,8,BB_125,BB_137,G1,R,7,FALSE,TRUE,TRUE,3,"6,3,7",2021-12-30,2021-11-29,2021-12-02,2022-03-25,2022-04-28,34,85,116,113,29.002,21.936,493.568,262.123,87.182,1.49,58.51140939597315,0.017090683856759423,37.995,6.31,6.021394611727417,0.16607448348466902,NA,NA,NA,-29.6,NA,2,2,4,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,23,2,1,8,BB_015,BB_218,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-30,2021-11-29,2021-12-02,2022-03-25,2022-04-08,14,85,116,113,20.434,20.434,259.292,259.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,24,3,1,8,BB_144,BB_207,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-08,14,103,116,113,22.085,22.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,7.22,-29.96,-29.96,0.2,0,1,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,25,5,1,9,BB_108,BB_189,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-12,2021-11-29,2021-12-02,2022-04-01,2022-04-01,0,110,123,120,NA,34.433,NA,728.971,NA,NA,NA,NA,76.777,4.29,17.8967365967366,0.05587610873047917,2.26,2.26,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,26,6,1,9,BB_188,BB_009,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-12,2021-11-29,2021-12-02,2022-04-01,2022-04-28,27,110,123,120,24.492,24.492,385.812,385.812,NA,NA,NA,NA,NA,NA,NA,NA,13.97,13.97,-32.71,-32.71,2.21,0,2,2,0,0,NA,NA,NA,NA,NA,1,1,1,0,0
