Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,25,BO_005,BO_176,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,1,NA,0,0,2022-04-01,116,135,2022-04-13,12,1,1,0,0
1,1,26,BO_149,BO_185,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,2022-04-08,123,142,2022-04-08,0,1,1,0,0
1,1,27,BO_096,BO_178,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,2,0,0,2,4,2,1,2,2022-04-01,116,135,2022-04-28,27,1,1,1,1
1,1,28,BO_194,BO_098,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,2022-03-25,2022-04-01,NA,NA,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,0,2,2,2,2022-03-25,109,128,2022-04-28,34,1,1,1,1
1,1,29,BO_177,BO_139,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,2022-04-08,123,142,2022-04-08,0,1,1,0,0
1,1,30,BO_101,BO_182,R,1,FALSE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,NA,NA,0,NA,NA,0,0,2022-04-01,116,135,2022-04-08,7,1,1,0,0
1,1,30,BO_101,BO_182,R,4,TRUE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,4,0,0,4,0,8,2,8,2022-04-01,116,135,2022-04-28,27,1,1,1,1
1,1,31,BO_168,BO_175,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,0,NA,0,0,2022-04-08,123,142,2022-04-28,20,1,1,0,0
1,1,32,BO_074,BO_118,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,0,0,0,0,7,NA,0,0,2022-04-08,123,142,2022-04-21,13,1,1,0,0
1,1,33,BO_038,BO_149,R,1,FALSE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-05-12,3,0,0,3,1,0,0,0,2022-05-05,150,169,2022-05-20,15,1,1,1,0
1,1,33,BO_038,BO_149,R,4,TRUE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,2,0,0,2,0,0,0,0,2022-04-08,123,142,2022-05-20,42,1,1,1,0
1,1,34,BO_177,BO_121,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,2022-05-05,NA,NA,NA,NA,2022-04-13,0,0,0,0,0,NA,0,0,2022-04-08,123,142,2022-05-05,27,1,1,0,0
1,1,35,BO_013,BO_141,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,2022-04-28,2022-05-05,NA,2022-05-20,NA,NA,2022-04-13,7,0,0,7,10,14,2,14,2022-04-13,128,147,2022-05-20,37,1,1,1,1
1,1,37,BO_192,BO_127,R,8,TRUE,TRUE,TRUE,8,8,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,14,24,0,38,0,46,3.2857142857142856,124.85714285714285,2022-04-08,123,142,2022-05-20,42,1,1,1,1
1,1,38,BO_101,BO_080,R,1,TRUE,TRUE,TRUE,1,"1,2,3",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,4,0,0,4,0,2,0.5,2,2022-04-08,123,142,2022-04-28,20,1,1,1,1
1,1,38,BO_101,BO_080,R,2,FALSE,TRUE,TRUE,1,"1,2,3",NA,2021-12-15,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-13,5,1,0,6,0,2,0.4,2.4000000000000004,2022-04-08,114,142,2022-04-28,20,1,1,1,1
1,1,38,BO_101,BO_080,R,3,FALSE,TRUE,TRUE,1,"1,2,3",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,NA,NA,NA,2022-04-08,11,6,17,17,0,18,1.6363636363636365,27.81818181818182,2022-04-08,123,142,2022-05-12,34,1,1,1,1
1,1,40,BO_038,BO_082,R,1,TRUE,TRUE,TRUE,1,"1,2",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-08,0,NA,NA,0,NA,NA,0,0,2022-04-01,116,135,2022-04-21,20,1,1,0,0
1,1,40,BO_038,BO_082,R,2,FALSE,TRUE,TRUE,1,"1,2",NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,2022-05-12,2022-05-20,NA,NA,2022-04-01,1,8,0,9,0,0,0,0,2022-04-01,116,135,2022-05-20,49,1,1,1,0
1,1,42,BO_058,BO_094,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-15,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,NA,2022-04-21,NA,2022-05-05,NA,2022-05-20,2022-05-25,NA,2022-04-08,5,1,0,6,0,33,6.6,39.599999999999994,2022-04-01,107,135,2022-05-25,54,1,1,1,1
1,1,44,BO_168,BO_155,n,8,TRUE,FALSE,TRUE,8,8,NA,NA,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-13,0,1,0,1,0,0,0,0,2022-04-13,NA,147,2022-04-13,0,0,1,1,0
