Block,Location,Sequence,Donor,Recipient,Plant_ID,Co.,Germ_Date,Sow_Date
1,14,42,BB_011,BB_116,5,3,2021-12-19,2021-12-02
1,14,42,BB_011,BB_116,6,3,2021-12-30,2021-12-02
1,14,42,BB_011,BB_116,7,3,NA,2021-12-02
1,14,42,BB_011,BB_116,8,3,2021-12-19,2021-12-02
1,15,43,BB_066,BB_019,1,2,2021-12-19,2021-12-02
1,15,43,BB_066,BB_019,2,2,2021-12-19,2021-12-02
1,15,43,BB_066,BB_019,3,2,2021-12-12,2021-12-02
1,15,43,BB_066,BB_019,4,2,2021-12-19,2021-12-02
1,15,43,BB_066,BB_019,5,2,2021-12-19,2021-12-02
1,15,43,BB_066,BB_019,6,2,2021-12-30,2021-12-02
1,15,43,BB_066,BB_019,7,2,2021-12-12,2021-12-02
1,15,43,BB_066,BB_019,8,2,2021-12-12,2021-12-02
1,15,44,BB_099,BB_061,1,4,2021-12-19,2021-12-02
1,15,44,BB_099,BB_061,2,4,2021-12-19,2021-12-02
1,15,44,BB_099,BB_061,3,4,2021-12-19,2021-12-02
1,15,44,BB_099,BB_061,4,4,2021-12-19,2021-12-02
1,15,44,BB_099,BB_061,5,4,2021-12-19,2021-12-02
1,15,44,BB_099,BB_061,6,4,2021-12-30,2021-12-02
1,15,44,BB_099,BB_061,7,4,2021-12-19,2021-12-02
1,15,44,BB_099,BB_061,8,4,2021-12-19,2021-12-02
1,16,45,BB_215,BB_210,1,5,NA,2021-12-02
1,16,45,BB_215,BB_210,2,5,2021-12-12,2021-12-02
1,16,45,BB_215,BB_210,3,5,2021-12-12,2021-12-02
1,16,45,BB_215,BB_210,4,5,2021-12-12,2021-12-02
1,16,45,BB_215,BB_210,5,5,2021-12-12,2021-12-02
1,16,45,BB_215,BB_210,6,5,2021-12-12,2021-12-02
1,16,45,BB_215,BB_210,7,5,2021-12-12,2021-12-02
1,16,45,BB_215,BB_210,8,5,2021-12-19,2021-12-02
1,16,46,BB_005,BB_166,1,4,2021-12-30,2021-12-02
1,16,46,BB_005,BB_166,2,4,2021-12-19,2021-12-02
1,16,46,BB_005,BB_166,3,4,2021-12-12,2021-12-02
1,16,46,BB_005,BB_166,4,4,2021-12-30,2021-12-02
1,16,46,BB_005,BB_166,5,4,2021-12-12,2021-12-02
1,16,46,BB_005,BB_166,6,4,2021-12-12,2021-12-02
1,16,46,BB_005,BB_166,7,4,2021-12-12,2021-12-02
1,16,46,BB_005,BB_166,8,4,NA,2021-12-02
1,17,47,BB_005,BB_034,1,4,2021-12-19,2021-12-02
1,17,47,BB_005,BB_034,2,4,NA,2021-12-02
1,17,47,BB_005,BB_034,3,4,2021-12-19,2021-12-02
1,17,47,BB_005,BB_034,4,4,2021-12-12,2021-12-02
1,17,47,BB_005,BB_034,5,4,2021-12-12,2021-12-02
1,17,47,BB_005,BB_034,6,4,2021-12-19,2021-12-02
1,17,47,BB_005,BB_034,7,4,2021-12-19,2021-12-02
1,17,47,BB_005,BB_034,8,4,2021-12-12,2021-12-02
1,17,48,BB_057,BB_146,1,5,2021-12-30,2021-12-02
1,17,48,BB_057,BB_146,2,5,2021-12-19,2021-12-02
1,17,48,BB_057,BB_146,3,5,2021-12-19,2021-12-02
1,17,48,BB_057,BB_146,4,5,2021-12-12,2021-12-02
1,17,48,BB_057,BB_146,5,5,2021-12-12,2021-12-02
1,17,48,BB_057,BB_146,6,5,NA,2021-12-02
1,17,48,BB_057,BB_146,7,5,2021-12-12,2021-12-02
1,17,48,BB_057,BB_146,8,5,2021-12-12,2021-12-02
1,17,49,BB_091,BB_098,1,5,2021-12-30,2021-12-02
1,17,49,BB_091,BB_098,2,5,2021-12-12,2021-12-02
1,17,49,BB_091,BB_098,3,5,2021-12-30,2021-12-02
1,17,49,BB_091,BB_098,4,5,2021-12-12,2021-12-02
1,17,49,BB_091,BB_098,5,5,2021-12-12,2021-12-02
1,17,49,BB_091,BB_098,6,5,2021-12-12,2021-12-02
1,17,49,BB_091,BB_098,7,5,2021-12-19,2021-12-02
1,17,49,BB_091,BB_098,8,5,2021-12-12,2021-12-02
1,18,50,BB_202,BB_101,1,1,2021-12-12,2021-12-02
1,18,50,BB_202,BB_101,2,1,2021-12-19,2021-12-02
1,18,50,BB_202,BB_101,3,1,2021-12-30,2021-12-02
1,18,50,BB_202,BB_101,4,1,2021-12-12,2021-12-02
1,18,50,BB_202,BB_101,5,1,NA,2021-12-02
1,18,50,BB_202,BB_101,6,1,2021-12-12,2021-12-02
1,18,50,BB_202,BB_101,7,1,NA,2021-12-02
1,18,50,BB_202,BB_101,8,1,NA,2021-12-02
1,18,51,BB_066,BB_052,1,2,2021-12-19,2021-12-02
1,18,51,BB_066,BB_052,2,2,NA,2021-12-02
1,18,51,BB_066,BB_052,3,2,2021-12-30,2021-12-02
1,18,51,BB_066,BB_052,4,2,2021-12-30,2021-12-02
1,18,51,BB_066,BB_052,5,2,2021-12-12,2021-12-02
1,18,51,BB_066,BB_052,6,2,2021-12-30,2021-12-02
1,18,51,BB_066,BB_052,7,2,2021-12-12,2021-12-02
1,18,51,BB_066,BB_052,8,2,2021-12-30,2021-12-02
1,19,52,BB_177,BB_134,1,4,2021-12-12,2021-12-02
1,19,52,BB_177,BB_134,2,4,2021-12-30,2021-12-02
1,19,52,BB_177,BB_134,3,4,NA,2021-12-02
1,19,52,BB_177,BB_134,4,4,NA,2021-12-02
1,19,52,BB_177,BB_134,5,4,2021-12-12,2021-12-02
