Donor,Recipient,mean_surv_to_flowering,mean_fruit_prod,mean_est_seed_prod_R,mean_surv_x_est_seed_prod_R,total_seed_count
BO_069,BO_145,0.5,2.5,0.28844859007621937,0.675553499716154,6
BO_069,BO_201,0.5,2.6666666666666665,0,0,0
BO_070,BO_046,0.3125,0,NA,NA,0
BO_070,BO_066,0.375,0.3333333333333333,0,0,0
BO_070,BO_184,0.5416666666666666,1.3333333333333333,0.3855235886738329,0.3989651894422608,5
BO_073,BO_070,0.5625,6.5,1.9305249634776136,2.0570993263877098,8
BO_073,BO_117,0.2916666666666667,1.6666666666666667,NA,NA,0
BO_073,BO_186,0.3125,5.5,3.5324435046914235,0.8228793079563471,2
BO_074,BO_027,0.75,5,2.5690498215937625,3.5907460710822416,16
BO_074,BO_047,0.25,0,NA,NA,0
BO_074,BO_118,0.5,1,NA,NA,0
BO_088,BO_050,0.4583333333333333,2,1.7306915404573162,3.0399907487226927,3
BO_088,BO_140,0.20833333333333334,2.3333333333333335,0.772708331695351,0.19947270037081463,2
BO_088,BO_169,0.5833333333333334,14.333333333333334,2.4199658604313754,2.829707101926579,8
BO_096,BO_012,0.4583333333333333,1.6666666666666667,0.16056561384961016,0.2244216294426401,1
BO_096,BO_134,0.375,11.333333333333334,11.625947135320388,10.8719547747315,11
BO_096,BO_178,0.375,1.6666666666666667,0.17643233695021154,0.3188842297888375,3
BO_101,BO_024,0.375,3,0.14272499008854236,0.16623824403158524,2
BO_101,BO_080,0.4166666666666667,2,0.5778463715742369,0.5618169440693448,8
BO_101,BO_182,0.4583333333333333,5.666666666666667,2.6866250249440258,2.2331562593749252,19
BO_106,BO_104,0.16666666666666666,5,0.45576648308107137,0.22856659182085665,3
BO_106,BO_131,0.4583333333333333,11.666666666666666,2.0097170721117052,2.122957598369235,7
BO_106,BO_191,0.3333333333333333,8,1.6056561384961017,1.1221081472132006,15
BO_109,BO_001,0.6666666666666666,3.3333333333333335,0,0,0
BO_109,BO_028,0.3333333333333333,0.3333333333333333,0,0,0
BO_109,BO_095,0.5416666666666666,2.6666666666666665,1.3487511563367252,1.2567611248787844,7
BO_119,BO_013,0.375,4,0.7024745605920445,0.4909223144057752,5
BO_119,BO_017,0.25,19,3.080297052305106,3.101159399606245,27
BO_119,BO_051,0.375,9.333333333333334,0,0,0
BO_128,BO_044,0.25,1,0.16056561384961016,0.07480720981421336,1
BO_128,BO_060,0.375,1.3333333333333333,0.5768971801524387,0.675553499716154,3
BO_128,BO_105,0.1875,0,NA,NA,0
BO_130,BO_120,0.375,0.5,NA,NA,0
BO_130,BO_161,0.2916666666666667,1.3333333333333333,0,0,0
BO_130,BO_174,0.4166666666666667,2.6666666666666665,0.772708331695351,0.5984181011124439,3
BO_143,BO_004,0.20833333333333334,2.3333333333333335,0.5151388877969006,0.13298180024720976,2
BO_143,BO_152,0.5833333333333334,2.3333333333333335,1.4618115477705265,2.015616721437825,8
BO_143,BO_195,0.375,0.3333333333333333,0,0,0
BO_149,BO_032,0.3125,1.5,0.16056561384961016,0.11221081472132005,2
BO_149,BO_106,0.25,2,0.5297716065615337,0.36478050665213324,3
BO_149,BO_185,0.25,0,NA,NA,0
BO_151,BO_056,0.2916666666666667,6,3.6969752202407498,3.7959657361591166,11
BO_151,BO_148,0.4375,3,NA,NA,0
BO_151,BO_167,0.4166666666666667,1.6666666666666667,0.38547614297465066,0.21232860013809965,3
BO_153,BO_022,0.375,0.5,0,0,0
BO_153,BO_157,0.375,10.5,1.9305249634776136,1.4586663837497924,11
BO_153,BO_177,0.5625,0,NA,NA,0
BO_162,BO_089,0.375,2,0.8911391984810595,0.690845662437042,11
BO_162,BO_108,0.6875,0,NA,NA,0
