Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,30,AC_091,AC_218,R,2,TRUE,TRUE,TRUE,2,"6,2,9",NA,2021-11-03,2021-11-04,2022-04-09,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,2022-04-09,157,156,2022-04-09,0,1,1,0,0
1,1,31,AC_170,AC_185,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,10,2,0,12,4,25,2.5,30,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,1,32,AC_207,AC_055,R,5,TRUE,TRUE,TRUE,5,"7,9,5",NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,14,12,0,26,6,54,3.857142857142857,100.28571428571429,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,1,33,AC_091,AC_189,R,3,TRUE,TRUE,TRUE,3,"3,4,5",NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,2,0,9,0,15,2.142857142857143,19.285714285714285,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,1,34,AC_198,AC_066,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-21,6,0,0,6,16,9,1.5,9,2022-04-21,169,168,2022-05-03,12,1,1,1,1
1,1,35,AC_064,AC_205,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-09,0,1,0,1,25,0,0,0,2022-04-09,125,156,2022-04-21,12,1,1,1,0
1,1,36,AC_096,AC_128,n,10,TRUE,FALSE,TRUE,10,10,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,6,10,0,16,48,27,4.5,72,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,2,37,AC_186,AC_153,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,4,0,0,4,9,7,1.75,7,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,2,38,AC_216,AC_034,R,10,TRUE,TRUE,TRUE,10,"2,9,10",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,0,NA,NA,0,NA,0,0,0,2022-05-03,181,180,2022-05-13,10,1,1,0,0
1,2,39,AC_008,AC_068,n,9,TRUE,FALSE,TRUE,9,9,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,18,0,0,18,0,34,1.8888888888888888,34,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,2,40,AC_150,AC_083,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,4,0,0,4,13,5,1.25,5,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,2,41,AC_124,AC_014,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-13,5,0,0,5,20,8,1.6,8,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,2,42,AC_091,AC_204,R,4,TRUE,TRUE,TRUE,4,"1,2,4",NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,19,0,0,19,0,49,2.5789473684210527,49,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,2,43,AC_161,AC_213,n,7,TRUE,FALSE,TRUE,7,7,NA,NA,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,8,3,0,11,2,12,1.5,16.5,2022-05-03,NA,180,2022-05-13,10,0,1,1,1
1,2,44,AC_177,AC_211,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,12,1,0,13,36,24,2,26,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,2,45,AC_168,AC_142,n,2,TRUE,FALSE,TRUE,2,2,NA,NA,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,4,0,14,15,28,2.8,39.199999999999996,2022-05-03,NA,180,2022-05-13,10,0,1,1,1
1,2,46,AC_125,AC_038,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,5,0,0,5,7,3,0.6,3,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,2,47,AC_179,AC_114,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,9,1,0,10,9,25,2.7777777777777777,27.77777777777778,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,2,48,AC_186,AC_011,n,9,TRUE,FALSE,TRUE,9,9,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,6,0,0,6,21,16,2.6666666666666665,16,2022-05-03,149,180,2022-05-13,10,1,1,1,1
1,2,49,AC_002,AC_104,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,20,1,0,21,21,46,2.3,48.3,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,2,50,AC_159,AC_094,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,14,1,0,15,5,52,3.7142857142857144,55.714285714285715,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,2,51,AC_169,AC_182,n,9,TRUE,FALSE,TRUE,9,9,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,13,2,0,15,8,11,0.8461538461538461,12.692307692307692,2022-04-21,NA,168,2022-05-13,22,0,1,1,1
1,2,52,AC_179,AC_171,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-21,3,1,0,4,15,15,5,20,2022-04-21,137,168,2022-05-03,12,1,1,1,1
1,2,53,AC_061,AC_158,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,39,1,0,40,20,115,2.948717948717949,117.94871794871796,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,2,54,AC_097,AC_054,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,14,0,0,14,35,19,1.3571428571428572,19,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,2,55,AC_107,AC_172,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,0,0,7,26,20,2.857142857142857,20,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,2,56,AC_102,AC_178,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,1,0,8,21,19,2.7142857142857144,21.714285714285715,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,2,57,AC_165,AC_199,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,24,7,0,31,0,77,3.2083333333333335,99.45833333333334,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,2,58,AC_198,AC_072,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,9,1,0,10,11,13,1.4444444444444444,14.444444444444445,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,2,59,AC_159,AC_143,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,11,1,0,12,0,33,3,36,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,2,60,AC_045,AC_123,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-05,2021-11-04,NA,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-21,1,1,0,2,16,5,5,10,2022-04-21,137,168,2022-04-21,0,1,1,1,1
1,2,61,AC_061,AC_052,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,0,0,7,16,6,0.8571428571428571,6,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,2,62,AC_124,AC_030,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-21,4,0,0,4,0,10,2.5,10,2022-04-09,125,156,2022-04-21,12,1,1,1,1
1,2,63,AC_103,AC_144,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-09,5,0,0,5,4,23,4.6,23,2022-04-09,125,156,2022-05-03,24,1,1,1,1
1,2,64,AC_207,AC_082,R,7,TRUE,TRUE,TRUE,7,"7,8,9",NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,NA,NA,NA,NA,NA,2022-05-13,2022-04-21,4,1,0,5,0,10,2.5,12.5,2022-04-09,125,156,2022-04-21,12,1,1,1,1
1,2,65,AC_047,AC_152,n,5,TRUE,FALSE,TRUE,5,5,NA,NA,2021-11-04,2022-04-09,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,0,1,0,1,0,0,0,0,2022-04-09,NA,156,2022-05-13,34,0,1,1,0
1,2,66,AC_071,AC_215,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-09,7,1,0,8,10,8,1.1428571428571428,9.142857142857142,2022-04-09,157,156,2022-04-21,12,1,1,1,1
1,2,67,AC_160,AC_186,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,6,1,0,7,8,25,4.166666666666667,29.166666666666668,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,2,68,AC_170,AC_118,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-09,1,1,0,2,6,0,0,0,2022-04-09,125,156,2022-04-21,12,1,1,1,0
1,2,69,AC_168,AC_159,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,3,0,10,6,10,1.4285714285714286,14.285714285714286,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,2,70,AC_068,AC_195,n,2,TRUE,FALSE,TRUE,2,2,NA,NA,2021-11-04,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,3,3,1.5,3,2022-04-21,NA,168,2022-04-21,0,0,1,1,1
1,2,71,AC_039,AC_148,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,5,1,0,6,0,9,1.8,10.8,2022-04-09,157,156,2022-05-13,34,1,1,1,1
1,2,72,AC_165,AC_206,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-21,3,1,0,4,0,4,1.3333333333333333,5.333333333333333,2022-04-09,125,156,2022-04-21,12,1,1,1,1
1,3,73,AC_064,AC_017,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,3,0,0,3,8,6,2,6,2022-05-03,149,180,2022-05-13,10,1,1,1,1
1,3,74,AC_124,AC_100,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,4,0,0,4,11,10,2.5,10,2022-05-03,149,180,2022-05-13,10,1,1,1,1
1,3,75,AC_008,AC_092,n,1,TRUE,FALSE,TRUE,1,1,NA,NA,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,3,0,0,3,8,3,1,3,2022-05-03,NA,180,2022-05-13,10,0,1,1,1
1,3,76,AC_168,AC_010,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,7,0,0,7,5,9,1.2857142857142858,9,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,3,77,AC_089,AC_032,n,7,TRUE,FALSE,TRUE,7,7,NA,NA,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-13,3,0,0,3,5,5,1.6666666666666667,5,2022-05-03,NA,180,2022-05-13,10,0,1,1,1
1,3,78,AC_015,AC_197,R,10,TRUE,TRUE,TRUE,10,"4,9,10",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,9,2,0,11,0,22,2.4444444444444446,26.888888888888893,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,3,79,AC_172,AC_208,R,6,TRUE,TRUE,TRUE,6,"6,3,8",NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,2022-05-03,149,180,2022-05-03,0,1,1,1,0
1,3,80,AC_047,AC_113,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,10,0,0,10,8,23,2.3,23,2022-05-03,149,180,2022-05-13,10,1,1,1,1
1,3,81,AC_169,AC_075,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,2,0,0,2,2,3,1.5,3,2022-05-03,149,180,2022-05-13,10,1,1,1,1
1,3,82,AC_156,AC_016,n,9,TRUE,FALSE,TRUE,9,9,NA,2021-11-03,2021-11-04,NA,2022-04-22,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-22,10,0,0,10,6,13,1.3,13,2022-04-22,170,169,2022-05-13,21,1,1,1,1
1,3,83,AC_195,AC_179,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-11-04,NA,2022-04-22,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-22,5,0,0,5,7,23,4.6,23,2022-04-22,138,169,2022-05-13,21,1,1,1,1
