Year,Gen,Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_area_mm2,corolla_diam_mm,notes_corolla,leaf_area_mm2,leafarea_notes,leaf_dryweight_mg,leafweight_notes,SLA,LMA,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod,d13C,sample_weight_mg
2022,G1,1,2,3,1,BB_075,BB_085,R,5,FALSE,FALSE,FALSE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-25,103,116,113,2022-04-08,14,1,1,0,0,-28.64,2.26
2022,G1,1,2,3,1,BB_075,BB_085,R,6,FALSE,TRUE,TRUE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22.47,2022-03-25,625.407,32.349,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-17,95,108,105,2022-03-25,8,1,1,1,0,-28.64,2.26
2022,G1,1,2,3,1,BB_075,BB_085,R,7,FALSE,TRUE,TRUE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,2022-04-28,NA,NA,2022-05-19,NA,NA,2022-03-17,1,0,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,18.52,2022-03-17,NA,25.11,herbivory,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-17,95,108,105,2022-05-19,63,1,1,1,1,-28.64,2.26
2022,G1,1,2,3,1,BB_075,BB_085,R,8,FALSE,FALSE,FALSE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-25,103,116,113,2022-04-08,14,1,1,0,0,-28.64,2.26
2022,G1,1,2,4,2,BB_107,BB_179,n,1,FALSE,FALSE,FALSE,3,3,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,636.77,29.537,NA,25.267,brightmax: 146,1.79,NA,14.115642458100558,0.07084339256738038,2022-03-17,95,108,105,2022-04-08,22,1,1,0,0,NA,NA
2022,G1,1,2,4,2,BB_107,BB_179,n,2,FALSE,FALSE,FALSE,3,3,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.267,brightmax: 146,1.79,NA,14.115642458100558,0.07084339256738038,2022-03-17,95,108,105,2022-04-08,22,1,1,0,0,NA,NA
2022,G1,1,2,4,2,BB_107,BB_179,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-25,505.782,29.387,NA,25.267,brightmax: 146,1.79,NA,14.115642458100558,0.07084339256738038,2022-03-17,88,108,105,2022-04-08,22,1,1,0,0,NA,NA
2022,G1,1,2,4,2,BB_107,BB_179,n,4,FALSE,FALSE,FALSE,3,3,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.267,brightmax: 146,1.79,NA,14.115642458100558,0.07084339256738038,2022-04-28,130,150,147,2022-04-28,0,1,1,0,0,NA,NA
2022,G1,1,2,4,2,BB_107,BB_179,n,5,FALSE,FALSE,FALSE,3,3,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.267,brightmax: 146,1.79,NA,14.115642458100558,0.07084339256738038,2022-03-17,95,108,105,2022-04-08,22,1,1,0,0,NA,NA
2022,G1,1,2,4,2,BB_107,BB_179,n,6,FALSE,FALSE,FALSE,3,3,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.267,brightmax: 146,1.79,NA,14.115642458100558,0.07084339256738038,2022-03-25,96,116,113,2022-04-01,7,1,1,0,0,NA,NA
