Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,15,AC_068,AC_056,8,NA,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,9,2021-12-05,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,10,2021-12-05,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,1,NA,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,2,NA,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,3,NA,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,4,NA,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,5,NA,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,6,2021-11-03,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,7,NA,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,8,2021-12-05,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,9,2021-12-05,2021-10-27,2021-11-04
1,1,16,AC_170,AC_203,10,2021-11-03,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,1,NA,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,2,2021-12-05,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,3,2021-12-05,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,4,2021-12-05,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,5,2021-12-05,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,6,2021-11-03,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,7,2021-11-03,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,8,NA,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,9,2021-11-03,2021-10-27,2021-11-04
1,1,17,AC_165,AC_062,10,2021-11-03,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,1,2021-12-05,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,2,2021-12-05,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,3,2021-11-03,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,4,2021-12-05,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,5,2021-11-03,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,6,2021-11-03,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,7,2021-11-03,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,8,2021-12-05,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,9,2021-11-03,2021-10-27,2021-11-04
1,1,18,AC_015,AC_097,10,2021-11-03,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,1,2021-12-05,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,2,2021-12-05,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,3,NA,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,4,2021-12-05,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,5,2021-12-05,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,6,NA,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,7,NA,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,8,NA,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,9,NA,2021-10-27,2021-11-04
1,1,19,AC_068,AC_089,10,NA,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,1,2021-12-05,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,2,2021-12-05,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,3,2021-12-05,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,4,NA,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,5,2021-11-03,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,6,2021-12-05,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,7,NA,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,8,NA,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,9,2021-12-05,2021-10-27,2021-11-04
1,1,20,AC_169,AC_120,10,2021-12-05,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,1,2021-12-05,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,2,2021-12-05,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,3,2021-12-05,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,4,2021-11-03,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,5,2021-11-03,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,6,2021-11-03,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,7,2021-12-05,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,8,2021-12-05,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,9,2021-11-03,2021-10-27,2021-11-04
1,1,21,AC_179,AC_136,10,2021-12-05,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,1,2021-11-03,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,2,2021-11-03,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,3,NA,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,4,2021-11-03,2021-10-27,2021-11-04
