Donor,Recipient,mean_surv_to_flowering,mean_fruit_prod,mean_est_seed_prod_R,mean_surv_x_est_seed_prod_R,total_seed_count
HR_074,HR_070,0.3333333333333333,10.666666666666666,1.4941764985944703,0.6165453759817897,71
HR_074,HR_115,0.7083333333333334,8,0.6496535827190483,0.6431535702072755,34
HR_085,HR_035,0.9583333333333334,8,0.4980566830091394,0.5458139931552833,26
HR_085,HR_107,0.875,14.666666666666666,0.8920095674498817,0.812270147936762,36
HR_085,HR_176,1,14,0.7757187967212819,0.8703205544219588,38
HR_088,HR_014,0.7916666666666666,11,0.9441845741378465,0.9622423945121226,26
HR_088,HR_067,0.9166666666666666,13,0.33733416628527346,0.3675576480728329,24
HR_088,HR_182,0.875,11.666666666666666,0.15501220719052247,0.1550975433900057,8
HR_090,HR_053,0.9583333333333334,11.333333333333334,0.3888205551818398,0.42417148033746715,29
HR_090,HR_103,0.9583333333333334,19,2.1531323498839225,2.357090111322105,86
HR_090,HR_126,0.7916666666666666,18,1.663794496488998,1.1632931722206261,52
HR_095,HR_020,0.875,3,0.4420656153518938,0.4186134806430323,14
HR_095,HR_124,0.75,6,0.4735975552441227,0.48212422303414243,25
HR_095,HR_178,1,17,1.4848966758059259,1.6788688510680974,66
HR_100,HR_135,0.7083333333333334,11.333333333333334,0.18664189101312328,0.16237270115698987,12
HR_100,HR_192,0.8333333333333334,8.333333333333334,0.7357240900121504,0.5059724493972622,38
HR_100,HR_195,0.9166666666666666,9.333333333333334,1.1318808532721394,1.169059551893383,51
HR_108,HR_016,0.7916666666666666,13,0.32771375149267984,0.3614467209289594,18
HR_108,HR_175,0.7916666666666666,16.666666666666668,1.503929425581475,1.365533472192897,88
HR_108,HR_177,0.875,11.333333333333334,1.4594245260117638,1.482933853541747,79
HR_110,HR_032,0.9583333333333334,4.666666666666667,0.36065153733530264,0.39169632872129756,23
HR_110,HR_037,0.875,6.666666666666667,1.0147581417709464,1.153304409620591,44
HR_110,HR_039,0.9583333333333334,20.333333333333332,1.3597022817536135,1.4465140234748124,77
HR_115,HR_026,1,8,0.21942215413340607,0.2442505158111237,11
HR_115,HR_111,0.9166666666666666,8.666666666666666,0.21003082549290655,0.22102278147970728,11
HR_115,HR_131,0.5833333333333334,15,0.6743502067148224,0.3415268487174075,41
HR_121,HR_105,0.7083333333333334,9,0.9573551771283464,0.7371510123150097,59
HR_121,HR_139,0.9583333333333334,17,1.1559117993886052,1.2063742936914381,68
HR_121,HR_141,1,13.333333333333334,3.689343418025398,4.4667697760571645,115
HR_125,HR_034,0.8333333333333334,12.666666666666666,1.09687059475213,1.1434106032916342,48
HR_125,HR_086,0.8333333333333334,3.6666666666666665,0.2628989863562341,0.2864738409191271,14
HR_131,HR_046,0.75,10.333333333333334,0.7888181894396697,0.6109632801964016,35
HR_131,HR_049,0.9583333333333334,11,0.31878549038709747,0.3523389886013145,16
HR_131,HR_113,0.7083333333333334,19.333333333333332,0.8225996491649117,0.7709068503910576,45
HR_133,HR_072,0.875,10.666666666666666,0.7506556426487823,0.8215763281035915,36
HR_133,HR_158,1,14.333333333333334,2.5646270168846717,3.104004912025311,72
HR_133,HR_161,1,11.333333333333334,1.5433051673850033,1.8522892351160363,75
HR_135,HR_004,0.7083333333333334,4,0.3355934445669458,0.2769533407227119,13
HR_135,HR_083,0.9375,10.5,0.5346768146393718,0.5837477377804646,22
HR_135,HR_152,0.9166666666666666,5.666666666666667,0.3307441970188768,0.3210690870798147,11
HR_139,HR_062,0.9166666666666666,10.333333333333334,0.7127179868533501,0.6888671017929019,20
HR_139,HR_127,0.9166666666666666,14,1.8693120086820147,1.8814801670592223,89
HR_139,HR_129,0.7916666666666666,10,0.748801352093751,0.722499707836385,33
HR_141,HR_015,0.9583333333333334,18.333333333333332,1.343667992224512,1.4723370218807987,61
HR_141,HR_044,0.9166666666666666,12.333333333333334,0.8693405459783791,1.003085348793888,47
HR_141,HR_184,0.9583333333333334,5.333333333333333,0.41192703365598704,0.4466198950300676,11
HR_147,HR_021,0.8333333333333334,11.666666666666666,0.6212463888431674,0.5971017621266891,24
HR_147,HR_118,0.9583333333333334,20.666666666666668,0.9596366772550307,1.1159214144053637,41
HR_147,HR_150,1,11.333333333333334,0.5588378503941489,0.643261970900644,15
HR_148,HR_050,0.7083333333333334,26.666666666666668,2.1290075084779083,1.5863885668113884,97
HR_148,HR_109,0.9166666666666666,5.333333333333333,0.28174415508588446,0.28878761975501377,16
HR_148,HR_114,1,10,0.8231945382163488,0.9184860134816334,43
HR_149,HR_007,0.875,6.666666666666667,0.449360671828142,0.45819979871688893,19
HR_149,HR_065,0.9583333333333334,22,1.8244004936090008,2.0323103809162157,93
HR_149,HR_174,0.7916666666666666,11.666666666666666,0.6126531064251988,0.6121831633914571,30
HR_155,HR_009,0.9166666666666666,14.666666666666666,1.3692775002549158,1.4219504863994685,61
HR_155,HR_047,1,9.333333333333334,0.752821338163468,0.8468500536191343,47
HR_155,HR_121,0.625,4.333333333333333,0.3392697518634299,0.23648119854401123,11
HR_156,HR_025,0.375,9,0.7929966611967219,0.3284825465770706,9
