Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,16,45,5,BB_215,BB_210,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,110,120,2022-04-28,27,1,1,0,0
1,16,46,4,BB_005,BB_166,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-03-25,2,0,0,2,3,5,2.5,5,2022-03-25,103,113,2022-05-12,48,1,1,1,1
1,17,47,4,BB_005,BB_034,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-17,1,0,0,1,0,3,3,3,2022-03-17,95,105,2022-04-22,36,1,1,1,1
1,17,48,5,BB_057,BB_146,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,2,0,0,2,1,12,6,12,2022-03-17,95,105,2022-04-01,15,1,1,1,1
1,17,49,5,BB_091,BB_098,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,0,0,0,0,2022-03-25,103,113,2022-04-22,28,1,1,1,0
1,18,50,1,BB_202,BB_101,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,2,0,0,2,5,9,4.5,9,2022-04-01,103,120,2022-04-28,27,1,1,1,1
1,18,51,2,BB_066,BB_052,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-01,1,0,0,1,8,1,1,1,2022-03-25,103,113,2022-04-22,28,1,1,1,1
1,19,52,4,BB_177,BB_134,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,1,0,1,0,0,0,0,2022-03-17,88,105,2022-04-08,22,1,1,1,0
1,19,53,4,BB_177,BB_117,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,2022-04-22,2022-04-28,NA,NA,2022-05-19,2022-05-25,NA,2022-04-08,6,0,0,6,0,8,1.3333333333333333,8,2022-04-08,99,127,2022-05-25,47,1,1,1,1
1,19,54,1,BB_028,BB_209,n,6,TRUE,FALSE,TRUE,6,6,NA,NA,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,1,0,1,2,0,0,0,2022-03-25,NA,113,2022-04-08,14,0,1,1,0
