Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,leaf_area_mm2,leafarea_notes,leaf_dryweight_mg,leafweight_notes,SLA,LMA,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod,d13C,sample_weight_mg
1,1,25,HR_062,HR_134,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,7,0,0,7,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1.56,NA,NA,1,2.05,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,2.05,NA,NA,1.805,0.3464823227814081,0.2857142857142857,2,14.88,2022-04-14,21.546,295.681,NA,NA,NA,NA,NA,NA,NA,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1,-30.87,3.03
1,1,28,HR_005,HR_040,R,5,TRUE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,NA,NA,NA,NA,NA,NA,2,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,NA,NA,NA,NA,NA,2.55,NA,0.4,2.4000000000000004,20.98,2022-04-14,25.65,NA,missing petals,16.412,brightmax: 165,1.2,NA,13.676666666666666,0.073117231294175,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-30.67,3.89
1,1,29,HR_149,HR_007,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-26,7,2,0,9,0,8,NA,NA,NA,NA,NA,NA,8,18.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29125,NA,NA,NA,NA,NA,2.29125,NA,1.1428571428571428,10.285714285714285,29.31,2022-04-07,22.207,289.675,NA,14.302,brightmax: 151,1,NA,14.302,0.06992029086841002,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-30.01,3.08
1,1,30,HR_131,HR_113,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-20,27,0,0,27,0,6,NA,NA,NA,NA,NA,NA,2,6.26,NA,NA,NA,NA,4,5.96,NA,NA,NA,NA,NA,NA,NA,3.13,NA,NA,1.49,NA,NA,2.31,1.1596551211459378,0.2222222222222222,6,94.51,2022-04-07,22.96,292.302,NA,19.067,brightmax: 193,1.27,NA,15.013385826771653,0.06660722714637857,2022-04-07,122,148,139,2022-05-11,34,1,1,1,1,-30.91,1.09
1,1,31,HR_157,HR_095,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,8,0,0,8,0,6,NA,NA,NA,NA,NA,NA,3,5.43,3,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8099999999999998,1.6566666666666665,NA,NA,NA,NA,1.7333333333333332,0.10842303978193728,0.75,6,30.01,2022-04-14,26.319,397.877,NA,50.648,brightmax: 190,3.01,NA,16.826578073089703,0.05942978992260306,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1,-31.2,3.08
1,1,32,HR_131,HR_049,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-07,11,0,0,11,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3625,NA,NA,NA,2.3625,NA,0.36363636363636365,4,37.05,2022-04-07,20.661,248.931,NA,55.611,brightmax: 170,3.08,NA,18.05551948051948,0.05538472604340868,2022-04-07,122,148,139,2022-05-11,34,1,1,1,1,-30.86,2.09
1,1,33,HR_062,HR_136,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,13,0,0,13,0,3,NA,NA,NA,NA,NA,NA,NA,NA,3,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.966666666666667,NA,NA,NA,NA,3.966666666666667,NA,0.23076923076923078,3,NA,2022-04-14,24.136,361.178,NA,57.028,brightmax: 187,3.01,NA,18.946179401993355,0.05278108999088167,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1,NA,NA
1,1,34,HR_110,HR_032,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,9,2,0,11,0,6,NA,NA,NA,NA,NA,NA,NA,NA,4,9.07,2,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2675,2.18,NA,NA,NA,2.22375,0.06187184335382284,0.6666666666666666,7.333333333333333,78.14,2022-04-07,22.4,326.296,NA,77.728,brightmax: 202,4,NA,19.432,0.0514615067929189,2022-04-07,122,148,139,2022-05-05,28,1,1,1,1,-30.25,3.72
1,1,35,HR_057,HR_110,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,2,0,9,0,8,NA,NA,NA,NA,NA,NA,NA,NA,8,14.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77375,NA,NA,NA,NA,1.77375,NA,1.1428571428571428,10.285714285714285,44.98,2022-04-07,24.509,349.93,NA,47.171,brightmax: 185,2.72,NA,17.342279411764704,0.05766254690381803,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-30.99,3.23
1,1,36,HR_059,HR_011,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,11,0,0,11,0,16,NA,NA,NA,NA,NA,NA,NA,NA,16,29.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85375,NA,NA,NA,NA,1.85375,NA,1.4545454545454546,16,49.68,2022-04-07,19.166,212.083,NA,NA,NA,NA,NA,NA,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-31.63,3.41
