Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,15,HR_148,HR_114,3,2021-12-06,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,4,2021-12-06,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,5,2021-12-06,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,6,2021-12-06,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,7,2021-12-06,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,8,2021-12-06,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,1,2021-12-06,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,2,NA,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,3,2021-12-06,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,4,2021-12-06,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,5,NA,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,6,2021-11-19,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,7,2021-12-17,2021-11-10,2021-11-19
1,1,16,HR_069,HR_108,8,2021-12-06,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,1,2021-12-06,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,2,2021-12-06,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,3,2021-11-19,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,4,2021-12-06,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,5,2021-12-06,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,6,NA,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,7,2021-12-17,2021-11-10,2021-11-19
1,1,17,HR_175,HR_196,8,NA,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,1,2021-12-06,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,2,2021-12-06,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,3,2021-12-17,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,4,2021-12-06,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,5,2021-12-17,2021-11-10,2021-11-19
