Sequence,Location,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
16,6,L,G1,BB_013,5,,,,,,,,,,,
16,6,R,G1,BB_179,1,,,,,,,,,,,
16,6,R,G1,BB_179,2,,,,,,,,,,,
16,6,R,G1,BB_179,3,,,,,,,,,,,
16,6,R,G1,BB_179,4,,,,,,,,,,,
16,6,R,G1,BB_179,5,,,,,,,,,,,
17,6,L,G1,BB_166,1,,,,,,,,,,,
17,6,L,G1,BB_166,2,,,,,,,,,,,
17,6,L,G1,BB_166,3,,,,,,,,,,,
17,6,L,G1,BB_166,4,,,,,,,,,,,
17,6,L,G1,BB_166,5,,,,,,,,,,,
17,6,R,G1,BB_210,1,,,,,,,,,,,
17,6,R,G1,BB_210,2,,,,,,,,,,,
17,6,R,G1,BB_210,3,,,,,,,,,,,
17,6,R,G1,BB_210,4,,,,,,,,,,,
17,6,R,G1,BB_210,5,,,,,,,,,,,
18,6,L,G1,BB_076,1,,,,,,,,,,,
18,6,L,G1,BB_076,2,,,,,,,,,,,
18,6,L,G1,BB_076,3,,,,,,,,,,,
18,6,L,G1,BB_076,4,,,,,,,,,,,
18,6,L,G1,BB_076,5,,,,,,,,,,,
18,6,R,G2,BB_205,1,,,,,,,,,,,
18,6,R,G2,BB_205,2,,,,,,,,,,,
18,6,R,G2,BB_205,3,,,,,,,,,,,
18,6,R,G2,BB_205,4,,,,,,,,,,,
18,6,R,G2,BB_205,5,,,,,,,,,,,
19,7,L,G1,BB_025,1,,,,,,,,,,,
19,7,L,G1,BB_025,2,,,,,,,,,,,
19,7,L,G1,BB_025,3,,,,,,,,,,,
19,7,L,G1,BB_025,4,,,,,,,,,,,
19,7,L,G1,BB_025,5,,,,,,,,,,,
19,7,R,G2,BB_120,1,,,,,,,,,,,
19,7,R,G2,BB_120,2,,,,,,,,,,,
19,7,R,G2,BB_120,3,,,,,,,,,,,
19,7,R,G2,BB_120,4,,,,,,,,,,,
19,7,R,G2,BB_120,5,,,,,,,,,,,
20,7,L,G1,BB_086,1,,,,,,,,,,,
20,7,L,G1,BB_086,2,,,,,,,,,,,
20,7,L,G1,BB_086,3,,,,,,,,,,,
20,7,L,G1,BB_086,4,,,,,,,,,,,
20,7,L,G1,BB_086,5,,,,,,,,,,,
20,7,R,G1,BB_092,1,,,,,,,,,,,
20,7,R,G1,BB_092,2,,,,,,,,,,,
20,7,R,G1,BB_092,3,,,,,,,,,,,
20,7,R,G1,BB_092,4,,,,,,,,,,,
20,7,R,G1,BB_092,5,,,,,,,,,,,
21,7,L,G2,BB_133,1,,,,,,,,,,,
21,7,L,G2,BB_133,2,,,,,,,,,,,
21,7,L,G2,BB_133,3,,,,,,,,,,,
21,7,L,G2,BB_133,4,,,,,,,,,,,
21,7,L,G2,BB_133,5,,,,,,,,,,,
21,7,R,G1,BB_154,1,,,,,,,,,,,
21,7,R,G1,BB_154,2,,,,,,,,,,,
21,7,R,G1,BB_154,3,,,,,,,,,,,
21,7,R,G1,BB_154,4,,,,,,,,,,,
21,7,R,G1,BB_154,5,,,,,,,,,,,
22,8,L,G2,BB_105,1,,,,,,,,,,,
22,8,L,G2,BB_105,2,,,,,,,,,,,
22,8,L,G2,BB_105,3,,,,,,,,,,,
22,8,L,G2,BB_105,4,,,,,,,,,,,
22,8,L,G2,BB_105,5,,,,,,,,,,,
22,8,R,G1,BB_152,1,,,,,,,,,,,
22,8,R,G1,BB_152,2,,,,,,,,,,,
22,8,R,G1,BB_152,3,,,,,,,,,,,
22,8,R,G1,BB_152,4,,,,,,,,,,,
22,8,R,G1,BB_152,5,,,,,,,,,,,
23,8,L,G1,BB_020,1,,,,,,,,,,,
23,8,L,G1,BB_020,2,,,,,,,,,,,
23,8,L,G1,BB_020,3,,,,,,,,,,,
23,8,L,G1,BB_020,4,,,,,,,,,,,
23,8,L,G1,BB_020,5,,,,,,,,,,,
23,8,R,G2,BB_116,1,,,,,,,,,,,
23,8,R,G2,BB_116,2,,,,,,,,,,,
23,8,R,G2,BB_116,3,,,,,,,,,,,
23,8,R,G2,BB_116,4,,,,,,,,,,,
23,8,R,G2,BB_116,5,,,,,,,,,,,
24,8,L,G2,BB_019,1,,,,,,,,,,,
24,8,L,G2,BB_019,2,,,,,,,,,,,
24,8,L,G2,BB_019,3,,,,,,,,,,,
24,8,L,G2,BB_019,4,,,,,,,,,,,
24,8,L,G2,BB_019,5,,,,,,,,,,,
24,8,R,G1,BB_195,1,,,,,,,,,,,
24,8,R,G1,BB_195,2,,,,,,,,,,,
24,8,R,G1,BB_195,3,,,,,,,,,,,
24,8,R,G1,BB_195,4,,,,,,,,,,,
24,8,R,G1,BB_195,5,,,,,,,,,,,
25,9,L,G1,BB_190,1,,,,,,,,,,,
25,9,L,G1,BB_190,2,,,,,,,,,,,
25,9,L,G1,BB_190,3,,,,,,,,,,,
25,9,L,G1,BB_190,4,,,,,,,,,,,
25,9,L,G1,BB_190,5,,,,,,,,,,,
25,9,R,G1,BB_029,1,,,,,,,,,,,
25,9,R,G1,BB_029,2,,,,,,,,,,,
25,9,R,G1,BB_029,3,,,,,,,,,,,
25,9,R,G1,BB_029,4,,,,,,,,,,,
25,9,R,G1,BB_029,5,,,,,,,,,,,
26,9,L,G1,BB_010,1,,,,,,,,,,,
26,9,L,G1,BB_010,2,,,,,,,,,,,
26,9,L,G1,BB_010,3,,,,,,,,,,,
26,9,L,G1,BB_010,4,,,,,,,,,,,
26,9,L,G1,BB_010,5,,,,,,,,,,,
26,9,R,G1,BB_181,1,,,,,,,,,,,
26,9,R,G1,BB_181,2,,,,,,,,,,,
26,9,R,G1,BB_181,3,,,,,,,,,,,
26,9,R,G1,BB_181,4,,,,,,,,,,,
26,9,R,G1,BB_181,5,,,,,,,,,,,
27,9,L,G2,BB_132,1,,,,,,,,,,,
27,9,L,G2,BB_132,2,,,,,,,,,,,
27,9,L,G2,BB_132,3,,,,,,,,,,,
27,9,L,G2,BB_132,4,,,,,,,,,,,
27,9,L,G2,BB_132,5,,,,,,,,,,,
27,9,R,G1,BB_020,1,,,,,,,,,,,
27,9,R,G1,BB_020,2,,,,,,,,,,,
27,9,R,G1,BB_020,3,,,,,,,,,,,
27,9,R,G1,BB_020,4,,,,,,,,,,,
27,9,R,G1,BB_020,5,,,,,,,,,,,
28,10,L,G2,BB_149,1,,,,,,,,,,,
28,10,L,G2,BB_149,2,,,,,,,,,,,
28,10,L,G2,BB_149,3,,,,,,,,,,,
28,10,L,G2,BB_149,4,,,,,,,,,,,
28,10,L,G2,BB_149,5,,,,,,,,,,,
28,10,R,G2,BB_029,1,,,,,,,,,,,
28,10,R,G2,BB_029,2,,,,,,,,,,,
28,10,R,G2,BB_029,3,,,,,,,,,,,
28,10,R,G2,BB_029,4,,,,,,,,,,,
28,10,R,G2,BB_029,5,,,,,,,,,,,
29,10,L,G1,BB_029,1,,,,,,,,,,,
29,10,L,G1,BB_029,2,,,,,,,,,,,
