Sequence,Transect,Segment,side,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
21,1,21,R,G2,AC_011,2,,,,5/12/2023,,,,,,,,,,,
21,1,21,R,G2,AC_011,3,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
21,1,21,R,G2,AC_011,4,4,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
21,1,21,R,G2,AC_011,5,,,,,,,,,,,,,,,
22,1,22,L,G1,AC_133,1,1,,4/28/2023,,,,,,,,,,,,"No plant, no skel 6/21"
22,1,22,L,G1,AC_133,2,,,,,,,,,,,,,,,
22,1,22,L,G1,AC_133,3,,,,,,,,,,,,,,,
22,1,22,L,G1,AC_133,4,,,,,,,,,,,,,,,
22,1,22,L,G1,AC_133,5,,,,,,,,,,,,,,,
22,1,22,R,G2,AC_062,1,1,,4/28/2023,5/12/2023,,,,,,,,,,6/22/2023,
22,1,22,R,G2,AC_062,2,,,,,,,,,,,,,,,
22,1,22,R,G2,AC_062,3,,,,,,,,,,,,,,,
22,1,22,R,G2,AC_062,4,,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,,
22,1,22,R,G2,AC_062,5,,,,,,,,,,,,,,,
23,1,23,L,G2,AC_130,1,,,,,,,,,,,,,,,
23,1,23,L,G2,AC_130,2,,,,,,,,,,,,,,,
23,1,23,L,G2,AC_130,3,,,,,,,,,,,,,,,
23,1,23,L,G2,AC_130,4,,,,,,,,,,,,,,,
23,1,23,L,G2,AC_130,5,5,,4/28/2023,5/12/2023,5/26/2023,6/7/2023,,,,4/28/2023,,1,2,,
23,1,23,R,G2,AC_005,1,,,,,,,,,,,,,,,
23,1,23,R,G2,AC_005,2,,,,,,,,,,,,,,,
23,1,23,R,G2,AC_005,3,3,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,1,,6/22/2023,
23,1,23,R,G2,AC_005,4,,,,,,,,,,,,,,,
23,1,23,R,G2,AC_005,5,,,,,,,,,,,,,,,
24,1,24,L,G1,AC_218,1,,,,,,,,,,,,,,,
24,1,24,L,G1,AC_218,2,,,,,,,,,,,,,,,
24,1,24,L,G1,AC_218,3,3,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,1,,6/22/2023,
24,1,24,L,G1,AC_218,4,,,,,,,,,,,,,,,
24,1,24,L,G1,AC_218,5,,,,,,,,,,,,,,,
24,1,24,R,G1,AC_178,1,,,,,,,,,,,,,,,
24,1,24,R,G1,AC_178,2,,,,,,,,,,,,,,,
24,1,24,R,G1,AC_178,3,,,,,,,,,,,,,,,
24,1,24,R,G1,AC_178,4,,,,,,,,,,,,,,,
24,1,24,R,G1,AC_178,5,5,,4/28/2023,5/12/2023,5/26/2023,,,,,,,1,,6/22/2023,
25,1,25,L,G1,AC_107,1,,,,,,,,,,,,,,,
25,1,25,L,G1,AC_107,2,,,,,,,,,,,,,,,
25,1,25,L,G1,AC_107,3,,,,,,,,,,,,,,,
25,1,25,L,G1,AC_107,4,,,,,,,,,,,,,,,
25,1,25,L,G1,AC_107,5,5,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,,,6/22/2023,
25,1,25,R,G1,AC_154,1,,,,,,,,,,,,,,,
25,1,25,R,G1,AC_154,2,,,,,,,,,,,,,,,
25,1,25,R,G1,AC_154,3,3,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/22/2023,
25,1,25,R,G1,AC_154,4,,,,,,,,,,,,,,,
25,1,25,R,G1,AC_154,5,,,,,,,,,,,,,,,
26,1,26,L,G1,AC_086,1,,,,,,,,,,,,,,,
26,1,26,L,G1,AC_086,2,2,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,,,,"No plant, no skell 6/21"
26,1,26,L,G1,AC_086,3,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
26,1,26,L,G1,AC_086,4,,,,,,,,,,,,,,,
26,1,26,L,G1,AC_086,5,,,,,,,,,,,,,,,
26,1,26,R,G2,AC_118,1,,,,,,,,,,,,,,,
26,1,26,R,G2,AC_118,2,,,,,,,,,,,,,,,
26,1,26,R,G2,AC_118,3,,,,,,,,,,,,,,,
26,1,26,R,G2,AC_118,4,,,,,,,,,,,,,,,
26,1,26,R,G2,AC_118,5,5,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
27,1,27,L,G2,AC_015,1,,,,,,,,,,,,,,,
27,1,27,L,G2,AC_015,2,2,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,,,6/22/2023,
27,1,27,L,G2,AC_015,3,,,,,5/26/2023,,,,5/12/2023,,,,,,
27,1,27,L,G2,AC_015,4,,,,,,,,,,,,,,,
27,1,27,L,G2,AC_015,5,,,,,,,,,,,,,,,
27,1,27,R,G2,AC_201,1,1,,4/28/2023,,,,,,,4/28/2023,,,,6/22/2023,fitness chosen remotely
27,1,27,R,G2,AC_201,2,,,,,,,,,,,,,,,
27,1,27,R,G2,AC_201,3,,,,,,,,,,,,,,,
27,1,27,R,G2,AC_201,4,,,,,,,,,,,,,,,
27,1,27,R,G2,AC_201,5,,,,,,,,,,,,,,,
28,1,28,L,G1,AC_189,1,,,,,,,,,,,,,,,
28,1,28,L,G1,AC_189,2,2,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
28,1,28,L,G1,AC_189,3,,,,,,,,,,,,,,,
28,1,28,L,G1,AC_189,4,,,,,,,,,,,,,,,
28,1,28,L,G1,AC_189,5,,,4/28/2023,,,,,,,,,,,,
28,1,28,R,G2,AC_089,1,,,,,,,,,,,,,,,
28,1,28,R,G2,AC_089,2,,,,,,,,,,,,,,,
28,1,28,R,G2,AC_089,3,,,,,,,,,,,,,,,
28,1,28,R,G2,AC_089,4,,,,,,,,,,,,,,,
28,1,28,R,G2,AC_089,5,,,,,,,,,,,,,,,
29,1,29,L,G1,AC_123,1,,,4/28/2023,5/12/2023,5/26/2023,,,,,,,,,,
29,1,29,L,G1,AC_123,2,,,,,,,,,,,,,,,
29,1,29,L,G1,AC_123,3,,,,,,,,,5/12/2023,,,,,,
29,1,29,L,G1,AC_123,4,,,,,,,,,,,,,,,
29,1,29,L,G1,AC_123,5,5,,4/28/2023,,5/26/2023,,,,,4/28/2023,,1,,6/8/2023,
29,1,29,R,G1,AC_208,1,,,,,,,,,,,,,,,
29,1,29,R,G1,AC_208,2,,,4/28/2023,,,,,,,,,,,,
29,1,29,R,G1,AC_208,3,,,4/28/2023,5/12/2023,,,,,5/12/2023,4/28/2023,,,,,
29,1,29,R,G1,AC_208,4,4,,,,,,,,,,,,,6/8/2023,
29,1,29,R,G1,AC_208,5,,,,,,,,,,,,,,,
30,1,30,L,G1,AC_119,1,,,,,,,,,,,,,,,
30,1,30,L,G1,AC_119,2,,,,,,,,,,,,,,,
30,1,30,L,G1,AC_119,3,,,,,,,,,,,,,,,
30,1,30,L,G1,AC_119,4,,,,,,,,,,,,,,,
30,1,30,L,G1,AC_119,5,5,,,,5/26/2023,,,,,5/26/2023,,1,,,"No plant, no skel 6/21"
30,1,30,R,G2,AC_056,1,,,,,,,,,,,,,,,
30,1,30,R,G2,AC_056,2,,,,,,,,,,,,,,,
30,1,30,R,G2,AC_056,3,,,,,,,,,,,,,,,
30,1,30,R,G2,AC_056,4,,,,,,,,,,,,,,,
30,1,30,R,G2,AC_056,5,,,,,,,,,,,,,,,
31,1,31,L,G2,AC_040,1,,,,,,,,,,,,,,,
31,1,31,L,G2,AC_040,2,,,,,,,,,,,,,,,
31,1,31,L,G2,AC_040,3,,,,,,,,,,,,,,,
31,1,31,L,G2,AC_040,4,,,,,,,,,,,,,,,
31,1,31,L,G2,AC_040,5,5,,4/28/2023,,,,,,,,,,,,"No plant, no skel 6/21"
31,1,31,R,G1,AC_148,1,,,,,,,,,,,,,,,
31,1,31,R,G1,AC_148,2,,,,,,,,,,,,,,,
31,1,31,R,G1,AC_148,3,,,,,,,,,,,,,,,
31,1,31,R,G1,AC_148,4,,,,,,,,,,,,,,,
31,1,31,R,G1,AC_148,5,,,,,,,,,,,,,,,
32,1,32,L,G1,AC_052,1,,,,,,,,,,,,,,,
32,1,32,L,G1,AC_052,2,,,,,,,,,,,,,,,
32,1,32,L,G1,AC_052,3,,,,,,,,,,,,,,,
32,1,32,L,G1,AC_052,4,,,,,,,,,,,,,,,
32,1,32,L,G1,AC_052,5,,,,,,,,,,,,,,,
32,1,32,R,G2,AC_113,1,,,,,,,,,,,,,,,
32,1,32,R,G2,AC_113,2,,,,,,,,,,,,,,,
32,1,32,R,G2,AC_113,3,,,,,,,,,,,,,,,
32,1,32,R,G2,AC_113,4,4,,4/28/2023,,,,,,,,,,,6/8/2023,never marked as flowering but closed fruits on 5 26. UPDATE - added flowering date for 4/28 based on other plants' flowering and fruit collection
32,1,32,R,G2,AC_113,5,,,,,,,,,,,,,,,
33,1,33,L,G2,AC_083,1,,,,,,,,,,,,,,,
33,1,33,L,G2,AC_083,2,,,,,,,,,,,,,,,
33,1,33,L,G2,AC_083,3,,,,,,,,,,,,,,,
33,1,33,L,G2,AC_083,4,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
33,1,33,L,G2,AC_083,5,5,4/14/2023,4/28/2023,5/12/2023,,,,,,4/14/2023,,,,6/8/2023,
33,1,33,R,G1,AC_148,1,,,,,,,,,,,,,,,
33,1,33,R,G1,AC_148,2,,,4/28/2023,,,,,,,,,,,,
33,1,33,R,G1,AC_148,3,3,,4/28/2023,5/12/2023,,,,,,,,,,6/8/2023,
33,1,33,R,G1,AC_148,4,,,,,,,,,,,,,,,
33,1,33,R,G1,AC_148,5,,,,,,,,,,,,,,,
34,1,34,L,G1,AC_152,1,,,,,,,,,,,,,,,
34,1,34,L,G1,AC_152,2,,,,,,,,,,,,,,,
34,1,34,L,G1,AC_152,3,,,,,,,,,,,,,,,
