Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_area_mm2,corolla_diam_mm,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,5,12,3,BB_115,BB_020,R,5,TRUE,TRUE,TRUE,5,"1,5,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,2,1,0,3,0,7,NA,NA,NA,NA,NA,NA,NA,NA,7,19.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.718571428571429,NA,NA,NA,NA,2.718571428571429,NA,3.5,10.5,NA,2022-03-17,492.617,28.033,NA,2022-03-17,95,108,105,2022-04-08,22,1,1,1,1
1,5,13,3,BB_167,BB_114,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,2022-04-22,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.98,NA,NA,NA,9.98,NA,1,1,9.97,2022-03-25,NA,23.49,folded,2022-03-25,96,116,113,2022-04-22,28,1,1,1,1
1,5,14,5,BB_108,BB_069,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-01,1,3,0,4,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61,NA,NA,NA,3.61,NA,6,24,32.47,2022-03-25,452.477,26.117,NA,2022-03-17,95,108,105,2022-04-08,22,1,1,1,1
1,5,15,3,BB_065,BB_013,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-11,1,0,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-03-11,82,102,99,2022-04-28,48,1,1,1,0
1,6,16,4,BB_175,BB_104,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-12,2021-11-29,2021-12-02,2022-02-25,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,2022-04-22,2022-04-28,NA,NA,2022-05-19,NA,NA,2022-03-11,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-02-25,228.931,18.554,NA,2022-02-25,75,88,85,2022-05-19,83,1,1,0,0
1,6,17,4,BB_005,BB_195,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-12,2021-11-29,2021-12-02,NA,2022-03-03,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15.78,2022-03-17,460.039,27.518,NA,2022-03-03,81,94,91,2022-04-01,29,1,1,1,0
1,6,18,4,BB_047,BB_193,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,0,0,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,2022-03-17,613.342,32.137,NA,2022-03-11,82,102,99,2022-04-01,21,1,1,1,1
1,7,19,2,BB_196,BB_186,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-11,1,3,0,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.845,NA,NA,NA,7.845,NA,2,8,82.7,NA,NA,NA,NA,2022-03-11,89,102,99,2022-04-28,48,1,1,1,1
1,7,20,2,BB_182,BB_201,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-03-11,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-03-11,82,102,99,2022-05-12,62,1,1,0,0
1,7,21,1,BB_122,BB_027,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,1,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9866666666666667,NA,0.9866666666666667,NA,3,3,83.57,2022-03-25,380.918,26.106,NA,2022-03-17,88,108,105,2022-04-28,42,1,1,1,1
