Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,50,5,1,2,BO_065,BO_078,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-28,20,123,148,142,26.22,402.825,NA,NA,NA,NA,NA,NA,NA,1,2,3,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,51,1,1,2,BO_151,BO_056,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-28,2022-04-28,0,143,168,162,22.42,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,3.88,NA,1,1,1,1,1,1,1,1
2022,52,6,1,2,BO_183,BO_063,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-25,47,123,148,142,25.76,294.104,46.521,3.1,15.006774193548386,0.06663657273059478,NA,NA,NA,1,0,1,2,0,NA,NA,0,0,0,1,1,1,1,0
2022,56,4,1,2,BO_170,BO_111,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-20,49,116,141,135,22.98,331.999,NA,NA,NA,NA,NA,NA,NA,3,4,7,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,57,6,1,2,BO_032,BO_132,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-03-25,2022-05-25,61,109,134,128,23.77,315.836,58.761,4.29,13.697202797202797,0.07300760708633278,21.09,-28.21,2.54,0,4,4,14,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,58,5,1,2,BO_162,BO_164,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-21,13,123,148,142,31.929,655.283,25.691,1.8,14.272777777777776,0.07006344634307735,13.64,-29.62,3.96,3,0,3,1,4,3.2775,NA,1.3333333333333333,4,4,1,1,1,1,1
2022,59,5,1,2,BO_162,BO_089,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-08,7,116,141,135,24.205,344.978,92.749,6.76,13.720266272189349,0.07288488285587985,10.24,-30.97,3.05,2,1,3,1,7,2.439166666666667,0.4890821903206955,3.5,10.5,10,1,1,1,1,1
2022,60,5,1,2,BO_188,BO_154,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-05,34,116,141,135,27.943,474.216,82.556,5.21,15.845681381957773,0.06310867774601484,73.67,-28.94,4.11,6,16,22,17,6,6.446666666666666,NA,1,22,22,1,1,1,1,1
2022,61,1,1,2,BO_185,BO_071,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-13,5,123,148,142,27.42,427.082,109.334,7.91,13.822250316055626,0.07234711983463515,NA,-30.05,3.37,3,0,3,16,6,1.25,NA,2,6,6,1,1,1,1,1
2022,62,3,1,2,BO_198,BO_159,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-20,42,123,148,142,25.294,392.669,NA,NA,NA,NA,12.14,-28.79,2.08,3,1,4,0,2,3.28,NA,0.6666666666666666,2.6666666666666665,3,1,1,1,1,1
2022,63,6,1,2,BO_201,BO_199,G1,R,2,TRUE,TRUE,TRUE,2,"2,7,4",2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-28,27,116,141,135,28.149,486.827,NA,NA,NA,NA,NA,-28.86,1.66,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,64,6,1,2,BO_149,BO_106,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,123,148,142,NA,NA,NA,NA,NA,NA,1.95,NA,NA,1,0,1,0,1,2.27,NA,1,1,1,1,1,1,1,1
