Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,30,4,1,1,AC_091,AC_218,G1,R,6,FALSE,TRUE,TRUE,2,"6,2,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,17.203,174.58,56.215,3.17,17.733438485804417,0.05639064306679712,19.82,-31.28,4.64,5,1,6,0,10,1.8995833333333334,0.24336258385837015,2,12,12,1,1,1,1,1
2022,30,4,1,1,AC_091,AC_218,G1,R,9,FALSE,TRUE,TRUE,2,"6,2,9",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,17.546,192.756,56.215,3.17,17.733438485804417,0.05639064306679712,NA,-31.28,4.64,9,2,11,8,31,2.1293589743589743,0.26307998448761066,3.4444444444444446,37.88888888888889,38,1,1,1,1,1
2022,31,3,1,1,AC_170,AC_185,G1,n,10,TRUE,FALSE,TRUE,10,10,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,22.038,319.345,36.054,2.39,15.085355648535565,0.06628945470682865,25.76,-31.57,4.22,10,2,12,4,25,1.208653846153846,0.3304364381314059,2.5,30,30,1,1,1,1,1
2022,32,2,1,1,AC_207,AC_055,G1,R,5,TRUE,TRUE,TRUE,5,"7,9,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,21.178,225.618,33.852,2.66,12.726315789473682,0.07857733664185278,78.63,-31.88,4.27,14,12,26,6,54,1.112962962962963,NA,3.857142857142857,100.28571428571429,100,1,1,1,1,1
2022,32,2,1,1,AC_207,AC_055,G1,R,7,FALSE,TRUE,TRUE,5,"7,9,5",2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,12,125,164,156,19.778,215.57,33.852,2.66,12.726315789473682,0.07857733664185278,36.79,-31.88,4.27,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,32,2,1,1,AC_207,AC_055,G1,R,9,FALSE,TRUE,TRUE,5,"7,9,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,19.834,185.846,33.852,2.66,12.726315789473682,0.07857733664185278,10.5,-31.88,4.27,5,0,5,0,11,1.87,NA,2.2,11,11,1,1,1,1,1
2022,33,4,1,1,AC_091,AC_189,G1,R,3,TRUE,TRUE,TRUE,3,"3,4,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,NA,NA,37.217,2.7,13.784074074074073,0.07254749173764678,18.45,-30.93,1.84,7,2,9,0,15,1.5542307692307693,0.6304128918424682,2.142857142857143,19.285714285714285,19,1,1,1,1,1
2022,33,4,1,1,AC_091,AC_189,G1,R,4,FALSE,TRUE,TRUE,3,"3,4,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,NA,NA,37.217,2.7,13.784074074074073,0.07254749173764678,NA,-30.93,1.84,12,2,14,0,63,1.0176573426573428,0.08045193936996585,5.25,73.5,74,1,1,1,1,1
2022,33,4,1,1,AC_091,AC_189,G1,R,5,FALSE,TRUE,TRUE,3,"3,4,5",2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,NA,NA,37.217,2.7,13.784074074074073,0.07254749173764678,54.01,-30.93,1.84,21,2,23,22,78,1.8119212962962963,0.3662878599396427,3.7142857142857144,85.42857142857143,85,1,1,1,1,1
2022,34,1,1,1,AC_198,AC_066,G1,n,10,TRUE,FALSE,TRUE,10,10,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-03,12,169,176,168,21.008,240.237,26.19,1.84,14.233695652173914,0.07025582283314241,6.05,-33.23,2.22,6,0,6,16,9,2.4074999999999998,0.2580939751330897,1.5,9,9,1,1,1,1,1
2022,35,5,1,1,AC_064,AC_205,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,12,125,164,156,17.558,184.844,17.511,1.3,13.469999999999999,0.07423904974016333,NA,NA,NA,0,1,1,25,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,36,5,1,1,AC_096,AC_128,G1,n,10,TRUE,FALSE,TRUE,10,10,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-05-13,34,157,164,156,17.31,185.814,31.264,2.4,13.026666666666667,0.07676560900716478,37.1,-31.66,4.41,6,10,16,48,27,1.0529629629629629,NA,4.5,72,72,1,1,1,1,1
2022,37,5,1,2,AC_186,AC_153,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,24.839,329.105,25.123,1.89,13.292592592592595,0.07522986904430203,8.36,-32.18,4.45,4,0,4,9,7,1.7714285714285716,NA,1.75,7,7,1,1,1,1,1
2022,38,5,1,2,AC_216,AC_034,G1,R,2,FALSE,TRUE,TRUE,10,"2,9,10",2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,19.687,213.115,55.649,3.31,16.81238670694864,0.059479954716167405,NA,-29.64,3.01,8,2,10,0,28,1.536,0.11455129855222079,3.5,35,35,1,1,1,1,1
2022,38,5,1,2,AC_216,AC_034,G1,R,9,FALSE,TRUE,TRUE,10,"2,9,10",2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,21.074,NA,55.649,3.31,16.81238670694864,0.059479954716167405,NA,-29.64,3.01,0,9,9,0,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,38,5,1,2,AC_216,AC_034,G1,R,10,TRUE,TRUE,TRUE,10,"2,9,10",2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,19.315,NA,55.649,3.31,16.81238670694864,0.059479954716167405,NA,-29.64,3.01,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,39,3,1,2,AC_008,AC_068,G1,n,9,TRUE,FALSE,TRUE,9,9,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,23.355,366.003,49.582,2.53,19.597628458498026,0.051026582227421236,85.37,-31.1,5.69,18,0,18,0,34,2.5241575091575092,0.8386284135591042,1.8888888888888888,34,34,1,1,1,1,1
2022,40,1,1,2,AC_150,AC_083,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,21.92,306.582,26.312,1.75,15.035428571428572,0.06650957737914259,7.03,-31.92,4.32,4,0,4,13,5,2.1158333333333332,0.3830161731427133,1.25,5,5,1,1,1,1,1
2022,41,5,1,2,AC_124,AC_014,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,21.454,283.137,75.66,5.18,14.606177606177607,0.06846418186624371,25.73,-31.24,2.58,5,0,5,20,8,2.569166666666667,1.0123412083987406,1.6,8,8,1,1,1,1,1
2022,42,4,1,2,AC_091,AC_204,G1,R,1,FALSE,TRUE,TRUE,4,"1,2,4",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,23.529,357.221,57.758,4.93,11.715618661257608,0.0853561411406212,NA,-30.54,3.04,32,4,36,0,29,1.9594607843137255,0.23882184913604465,0.90625,32.625,33,1,1,1,1,1
2022,42,4,1,2,AC_091,AC_204,G1,R,2,FALSE,TRUE,TRUE,4,"1,2,4",2021-11-03,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,181,188,180,23.781,352.164,57.758,4.93,11.715618661257608,0.0853561411406212,NA,-30.54,3.04,13,1,14,0,35,2.455238095238095,0.4976684869493889,2.6923076923076925,37.69230769230769,38,1,1,1,1,1
2022,42,4,1,2,AC_091,AC_204,G1,R,4,TRUE,TRUE,TRUE,4,"1,2,4",2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,23.225,337.383,57.758,4.93,11.715618661257608,0.0853561411406212,97.65,-30.54,3.04,19,0,19,0,49,2.8148669467787113,0.43942864278637517,2.5789473684210527,49,49,1,1,1,1,1
2022,43,3,1,2,AC_161,AC_213,G1,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,NA,188,180,17.612,187.056,21.473,1.21,17.74628099173554,0.05634983467610487,11.58,-31.42,3.31,8,3,11,2,12,2.3449999999999998,0.09899494936611673,1.5,16.5,16,0,1,1,1,1
2022,44,2,1,2,AC_177,AC_211,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,21.456,307.122,79.126,5.92,13.36587837837838,0.07481737987513586,53.01,-30.43,3.37,12,1,13,36,24,1.7662424242424242,0.5080073316752551,2,26,26,1,1,1,1,1
2022,45,7,1,2,AC_168,AC_142,G1,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-10-27,2021-11-04,2022-05-03,2022-05-13,10,NA,188,180,22.6,332.792,71.745,3.75,19.132,0.052268450763119374,40.99,-29.9,2.91,10,4,14,15,28,2.133095238095238,0.7128309789390103,2.8,39.199999999999996,39,0,1,1,1,1
2022,46,2,1,2,AC_125,AC_038,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-11-03,2021-10-27,2021-11-04,2022-04-21,2022-05-13,22,169,176,168,19.829,237.311,35.026,2.21,15.848868778280545,0.06309598583909096,11.17,-30.35,3.03,5,0,5,7,3,1.1633333333333333,NA,0.6,3,3,1,1,1,1,1
