,,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,Plant number of fitness plant (when chosen),,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Open Fruits ,Eaten or damaged fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Total number of non-fitness fruits collected from segment,Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,,,,,,,,,,,,,,,,,,,,
52,2,AC_171,AC_171,7,3,1,0,8,4,15,2.666666667,10.66666667,11/04/2021,04/21/2022,,,,,1,,,,2,,,15,,1,,,,,,
55,2,AC_172,AC_172,3,7,0,0,20,7,26,2.857142857,20,11/04/2021,04/09/2022,,,,,2,,,,4,,,26,1,,,,,,,
56,2,AC_178,AC_178,8,7,1,0,19,8,21,3.166666667,25.33333333,11/04/2021,04/09/2022,,,,,3,,,,2,,,21,1,1,,,1,,0,
51,2,AC_182,AC_182,9,13,2,0,11,15,8,0.8461538462,12.69230769,11/04/2021,04/21/2022,,,,,9,,,,3,2,,8,1,,,,,,,
67,2,AC_186,AC_186,8,6,1,0,25,7,8,4.166666667,29.16666667,11/04/2021,04/21/2022,,,,,4,1,,,2,,,8,,,,,,,,
70,2,AC_195,AC_195,2,2,0,0,3,2,3,1.5,3,11/04/2021,04/21/2022,,,,,2,,,,,,,3,,,,,,,,
57,2,AC_199,AC_199,4,24,7,0,30,31,0,2.142857143,66.42857143,11/04/2021,04/09/2022,,,,,10,,,,12,,,,2,7,,,,,,
42,2,AC_204,AC_204,1,32,4,0,29,36,0,0.90625,32.625,11/04/2021,04/21/2022,,,,,10,1,,,11,,,,11,3,,,,,,
42,2,AC_204,AC_204,2,13,1,0,35,14,0,2.692307692,37.69230769,11/04/2021,05/03/2022,,,,,6,,,,7,,,,,1,,,,,,
42,2,AC_204,AC_204,4,19,0,0,49,19,0,2.578947368,49,11/04/2021,04/21/2022,,,,,9,,,,8,,,,2,,,,,,,
72,2,AC_206,AC_206,6,3,1,0,4,4,0,1.333333333,5.333333333,11/04/2021,04/09/2022,,,,,3,1,,,,,,,,,,,,,,
44,2,AC_211,AC_211,7,12,1,0,24,13,36,2,26,11/04/2021,04/21/2022,,,,,5,,,,5,,,36,2,1,,,,,,
43,2,AC_213,AC_213,7,8,3,0,12,11,2,1.5,16.5,11/04/2021,05/03/2022,,,,,6,,,,2,,,2,,3,,,,,,
66,2,AC_215,AC_215,1,7,1,0,8,8,10,1.142857143,9.142857143,11/04/2021,04/09/2022,,,,,5,1,,,2,,,10,,,,,,,,
103,3,AC_5,AC_005,1,4,0,0,5,4,6,1.25,5,11/04/2021,,,,,,1,,,,3,,,6,,,,,,,,
76,3,AC_10,AC_010,7,7,0,0,9,7,5,1.285714286,9,11/04/2021,,,,,,5,,,,2,,,5,,,,,,,,
82,3,AC_16,AC_016,9,10,0,0,13,10,6,1.3,13,11/04/2021,,,,,,6,,,,4,,,6,,,,,,,,
73,3,AC_17,AC_017,3,3,0,0,6,3,8,2,6,11/04/2021,,,,,,,,,,3,,,8,,,,,,,,
77,3,AC_32,AC_032,7,3,0,0,4,3,5,2,6,11/04/2021,,,,,,2,,,,1,,,5,,,,,,,,
89,3,AC_40,AC_040,2,1,0,0,0,1,0,0,0,11/04/2021,,,,,,1,,,,,,,,,,,,,,,
89,3,AC_40,AC_040,4,37,2,0,87,39,0,2.351351351,91.7027027,11/04/2021,,,,,,17,1,,,12,,,,8,1,,,,,,
89,3,AC_40,AC_040,8,9,1,0,9,10,0,1,10,11/04/2021,,,,,,6,1,,,2,,,,1,,,,,,,
107,3,AC_51,AC_051,6,4,3,0,10,7,2,2.5,17.5,11/04/2021,,,,,,4,3,,,,,,2,,,,,,,,
98,3,AC_64,AC_064,8,17,6,0,84,23,21,4.941176471,113.6470588,11/04/2021,,,,,,9,1,,,8,,,21,,5,,,,,,
81,3,AC_75,AC_075,5,2,0,0,3,2,2,1.5,3,11/04/2021,,,,,,2,,,,,,,2,,,,,,,,
90,3,AC_81,AC_081,2,20,8,0,52,28,0,2.6,72.8,11/04/2021,,,,,,12,,,,7,1,,,1,7,,,,,,
90,3,AC_81,AC_081,1,2,0,0,7,2,0,3.5,7,11/04/2021,,,,,,2,,,,,,,,,,,,,,,
90,3,AC_81,AC_081,6,13,0,0,30,13,0,2.307692308,30,11/04/2021,,,,,,8,,,,4,,,,1,,,,,,,
94,3,AC_90,AC_090,4,7,2,0,14,9,16,2,18,11/04/2021,,,,,,5,,,,2,,,16,,2,,,,,,
75,3,AC_92,AC_092,1,3,0,0,3,3,8,1,3,11/04/2021,,,,,,2,,,,1,,,8,,,,,,,,
91,3,AC_95,AC_095,10,5,1,0,10,6,8,2,12,11/04/2021,,,,,,3,1,,,2,,,8,,,,,,,,
102,3,AC_99,AC_099,2,5,3,0,16,8,0,4,32,11/04/2021,,,,,,4,1,,,1,2,,,,,,,,,,
102,3,AC_99,AC_099,8,3,3,0,2,6,1,0.6666666667,4,11/04/2021,,,,,,1,1,,,2,2,,1,,,,,,,,
102,3,AC_99,AC_099,9,4,0,0,7,4,0,1.75,7,11/04/2021,,,,,,4,,,,,,,,,,,,,,,
74,3,AC_100,AC_100,5,4,0,0,10,4,11,2.5,10,11/04/2021,,,,,,1,,,,3,,,11,,,,,,,,
105,3,AC_111,AC_111,2,7,1,0,7,8,0,#DIV/0!,#DIV/0!,11/04/2021,,,,,,7,1,,,,,,,,,,,,,,
105,3,AC_111,AC_111,4,0,3,0,0,3,0,#DIV/0!,#DIV/0!,11/04/2021,,,,,,,3,,,,,,,,,,,,,,
105,3,AC_111,AC_111,10,7,0,0,28,7,0,#DIV/0!,#DIV/0!,11/04/2021,,,,,,7,,,,,,,,,,,,,,,
80,3,AC_113,AC_113,8,10,0,0,23,10,8,2.3,23,11/04/2021,,,,,,6,,,,4,,,8,,,,,,,,
100,3,AC_115,AC_115,6,2,1,0,3,3,10,1.5,4.5,11/04/2021,,,,,,1,1,,,1,,,10,,,,,,,,
99,3,AC_119,AC_119,6,4,0,0,15,4,16,3.75,15,11/04/2021,,,,,,,,,,4,,,16,,,,,,,,
92,3,AC_122,AC_122,2,4,0,0,4,4,11,1,4,11/04/2021,,,,,,3,,,,1,,,11,,,,,,,,
95,3,AC_133,AC_133,4,0,0,0,0,0,0,#DIV/0!,#DIV/0!,11/04/2021,,,,,,,,,,,,,,,,,,,,,
86,3,AC_147,AC_147,9,8,2,0,25,10,13,3.125,31.25,11/04/2021,,,,,,4,,,,4,,,13,,2,,,,,,
93,3,AC_154,AC_154,3,1,2,0,4,3,15,2,6,11/04/2021,,,,,,1,1,,,,1,,15,,,,,,,,
96,3,AC_155,AC_155,4,11,0,0,41,11,19,3.727272727,41,11/04/2021,,,,,,5,,,,4,,,19,2,,,,,,,
104,3,AC_160,AC_160,2,11,6,0,12,17,10,1.090909091,18.54545455,11/04/2021,,,,,,10,3,,,1,,,10,,3,,,,,,
83,3,AC_179,AC_179,5,5,0,0,21,5,7,5.25,26.25,11/04/2021,,,,,,4,,,,1,,,7,,,,,,,,
84,3,AC_187,AC_187,2,9,1,0,17,10,0,1.888888889,18.88888889,11/04/2021,,,,,,6,,,,3,,,,,1,,,,,,
84,3,AC_187,AC_187,5,26,3,0,93,29,0,3.576923077,103.7307692,11/04/2021,,,,,,14,,,,12,2,,,,1,,,,,,
84,3,AC_187,AC_187,7,17,0,0,10,17,0,0.5882352941,10,11/04/2021,,,,,,5,,,,12,,,,,,,,,,,
85,3,AC_188,AC_188,4,4,0,0,8,4,12,2,8,11/04/2021,,,,,,3,,,,1,,,12,,,,,,,,
